thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
255.52619208860756,37.40081912498056,81.39409237146144,0.2032788025078035,0.12626203404422973,0.10353971895775985,43.99327324648088,0.0923520518972029,0.08977764488412705,-0.07714145569620252,0.041258227848101264,-0.007653045552095015,2.2824737341772154,0.037231977508948896,1904.0,0.22980175300198957,,,,,,
243.38042088607597,24.984294016903377,55.617293300925226,0.16093876139583274,0.11025048816629603,0.10386358239029642,30.63299928402185,0.08152623343705577,0.07437060868249933,-0.06624082278481012,0.01875379746835443,-0.004739551522692677,2.1663648734177214,0.039891466968784074,1949.0,0.21411407055659243,,2398.4,289.0799999999999,0.1134549870214334,30.520983050178792,
242.54382911392406,28.118129353007067,59.603042589376024,0.18022755518450978,0.11473672980112223,0.08484506214697173,31.484913236368957,0.08442458275439785,0.08413782020497752,-0.0698379746835443,0.03480221518987342,-0.006088536890021631,2.163734810126582,0.03156113634834546,1952.0,0.19958179194809395,,,,,,
,,,,,,,,,,,,,,1959.0,,,2398.3,288.98,0.113414149115142,30.470759735324734,
,,,,,,,,,,,,,,1969.0,,,2405.1,295.77999999999975,0.11619112674295967,34.00655585071535,
,,,,,,,,,,,,,,1970.0,,,2405.2,295.87999999999965,0.11623196464925108,34.0604080252986,
,,,,,,,,,,,,,,1971.0,,,2403.2,293.87999999999965,0.11541520652342231,32.9936951529855,
,,,,,,,,,,,,,,1972.0,,,2403.3,293.98,0.1154560444297139,33.04651636335611,
,,,,,,,,,,,,,,1975.0,,,2401.5,292.17999999999984,0.11472096211646794,32.10395042578243,
,,,,,,,,,,,,,,1976.0,,101.05760112497204,2398.9,289.5799999999999,0.1136591765528906,30.77288255964612,70.28471856532592
,,,,,,,,,,,,,,1977.0,,108.68668246607106,2400.3,290.98,0.11423090724097076,31.485175264608785,77.20150720146228
,,,,,,,,,,,,,,1978.0,,104.86667952035798,2401.5,292.17999999999984,0.11472096211646794,32.10395042578243,72.76272909457555
246.0708873417722,30.4157235839291,62.80839080052849,0.20810440127131255,0.11782537665594361,0.11818000086860622,32.39266721659939,0.10457450560078708,0.09650371202403465,-0.08382341772151898,0.039098101265822784,-0.008555026881108796,2.1908354430379746,0.04609218238400185,1979.0,0.23600537752454984,114.36803232723076,2402.2,292.87999999999965,0.11500682746050793,32.46844115560138,81.89959117162938
,,,,,,,,,,,,,,1980.0,,119.23178018555244,2403.6,294.27999999999975,0.11557855814858811,33.20530372350366,86.02647646204878
,,,,,,,,,,,,,,1981.0,,132.98611121072213,2403.2,293.87999999999965,0.11541520652342231,32.9936951529855,99.99241605773662
