thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
,,,,,,,,,,,,,,1903.0,,,2410.4341069199945,131.06410691999463,0.11800079280017342,10.241949205430231,
,,,,,,,,,,,,,,1920.0,,,2414.112509442328,134.7425094423279,0.11868240119783001,10.908877889663234,
,,,,,,,,,,,,,,1921.0,,56.23489994668425,2410.828221475959,131.4582214759589,0.11807382227135091,10.310776677242867,45.92412326944138
,,,,,,,,,,,,,,1922.0,,,2411.616450587888,132.24645058788792,0.11821988121370598,10.450300846250837,
,,,,,,,,,,,,,,1923.0,,52.51896270473544,2410.4341069199945,131.06410691999463,0.11800079280017342,10.241949205430231,42.27701349930521
,,,,,,,,,,,,,,1923.0,,56.34750410553118,2410.4341069199945,131.06410691999463,0.11800079280017342,10.241949205430231,46.10555490010095
,,,,,,,,,,,,,,1924.0,,,2409.1203917334474,129.7503917334475,0.11775736122958187,10.01696758008313,
93.06383022388059,21.444197921890748,31.684398641469894,0.1768140549836522,0.12155591217446449,0.10659655588569147,10.240200719579146,0.19079110937240182,0.22940098822648128,0.12474850746268655,-0.17750335820895521,-0.04706963228962464,0.8262776119402986,0.13578340329610653,1925.0,0.22815246806015596,56.34750410553118,2410.171363882685,130.8013638826851,0.1179521064860551,10.196407846626922,46.15109625890426
,,,,,,,,,,,,,,1926.0,,54.32062924628638,2409.1203917334474,129.7503917334475,0.11775736122958187,10.01696758008313,44.303661666203254
,,,,,,,,,,,,,,1927.0,,66.36927424290825,2409.9086208453755,130.5386208453756,0.11790342017193677,10.151140101707973,56.218134141200274
,,,,,,,,,,,,,,1927.0,,64.34239938366345,2409.9086208453755,130.5386208453756,0.11790342017193677,10.151140101707973,54.191259281955475
,,,,,,,,,,,,,,1928.0,,,2407.9380480655545,128.56804806555465,0.1175382728160494,9.820242977916168,
,,,,,,,,,,,,,,1929.0,,56.460108264378114,2407.018447434971,127.64844743497133,0.11736787071663525,9.67094093997909,46.789167324399024
,,,,,,,,,,,,,,1929.0,,44.07365079121544,2407.018447434971,127.64844743497133,0.11736787071663525,9.67094093997909,34.40270985123635
,,,,,,,,,,,,,,1931.0,,45.6501090150725,2401.894958207436,122.52495820743616,0.11641848759132795,8.896281203011405,36.7538278120611
,,,,,,,,,,,,,,1931.0,,45.42490069737864,2401.894958207436,122.52495820743616,0.11641848759132795,8.896281203011405,36.528619494367234
,,,,,,,,,,,,,,1932.0,,,2400.9753575768523,121.60535757685238,0.1162480854919137,8.767126512789716,
,,,,,,,,,,,,,,1933.0,,46.43833812700104,,,,,
,,,,,,,,,,,,,,1934.0,,45.31229653853171,2397.034212017209,117.66421201720914,0.11551779078013871,8.245881017628086,37.066415520903625
,,,,,,,,,,,,,,1935.0,,26.05698537570609,,,,,
,,,,,,,,,,,,,,1937.0,,,2398.085184166448,118.71518416644813,0.11571253603661219,8.379869747427232,
,,,,,,,,,,,,,,1944.0,,,2387.5754626740672,108.20546267406735,0.11376508347187908,7.191960000053388,
,,,,,,,,,,,,,,1945.0,,26.845214487634628,,,,,
,,,,,,,,,,,,,,1946.0,,,2380.0872861107464,100.7172861107465,0.11237752351950683,6.531980503672368,
,,,,,,,,,,,,,,1947.0,,18.06209009757383,,,,,
,,,,,,,,,,,,,,1948.0,,,2369.97167917433,90.60167917433,0.11050310042595121,5.846305944045806,
,,,,,,,,,,,,,,1949.0,,16.59823603256369,2363.008988685628,83.63898868562819,0.1092129131018156,5.490217214926812,11.108018817636879
,,,,,,,,,,,,,,1950.0,,11.868861360992495,2360.775672868497,81.40567286849728,0.10879907943180983,5.393283753675359,6.4755776073171365
67.7707923076923,11.056723602531248,15.640864766355959,0.14508158827177173,0.09711349483165453,0.07122915077007781,4.584141163824711,0.22384828716775942,0.2697376931312802,0.16285000000000002,-0.1612389423076923,-0.052518119016503335,0.602039423076923,0.12452969897105765,1952.0,0.16834264560173234,13.220111267155689,2352.105152637283,72.73515263728314,0.10719243106590501,5.085808750191911,8.134302516963778
,,,,,,,,,,,,,,1953.0,,12.319277996380222,2345.93069126051,66.56069126050988,0.1060483026841244,4.924407963595486,7.394870032784737
,,,,,,,,,,,,,,1954.0,,9.729382342900749,2341.726802663557,62.35680266355712,0.10526932165823107,4.837374163278193,4.892008179622556
,,,,,,,,,,,,,,1955.0,,10.968028090217018,2340.0189729210456,60.6489729210457,0.10495286061646203,4.806687871146446,6.161340219070572
,,,,,,,,,,,,,,1957.0,,10.067194819441552,2331.217081171177,51.84708117117725,0.10332186909349814,4.684991378699924,5.382203440741628
,,,,,,,,,,,,,,1958.0,,12.769694631767962,2329.246508391356,49.87650839135631,0.10295672173761075,4.664962341311624,8.104732290456337
,,,,,,,,,,,,,,1959.0,,11.756257202145562,2328.1955362421177,48.82553624211778,0.10276197648113736,4.655206639603439,7.101050562542123
,,,,,,,,,,,,,,1960.0,,11.756257202145562,2326.487706499606,47.1177064996059,0.10244551543936824,4.640643166477867,7.115614035667695
,,,,,,,,,,,,,,1961.0,,,2324.779876757094,45.409876757094025,0.1021290543975991,4.627580080643449,
,,,,,,,,,,,,,,1962.0,,17.94948593872688,2320.838731197452,41.46873119745214,0.10139875968582436,4.602582759893744,13.346903178833136
,,,,,,,,,,,,,,1962.0,,14.79656949101276,2320.838731197452,41.46873119745214,0.10139875968582436,4.602582759893744,10.193986731119015
,,,,,,,,,,,,,,1964.0,,14.683965332165812,2318.86815841763,39.49815841763029,0.10103361232993681,4.592480660403215,10.091484671762597
,,,,,,,,,,,,,,1965.0,,19.751152480277824,2317.5544432310826,38.184443231082696,0.10079018075934518,4.586534504190364,15.16461797608746
