u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
,,,,,,,,,,,,,1993.0,,,2884.78,182.99000000000024,0.090249767279511,10.08314636766997,
,,,,,,,,,,,,,1993.0,,,2882.23,180.44000000000005,0.08825973743067883,9.290465385930634,
,,,,,,,,,,,,,1994.0,,36.83,2882.94,181.1500000000001,0.08881382417290268,9.507827481605386,27.322172518394613
,,,,,,,,,,,,,1995.0,,35.93,,,,,
,,,,,,,,,,,,,1996.0,,38.38,2881.39,179.5999999999999,0.08760419818635759,9.03659709181659,29.343402908183414
,,,,,,,,,,,,,1997.0,,36.36,2881.74,179.94999999999982,0.08787733953815799,9.141943780893447,27.21805621910655
,,,,,,,,,,,,,1998.0,,33.66,2882.38,180.59000000000015,0.08837679801002196,9.336173759035425,24.32382624096457
,,,,,,,,,,,,,1999.0,,30.8,2881.1,179.30999999999995,0.08737788106629438,8.949775146226465,21.850224853773536
,,,,,,,,,,,,,2000.0,,29.99,2878.91,177.1199999999999,0.08566879660788565,8.307593605974692,21.682406394025307
,,,,,,,,,,,,,2001.0,,30.59,2877.57,175.7800000000002,0.08462305543242121,7.926228818643956,22.663771181356044
,,,,,,,,,,,,,2002.0,,29.51,2874.88,173.09000000000015,0.08252376904286896,7.186549406545419,22.32345059345458
,,,,,,,,,,,,,2003.0,,29.68,2876.86,175.07000000000016,0.08406896869019737,7.7276654530124596,21.95233454698754
,,,,,,,,,,,,,2003.0,,29.68,2876.3,174.51000000000022,0.08363194252731665,7.5727469002438905,22.107253099756107
14.655565327410697,21.166290558168885,0.1319708436105746,0.08142758697464116,0.015991232986802002,6.510725230758188,0.06473368047158416,0.18069664002275806,0.08061734693877551,0.09403615160349856,-0.015341954435843061,0.9972680758017493,-0.027876267045828757,2004.0,0.09741881996144316,25.14,2874.32,172.5300000000002,0.08208674287998824,7.036836128213784,18.103163871786215
,,,,,,,,,,,,,2005.0,,27.75,2873.33,171.53999999999996,0.08131414305632384,6.77570793240729,20.97429206759271
,,,,,,,,,,,,,2006.0,,20.71,2871.28,169.49000000000024,0.07971431513863556,6.249179455616135,14.460820544383866
,,,,,,,,,,,,,2007.0,,19.49,2869.02,167.23000000000002,0.07795060240986662,5.690440055963768,13.79955994403623
11.87724314412145,16.75445133202551,0.12434634312619329,0.07577312428741069,0.020279441455248515,4.87720818790406,0.07028444051699252,0.18369192624958816,0.0809290989660266,0.09628892171344165,-0.01582107550419022,0.939746528803545,-0.023511013957751778,2008.0,0.0960525657426592,18.18,2866.97,165.17999999999984,0.07635077449217798,5.202836151145302,12.977163848854698
,,,,,,,,,,,,,2009.0,,17.32,2864.63,162.84000000000015,0.07452462945442648,4.668008950913729,12.651991049086272
,,,,,,,,,,,,,2010.0,,15.72,2864.92,163.1300000000001,0.07475094657448969,4.733052734283591,10.98694726571641
,,,,,,,,,,,,,2011.0,,14.85,2863.08,161.28999999999996,0.07331500346788139,4.326207522985287,10.523792477014712
9.455807445718765,13.037874026517931,0.11764378908054159,0.07009005348149186,0.017894827880451422,3.5820665807991663,0.07781716730042607,0.18106138014869264,0.07877407975460121,0.0880398773006135,-0.013956375636291355,0.8946556748466257,-0.017167935355734496,2012.0,0.08798488136194328,13.55,2863.5,161.71000000000004,0.073642773090042,4.417857455042062,9.132142544957938
,,,,,,,,,,,,,2013.0,,12.64,2860.39,158.5999999999999,0.0712157170783291,3.7559650822405164,8.884034917759484
,,,,,,,,,,,,,2014.0,,12.32,2859.9,158.11000000000013,0.07083331918580862,3.6551659010991173,8.664834098900883
,,,,,,,,,,,,,2014.0,,12.52,2859.9,158.11000000000013,0.07083331918580862,3.6551659010991173,8.864834098900882
,,,,,,,,,,,,,2015.0,,14.9,2859.19,157.4000000000001,0.07027923244358478,3.5107634751112773,11.389236524888723
,,,,,,,,,,,,,2016.0,,11.84,2857.92,156.1300000000001,0.06928811953848021,3.257295725086247,8.582704274913752
8.369861675820108,11.369565769976077,0.11543374386206391,0.06723391143638864,0.01339624928994276,2.9997040941559696,0.0851107095354061,0.18041934474678553,0.07973099688473519,0.07741230529595015,-0.012349696875467046,0.8550121495327102,-0.016126277822554578,2017.0,0.0806301607263314,11.25,2857.0,155.21000000000004,0.06857014798517605,3.077503487094315,8.172496512905685
8.369861675820108,11.369565769976077,0.11543374386206391,0.06723391143638864,0.01339624928994276,2.9997040941559696,0.0851107095354061,0.18041934474678553,0.07973099688473519,0.07741230529595015,-0.012349696875467046,0.8550121495327102,-0.016126277822554578,2017.0,0.0806301607263314,11.25,2853.82,152.0300000000002,0.06608846370310328,2.480218681114585,8.769781318885414
,,,,,,,,,,,,,2018.0,,10.37,2851.7,149.90999999999985,0.06443400751505443,2.102303987379994,8.267696012620005
,,,,,,,,,,,,,2019.0,,10.14,2850.0,148.21000000000004,0.06310732094916655,1.8106211092969149,8.329378890703087
7.212279614132694,9.659763032392261,0.1114831247959409,0.06394684930671027,0.018719809231696666,2.4474834182595675,0.08466620052224424,0.1846026887758567,0.08018091482649842,0.08377618296529968,-0.013447427934649562,0.81572476340694,-0.00881428034829045,2020.0,0.08266665853840693,9.98,2848.23,146.44000000000005,0.061726006112918445,1.5174083737215476,8.462591626278453
7.212279614132694,9.659763032392261,0.1114831247959409,0.06394684930671027,0.018719809231696666,2.4474834182595675,0.08466620052224424,0.1846026887758567,0.08018091482649842,0.08377618296529968,-0.013447427934649562,0.81572476340694,-0.00881428034829045,2020.0,0.08266665853840693,9.6,2848.23,146.44000000000005,0.061726006112918445,1.5174083737215476,8.082591626278452
,,,,,,,,,,,,,2021.0,,8.98,2846.39,144.5999999999999,0.06029006300631013,1.2236652005384174,7.756334799461583
,,,,,,,,,,,,,2021.0,,8.59,2846.39,144.5999999999999,0.06029006300631013,1.2236652005384174,7.366334799461582
,,,,,,,,,,,,,2022.0,,7.81,,,,,
