u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
175.1967577049769,175.60658887040043,0.05333336418249011,0.033582143104490265,-0.003203541394169859,0.40983116542352604,0.09403309976363126,0.09403309976363126,0.008123076923076922,0.0938846153846154,-0.008880305384615388,0.569923076923077,-0.008214086661953111,1907.0,0.030378601710320405,,,,,,
238.54021878297934,239.75967515342776,0.034772668364357,0.03721941928353406,-0.03312932785958557,1.2194563704484267,0.058860345790312844,0.058860345790312844,-0.018423076923076924,0.05238461538461539,-0.0030835576923076927,0.5831615384615383,-0.05486776989493948,1953.0,0.0040900914239484915,,2773.3,63.960000000000036,0.03739033098671924,1.2535025024028088,
,,,,,,,,,,,,,1955.0,,,2773.0,63.659999999999854,0.037252298055481914,1.2329278662224172,
,,,,,,,,,,,,,1958.0,,,2772.0,62.659999999999854,0.036792188284691094,1.166416501961226,
,,,,,,,,,,,,,1966.0,,,2772.3,62.960000000000036,0.03693022121592842,1.18603891385438,
235.34576823249444,236.54176425717952,0.0378529556651888,0.03705210026911108,-0.028854022779270513,1.195996024685087,0.07235832723445991,0.07235832723445991,-0.021500000000000002,0.05388461538461539,-0.0033658017751479288,0.5304076923076922,-0.052146628942036144,1986.0,0.008198077489840565,,2771.7,62.35999999999967,0.03665415535345376,1.147073916336033,
,,,,,,,,,,,,,1993.0,,,2762.5,53.159999999999854,0.03242114546217828,0.6761427031067454,
,,,,,,,,,,,,,1994.0,,,2761.8,52.460000000000036,0.03209906862262479,0.6489277309713122,
,,,,,,,,,,,,,1995.0,,6.9,2761.4,52.059999999999945,0.03191502471430842,0.6338576063372867,6.266142393662713
,,,,,,,,,,,,,1996.0,,7.7,2760.9,51.559999999999945,0.03168496982891301,0.6155022352501194,7.084497764749881
,,,,,,,,,,,,,1997.0,,7.3,2760.2,50.85999999999967,0.031362892989359306,0.5906866267112829,6.709313373288717
117.37727070917389,117.82454151483759,0.030003840452967983,0.029383003010351932,-0.016238125966680415,0.44727080566370603,0.07292055386497479,0.07292055386497479,-0.036684615384615385,0.059800000000000006,-0.00492180100591716,0.4048769230769231,-0.03708257254183391,1998.0,0.013144877043671517,7.8,2757.4,48.059999999999945,0.030074585631145134,0.5011892169203481,7.298810783079651
,,,,,,,,,,,,,1999.0,,7.9,2756.9,47.559999999999945,0.029844530745749723,0.48676539386674833,7.413234606133252
,,,,,,,,,,,,,2000.0,,7.9,2755.8,46.460000000000036,0.02933840999787986,0.4565960991580524,7.443403900841948
,,,,,,,,,,,,,2001.0,,7.7,2754.95,45.60999999999967,0.028947316692707496,0.43470524749106804,7.265294752508932
,,,,,,,,,,,,,2002.0,,8.4,2753.9,44.559999999999945,0.02846420143337726,0.4093021495499106,7.99069785045009
97.2553447377254,97.64228974438946,0.03406222217817241,0.027594432506404917,-0.0045023469981759325,0.38694500666406384,0.09884954990515099,0.09884954990515099,-0.05366153846153846,0.0790076923076923,-0.009121776153846154,0.3423769230769231,-0.010579798075602597,2003.0,0.023092085508228985,7.8,2751.0,41.659999999999854,0.027129883098083833,0.3479025718020933,7.452097428197907
,,,,,,,,,,,,,2004.0,,6.5,2749.7,40.35999999999967,0.02653174039605568,0.3242289871326525,6.175771012867347
,,,,,,,,,,,,,2005.0,,6.5,2747.0,37.659999999999854,0.025289444014920545,0.28186920717284814,6.218130792827152
,,,,,,,,,,,,,2006.0,,6.1,2745.1,35.75999999999976,0.024415235450417943,0.25704131910437955,5.84295868089562
,,,,,,,,,,,,,2007.0,,6.2,2742.7,33.35999999999967,0.02331097200051993,0.2308596093955988,5.969140390604402
,,,,,,,,,,,,,2008.0,,6.3,2741.3,31.960000000000036,0.022666818321412943,0.2179795368446549,6.082020463155345
,,,,,,,,,,,,,2009.0,,6.0,2738.3,28.960000000000036,0.021286489009040482,0.19554561805557535,5.804454381944424
,,,,,,,,,,,,,2010.0,,5.2,2737.1,27.759999999999764,0.02073435728409137,0.18831731174482214,5.011682688255178
,,,,,,,,,,,,,2011.0,,5.0,2734.2,24.859999999999673,0.019400038948797944,0.17433368183096482,4.825666318169035
,,,,,,,,,,,,,2012.0,,4.7,2732.5,23.159999999999854,0.01861785233845363,0.168114809573242,4.531885190426758
,,,,,,,,,,,,,2013.0,,4.5,2730.6,21.259999999999764,0.017743643773951028,0.1626100874523635,4.3373899125476365
,,,,,,,,,,,,,2014.0,,3.8,2729.1,19.759999999999764,0.017053479117764794,0.15918941996488375,3.640810580035116
,,,,,,,,,,,,,2015.0,,3.2,2725.8,16.460000000000036,0.015535116874155208,0.15397264900828467,3.0460273509917153
,,,,,,,,,,,,,2016.0,,3.1,2724.0,14.659999999999854,0.014706919286731646,0.1521766996674117,2.947823300332588
,,,,,,,,,,,,,2017.0,,2.1,2721.4,12.059999999999945,0.013510633882675552,0.150524632499309,1.949475367500691
,,,,,,,,,,,,,2018.0,,1.9,2719.0,9.659999999999854,0.012406370432777536,0.1497033104875489,1.750296689512451
,,,,,,,,,,,,,2019.0,,1.9,2716.7,7.359999999999673,0.011348117959958564,0.14932231650381375,1.7506776834961861
,,,,,,,,,,,,,2020.0,,1.7,2715.1,5.7599999999997635,0.01061194232669329,0.1492013165818929,1.5507986834181071
,,,,,,,,,,,,,2021.0,,1.4,2712.6,3.2599999999997635,0.009461667899716236,0.14913613055697664,1.2508638694430232
,,,,,,,,,,,,,2022.0,,0.9,2709.4,0.05999999999994543,0.00798931663318569,0.14912867718776593,0.7508713228122341
,,,,,,,,,,,,,2023.0,,0.87,2705.5,-3.8400000000001455,0.006194888527101443,0.14914302570937632,0.7208569742906237
