x,y
957500.0,119000.0
957543.8585858586,118994.84160842877
957587.7171717172,118989.16981380913
957631.5757575758,118982.47121309274
957675.4343434343,118974.2324032312
957719.2929292929,118963.93998117608
957763.1515151515,118951.08054387903
957807.0101010101,118935.14068829163
957850.8686868687,118915.60701136552
957894.7272727273,118891.96611005231
957938.5858585859,118863.7045813036
957982.4444444445,118830.30902207099
958026.303030303,118791.37913441513
958070.1616161616,118747.27993550093
958114.0202020202,118698.69365694252
958157.8787878788,118646.30355000772
958201.7373737374,118590.79286596448
958245.595959596,118532.84485608063
958289.4545454546,118473.14277162413
958333.3131313132,118412.36986386283
958377.1717171717,118351.20938406479
958421.0303030303,118290.3445834976
958464.8888888889,118230.45871342925
958508.7474747475,118172.23502512771
958552.6060606061,118116.35676986084
958596.4646464647,118063.50719889654
958640.3232323233,118014.36956350267
958684.1818181818,117969.55072222107
958728.0404040404,117928.95535282999
958771.898989899,117892.11014892966
958815.7575757576,117858.5381549998
958859.6161616162,117827.76241552005
958903.4747474748,117799.30597497014
958947.3333333334,117772.69187782971
958991.191919192,117747.44316857848
959035.0505050505,117723.08289169622
959078.9090909091,117699.13409166248
959122.7676767677,117675.11981295698
959166.6262626263,117650.56310005943
959210.4848484849,117624.98699744954
959254.3434343435,117597.91454960695
959298.2020202021,117568.8688010114
959342.0606060605,117537.37279614262
959385.9191919192,117502.98250554127
959429.7777777778,117465.6469760065
959473.6363636364,117425.57383532969
959517.494949495,117382.97525051207
959561.3535353536,117338.06338855485
959605.2121212122,117291.05041645924
959649.0707070708,117242.1485012264
959692.9292929292,117191.56980985771
959736.7878787878,117139.52650935412
959780.6464646464,117086.23076671697
959824.505050505,117031.89474894745
959868.3636363636,116976.73062304678
959912.2222222222,116920.95055601615
959956.0808080808,116864.7667148568
959999.9393939395,116808.3912665699
960043.7979797979,116752.03637815686
960087.6565656565,116695.91421661853
960131.5151515151,116640.23694895631
960175.3737373737,116585.21674217138
960219.2323232323,116531.06576326498
960263.0909090909,116477.98942939732
960306.9494949495,116426.06869893319
960350.808080808,116375.2750972657
960394.6666666666,116325.57642071467
960438.5252525252,116276.94046560036
960482.3838383838,116229.33502824284
960526.2424242424,116182.72790496224
960570.101010101,116137.08689207865
960613.9595959596,116092.37978591213
960657.8181818182,116048.57438278284
960701.6767676767,116005.63847901096
960745.5353535353,115963.53987091637
960789.3939393939,115922.24635481928
960833.2525252525,115881.7257270398
960877.1111111111,115841.945783898
960920.9696969697,115802.87432171403
960964.8282828283,115764.47913680796
961008.6868686868,115726.72802549998
961052.5454545454,115689.58878411
961096.404040404,115653.02920895825
961140.2626262626,115617.01709636477
961184.1212121212,115581.52024264971
961227.9797979798,115546.50644413313
961271.8383838384,115511.94349713517
961315.696969697,115477.7991979759
961359.5555555555,115444.04134297553
961403.4141414141,115410.63772845398
961447.2727272727,115377.55615073141
961491.1313131313,115344.76440612796
961534.9898989899,115312.2302909637
961578.8484848485,115279.92160155873
961622.7070707071,115247.80613423318
961666.5656565657,115215.85168530713
961710.4242424242,115184.02605110077
961754.2828282828,115152.29702793401
961798.1414141414,115120.63241212706
961842.0,115089.0
