dist,z_bed,z_surf_1958,z_surf_1979,z_surf_2003,z_surf_2008,z_surf_2019
4792.712170863869,1561.50683858343,1848.5331445515926,1850.0285424230156,1808.8532112885655,1791.5395945648643,1725.784630373316
4845.419741056999,1562.794208632807,1844.62808993013,1844.0347163398653,1801.9050671068458,1783.6110982073521,1717.5294711225224
4897.903738159479,1579.9857463304604,1841.991243989681,1838.7014603102011,1796.271107316128,1776.698324061114,1709.7981612895676
4950.231439206386,1600.3218598966603,1838.01259332611,1834.1156082607874,1791.404109621746,1770.9271399515233,1701.2804166748253
5002.425944285097,1602.1324942045524,1834.4165758303684,1829.857719785338,1787.0774968520293,1765.5145276917463,1694.3439362024722
5054.503696329527,1606.0974338845529,1832.9013363309277,1825.3976327723549,1781.8995767056838,1759.58389474203,1688.339778617607
5106.479614884923,1612.0141422521347,1829.9195485187618,1820.2616785275777,1777.3707918003156,1755.5432908412108,1683.073607994219
5158.367179491882,1618.1037602175627,1826.5673155176223,1815.140747623086,1773.478728337064,1750.9549648474758,1679.7620148417682
5210.17851784765,1621.1081359877123,1819.91384506694,1810.2783453471736,1774.0905281950243,1748.2689954736543,1680.1238901889496
5261.9244980765125,1614.9592821831836,1812.14627854348,1805.4057686439724,1773.3595665822231,1746.5156796169158,1677.001769903753
5313.6148244937285,1612.9890414840534,1802.817113228441,1799.4238780988185,1768.549718053791,1741.471097495551,1668.0448199780626
5365.258136304069,1605.7126971562016,1794.4142287230093,1790.628013589597,1759.9315680638767,1732.9642677113584,1656.4335989549165
5416.86210873596,1592.5600509211285,1783.454981903964,1779.7425262444726,1751.3268486139884,1722.7289055077817,1646.9117385759455
5468.433556170753,1577.6316163576441,1770.6912586853514,1769.7565812945668,1734.2073977380553,1710.0875652423256,1637.5059162479697
5519.97853688409,1565.109644531367,1761.6976020951288,1760.3808574518107,1720.4087599175523,1703.4069332818713,1641.2140375346598
5571.5024590702005,1558.3028927492087,1757.6381359625561,1752.433344556885,1705.6380553558683,1693.2542889547576,1646.6282801602083
5623.01018786864,1556.932436734926,1749.9494876945414,1745.0160092504539,1695.9027701122318,1685.308268916773,1657.794929629151
5674.506153157431,1558.5086287974548,1745.5159639939577,1737.2806779763685,1683.478808483619,1676.6410167761414,1643.9819340350969
5725.994457913072,1558.4787374081088,1739.9556023351645,1729.9866828021939,1677.0920317593395,1667.1821813512768,
5777.478986968561,1556.0916808448756,1736.8423002946438,1722.2185474638786,1671.7895778340558,1656.765026100405,
