dist,z_bed,z_surf_1905,z_surf_1908,z_surf_1952,z_surf_1971,z_surf_1998,z_surf_2008,z_surf_2019
0.0,2987.7894281536064,3033.709542846472,3014.17467954124,3000.0,,,3003.619125,2993.663225
20.16665084251226,2973.6986475060276,3027.820391844862,3009.404453673165,2999.7733871353867,3014.528821652855,,2997.063198033093,2986.584251872484
40.33510092118771,2962.3154646152534,3022.0868309527423,3007.889111812266,2997.752097074135,3010.0446046827874,,2992.4842818295465,2980.409855307557
60.50715460123456,2953.077658378392,3016.5897065931686,3006.191250514543,2992.8884699168966,3004.7721207209706,,2987.954865450081,2975.2097041439083
80.68462649886258,2944.186345899309,3011.9664992329226,3004.429694665403,2987.537747650455,3000.696577450898,,2983.6249157651314,2970.4566718688807
100.86934658982112,2935.6194499250537,3008.399426372347,3002.4627145170452,2983.8184743060574,2998.0514338167495,,2979.462832753677,2966.0893322366114
121.06316529672448,2927.2612294553824,3006.457659119326,3000.3889646590687,2979.7717049296,2996.1198900124987,,2975.876296088226,2962.50643529873
141.26795854921912,2919.6050986441805,3003.992540887257,2997.797704944732,2976.2291786715878,2994.7357393439243,2986.30960351695,2972.524787477495,2958.8673845128455
161.4856328084402,2912.8405873836873,3000.6015531008597,2994.7369475625674,2974.651789671549,2995.4664243034845,2984.224846473656,2969.5059954382095,2955.0776714415283
181.71813005025746,2905.8418864138657,2997.4779887561717,2991.5833614350327,2973.6099977192084,2993.7625954841715,2981.861931552643,2966.516190868647,2952.1003553984247
201.96743269781942,2898.4551430531706,2994.7393378460165,2988.4490311168383,2971.7838639635424,2993.3365679722097,2979.0769264224277,2963.386026320099,2948.9850389418
222.23556849770068,2893.211447289185,2991.99836592931,2985.379778262797,2969.3181255029644,2991.604533580616,2976.1346109034516,2960.2218453567593,2945.8755120616884
242.5246153304802,2888.224497996728,2989.282822408653,2982.2767051009787,2965.7952587129766,2989.5682793316255,2972.8399348413795,2957.058065226356,2942.8281359589732
262.83670594867687,2882.774226327884,2986.520971602861,2979.25026027455,2961.655042207407,2987.015786058544,2969.5639000306674,2953.8684504079188,2939.6644170485533
283.17403263304334,2877.161129236565,2983.834148927362,2976.394057432533,2957.7984469981166,2983.957601329504,2966.524202817371,2950.942219013459,2936.7741709177103
303.53885175960676,2875.0,2981.1113141012643,2973.5988750573483,2954.1738089948594,2980.791747779673,2963.594684712951,2947.868442906206,2933.5919301524527
323.9334882682582,2875.0,2978.4171283467213,2970.773553547052,2950.652118000797,2977.1510386960626,2960.4407310450497,2944.534758566635,2930.5191223332504
344.36034002456154,2869.270793723162,2975.721037385211,2968.143496567298,2950.0,2972.9805900720103,2957.593103888687,2941.7720889087186,2927.3782422666777
364.82188206503446,2862.7064264789656,2973.014246508415,2965.578568678235,2949.7716374609317,2968.8477880351516,2954.4114121412545,2938.9683276559117,2924.2757406482833
385.3206707178753,2855.8516793063905,2970.296839063289,2963.0229896585083,2947.809941906946,2964.3873676639923,2951.2503328105786,2936.0578992588803,2921.161160557154
405.8593475888467,2850.1677317552194,2966.89914393749,2960.4705433389727,2946.5509485031325,2959.729842715668,2948.3615980508775,2933.1294844114896,2918.1528451603635
426.4406434032803,2849.9999999999995,2963.2875881590035,2957.705740681635,2941.799442900727,2955.28190148614,2945.0874546709783,2930.246591654434,2914.806858894579
447.0673816955093,2850.0,2959.4640340160863,2954.7675431119346,2936.762439989929,2951.333098850231,2941.9834483325426,2927.4420622885614,2911.5672951002393
467.74248233397117,2850.0,2955.513954627343,2951.9387829376956,2933.942057229331,2947.7020324973428,2939.744642739872,2924.5350615667794,2908.5675261232604
488.4686129742472,2847.340639645078,2951.557273576095,2948.9089823674303,2931.326762212713,2944.180311225452,2936.3960016389733,2921.527000146056,2905.511099138887
509.2455840885994,2842.902466411234,2948.3673476866443,2945.849132481652,2928.709039238497,2941.7855484742236,2933.077093795647,2918.5807434915123,2902.3751273141615
530.0716868572766,2837.9687170644784,2945.6463111308576,2942.6963997734692,2925.94503352435,2939.751800066323,2929.736162286119,2915.210027526997,2898.9717507726505
550.9450899797661,2833.024640921607,2942.9313251258563,2939.604509444567,2924.6080891453075,2938.4933451200422,2926.3790316063705,2911.7722605878434,2895.192812843996
571.8638564097716,2829.8108586901817,2940.088291714291,2936.6035789516573,2923.1135961469513,2938.2384776112376,2922.9998297862094,2908.3064241578168,2891.435869783746
592.8259500341093,2827.318707578519,2936.801861420693,2933.616181698859,2918.7550699939557,2935.1806935516593,2919.5002151481376,2904.6960972872193,2887.4046968142256
613.8292421872267,2824.8733975344094,2933.346697530826,2930.6402902294276,2913.7415164028725,2931.7174230746527,2915.8254174143412,2901.030824945293,2883.280450325172
634.8715180061747,2820.855326913121,2930.0596835092724,2927.85078677113,2910.4907157532534,2927.6992752005012,2912.1389824585735,2897.231253011025,2879.1412975851886
655.9504826356451,2816.147996265997,2927.0840135851454,2925.1623312836905,2907.6156241728445,2923.4128057222074,2908.529826093152,2893.4243150669413,2874.9813117856283
677.0637672896997,2812.20435474907,2924.410223263369,2922.418141670031,2904.8367489591665,2918.952337866495,2904.887095112013,2889.5526009656783,2870.9431250623156
698.2089351801519,2807.8046848091667,2921.1694068447323,2919.6491759899236,2901.906268364747,2914.4644652890984,2901.019697130038,2885.6778785937577,2866.840636439667
719.3834873191253,2803.890658864057,2917.523265941308,2917.05067608295,2899.1165983454357,2910.175793426343,2897.632969082789,2881.838729420487,2862.681020787778
740.5848682066601,2801.066349171734,2913.0565650076514,2914.4186723024823,2896.675820734271,2906.016507124221,2894.2443366361967,2878.119435949318,2858.7169163485055
