glacier,stake,mean_slope_deg,mean_slope_rad
All,101,5.920260080613953,0.1033280309810984
Arg,Wheel,24.919853321390477,0.4349334895723085
Arg,4,5.432417705390057,0.0948135753026918
Arg,5,4.18584705287106,0.07305681305750117
Cor,A4,6.460257904381419,0.11275277095944478
Cor,B4,3.1256593238946717,0.05455304649762189
Geb,sup,7.71564618479934,0.13466342984368734
Geb,ss,4.803198671399081,0.08383163144333117
Gie,5,7.3442052440181245,0.12818056245034987
Gie,102,16.639939923446796,0.2904217389981998
GB,inf,23.536026849026463,0.4107811613532981
GB,sup,21.075331683308935,0.36783392882361976
MDG,ech,7.3331466155147735,0.12798755297221148
MDG,trel,5.485704878694013,0.09574361192592666
MDG,tac,4.99056259711138,0.08710174884647283
StSo,B,8.579334747872307,0.14973763898112935
StSo,C,9.276684334895581,0.1619086853121082
