glacier,stake,slope_deg,tan_slope,CN
All,101,5.920260080613953,0.10369734177591095,0.1171781819405257
Arg,Wheel,24.91985332139048,0.4646057795962258,0.217
Arg,4,5.432417705390057,0.09509871314151043,0.128474093298839
Arg,5,4.18584705287106,0.07318706647088181,0.1138855323156982
Cor,A4,6.460257904381419,0.11323302905264639,0.1074508413556419
Cor,B4,3.125659323894672,0.05460722825368971,0.0873507183069132
Gie,5,7.3442052440181245,0.12888722021833,0.1121242866138963
Gie,102,16.639939923446796,0.2988721393438943,0.1755230217474029
GB,inf,23.536026849026463,0.435560246293843,0.1326412346271611
GB,sup,21.07533168330893,0.3853733193475289,0.1496649782193032
MDG,ech,7.333146615514773,0.12869100936163733,0.1431381416870436
MDG,trel,5.485704878694013,0.09603724407686835,0.1284251691515354
MDG,tac,4.99056259711138,0.08732269140001336,0.108351753680182
