dist,z_bed,z_surf_1932,z_surf_1956,z_surf_1967,z_surf_1982,z_surf_1991,z_surf_2004,z_surf_2008,z_surf_2012,z_surf_2017,z_surf_2020
1721.0890895180396,3207.776393941788,3318.1196112214793,3319.143853715411,3317.5800988269148,3320.2131834396414,3311.3738141019107,3308.3717655622527,3309.1100544348396,3304.3736060236056,3303.847134309334,3301.7654297865884
1804.049053362493,3190.812557548344,3314.6823455575336,3312.353780645588,3314.1961339492464,3316.7575548331542,3308.2908041552255,3306.06733877287,3304.1371943691165,3300.59317510789,3300.7224984452846,3298.7462345545778
1885.010212449775,3181.2365362254645,3308.3313777777794,3306.1432323232293,3307.2085101010093,3310.2117676767784,3300.5253535353545,3298.5744641414167,3296.173863636363,3293.017651515153,3293.1418717851066,3290.5278537792074
1963.8849407451269,3172.51476600442,3294.7816424763705,3298.6170349291397,3293.947686573526,3297.3854164755458,3288.1899065875978,3284.731084914063,3283.649563250579,3278.821256582572,3279.277909690846,3276.876203639493
2040.5898986355105,3166.0494987118705,3282.4082345396105,3286.906486547303,3282.3345676117688,3286.3420972149543,3275.841905242649,3272.5083467600043,3270.946433868179,3267.1073402596294,3267.6145855482946,3265.119266329196
2115.046831993921,3148.2565442026334,3272.163636363657,3273.156136363667,3272.5150505050715,3271.6150000000193,3265.3801767677005,3261.5448636363813,3259.882803030321,3256.4046969697083,3256.3255099162616,3253.8473789675
2187.183548099362,3139.6633326103597,3263.208858056928,3261.734484090908,3262.7199054526636,3264.0143518074865,3258.026187869762,3253.2672211093295,3251.506054027488,3247.7350814911456,3246.4915354128966,3243.9710576054695
2256.9355578446985,3145.8514527435373,3255.3871033631003,3253.877969969894,3254.758272415002,3258.496759203345,3249.199839166602,3244.776348861288,3243.6198140038036,3239.2095452111507,3239.6020563187376,3237.3478696740513
2324.299818217262,3161.068460145067,3252.4604855331736,3249.5518398439417,3251.0948631269925,3253.6066449097066,3246.1510601070026,3241.1313200193154,3239.7147331708366,3235.5314123719945,3235.5909815419686,3233.433471505021
2389.380697131552,3166.4889754731857,3249.8014541313687,3248.0482185387514,3248.551467471607,3251.5903397653533,3242.4296180726433,3237.269330868301,3236.3820079929665,3232.2433040943533,3231.9175450361954,3229.47023213968
