dist,z_bed,z_surf_1934,z_surf_1971,z_surf_1985,z_surf_1997,z_surf_2003,z_surf_2008,z_surf_2013,z_surf_2017,z_surf_2020
0.0,3205.1484499999997,3290.415,3291.005,3291.21,3279.2349999999997,3276.87,3270.87,3265.955,3266.09,3265.14
52.37440272474396,3162.134398136167,3278.285599434277,3280.603184006184,3267.9871280986954,3267.510706299031,3264.9553849965732,3260.6943418262836,3255.462409059367,3254.3423450108185,3252.9230017128816
104.7057478224624,3126.554332176791,3268.47,3268.8600000000006,3261.9700000000003,3261.96,3260.49,3260.1900000000005,3250.1100000000006,3249.217558165491,3247.3556526799402
156.95101938088874,3109.4907168040177,3260.3600000000006,3260.33,3258.73,3259.44,3258.38,3255.31,3247.72,3245.4945612617403,3243.873891569402
209.06728542943802,3103.729331930752,3253.4652774161586,3258.1719761461627,3257.394544041679,3257.451766263906,3254.411524318302,3250.2638995766733,3245.894338289888,3243.664566269046,3242.1712127735805
261.01174121759914,3102.045444936813,3251.0449679565436,3256.9984025165822,3256.4566133586018,3255.984440851495,3252.1551117124654,3249.244584607417,3244.594392932854,3242.3240672364354,3240.646711890595
312.74175407596476,3100.163636532647,3250.3890678557773,3255.4770317754123,3254.9111039361633,3254.5703642477465,3250.0227697418354,3247.363511152246,3242.7820291924268,3240.7905845609625,3239.205829028366
364.2149104678924,3093.831492173867,3249.955000000002,3253.808888888888,3253.58888888889,3253.082222222223,3248.405555555555,3245.0583333333325,3241.058888888888,3238.829097254326,3237.1006139209926
415.38906583010066,3075.487115473418,3249.6800000000003,3252.27,3252.2500000000005,3250.91,3246.47,3243.32,3238.9800000000005,3236.478333333338,3234.6336666666725
466.2223979244859,3042.8799733811347,3249.79,3250.825,3250.505,3249.6749999999997,3244.615,3241.165,3236.495,3233.76608672749,3231.844602473568
516.6734644384142,3018.9066732530364,3249.402861608488,3249.337812605416,3248.3057232169754,3247.6515993577195,3242.2319364646714,3238.9281497123666,3233.899411963135,3231.1810517233107,3229.394520154822
566.7012657135956,3010.2437107381934,3248.603824820449,3249.4997391056754,3246.414627274701,3245.7469007248865,3239.917813854984,3236.678286725928,3231.3358047645324,3228.781856548472,3226.784071141577
616.2653135738933,3009.0611286848593,3247.6440635507374,3253.592013377147,3244.3051760968524,3241.8240087640315,3237.161838458524,3234.075868747559,3227.8375311092113,3225.8133803075916,3224.112297275609
665.3257073574364,3015.111895490817,3244.692627242591,3242.60376900728,3241.4547145588276,3238.2259728675963,3234.2379495587807,3231.22833014701,3225.1147942278894,3222.8889082250585,3221.3917678839607
713.8432184580543,3038.4697499466624,3239.703047688263,3239.4283414817746,3238.5340362354777,3234.6375901388474,3230.789689797167,3227.3694283724894,3221.243513386119,3218.4143222222183,3216.276111111104
761.7793848357151,3063.492456596573,3233.865515964777,3238.0069296621346,3230.6123641831914,3229.4135576121735,3225.9067093937583,3222.182398889355,3215.7918195279467,3213.404850994894,3210.900370658631
809.0966172457101,3076.36221809896,3228.682649012314,3232.0098216574634,3225.8316667791046,3224.687038888246,3220.847916863433,3217.0282145507467,3211.315967483769,3207.06895845982,3204.055042286675
855.7583191775707,3078.396732345085,3222.25611111114,3224.1227777778076,3219.428333333375,3217.9055555555933,3213.420000000052,3208.6444444444996,3204.038333333375,3201.23822931849,3198.211072792628
901.729022877536,3068.414225,3217.3,3219.32,3212.95,3211.59,3207.05,3202.11,3198.48,3194.56,3191.56
946.9840188382441,3054.9486113413095,3214.0644444444292,3216.3949999999913,3206.292222222183,3206.029999999955,3201.0216666666324,3196.05555555553,3191.6511111110713,3188.955284698155,3185.8791087224668
991.5372904579908,3045.3359437720774,3212.100893707986,3213.5816054040524,3201.3660447926104,3200.8926811239567,3196.043620334922,3191.967257021454,3187.052681123957,3185.0506702496386,3182.042340443586
1035.4122192262844,3039.8335736789913,3210.8399999999997,3210.1800000000003,3198.9999999999995,3198.52,3193.12,3189.27,3185.3,3181.6066666666625,3179.0858333333335
1078.6320035219455,3035.2891003060304,3208.9005555555605,3207.238888888901,3196.728333333327,3194.4866666666658,3190.447777777778,3187.2277777777776,3181.843888888896,3179.276258651599,3177.305286187237
