935894.21 343154.27
935885.55 343096.10
935873.17 343047.83
935886.78 342982.24
935917.72 342911.69
935949.90 342834.96
935985.80 342740.89
936004.36 342677.77
936006.84 342577.52
936001.89 342513.16
936000.65 342386.92
936006.84 342316.38
935999.41 342223.55
935974.66 342124.54
935947.43 342042.85
935923.91 341987.16
935936.29 341894.33
935970.94 341800.27
936003.12 341691.36
936066.24 341596.06
936144.22 341535.41
936176.40 341463.63
936222.19 341384.42
936295.21 341292.83
936373.18 341233.42
936464.77 341181.44
936508.09 341093.57
936515.51 341061.39
936566.26 341024.26
936577.40 340977.23
936588.54 340865.84
936579.87 340777.96
936574.92 340702.47
936543.98 340624.50
936524.18 340545.28
936539.03 340479.69
936510.56 340456.17
936478.38 340376.96
936473.43 340244.53
936468.48 340171.51
936501.90 340083.64
936592.25 339971.01
936636.80 339873.24
936672.70 339801.45
936652.89 339732.14
936660.32 339661.60
936706.11 339567.53
936768.00 339484.61
936795.84 339425.82
936815.03 339399.21
936881.86 339419.01
936946.84 339440.67
937008.10 339456.76
937054.51 339457.38
937064.42 339472.85
937071.22 339521.12
937074.94 339555.16
937100.93 339555.78
937120.11 339551.44
937145.48 339518.03
937163.43 339495.75
937167.14 339547.11
937181.38 339545.87
937183.23 339495.75
937193.13 339454.91
937250.07 339384.98
937305.76 339337.95
937358.98 339289.68
937378.16 339271.73
937417.77 339313.19
937443.76 339337.33
937449.95 339368.27
937430.76 339384.98
937428.29 339441.91
937420.86 339493.27
937411.58 339540.92
937406.01 339560.11
937423.96 339577.44
937441.28 339626.32
937454.28 339644.89
937488.31 339638.70
937511.83 339652.93
937584.23 339659.12
937619.51 339644.89
937652.30 339627.56
937682.63 339633.75
937717.90 339682.02
937750.70 339706.15
937786.59 339738.33
937813.82 339775.46
937835.48 339810.73
937844.14 339849.72
937847.24 339889.94
937821.25 339914.70
937787.83 339946.88
937765.55 339985.24
937738.94 340024.23
937735.85 340036.61
937753.17 340066.31
937765.24 340105.30
937773.60 340128.81
937757.20 340156.35
937759.98 340183.27
937738.32 340199.67
937735.54 340221.64
937739.25 340238.65
937726.25 340252.58
937729.66 340270.52
937758.12 340260.00
937780.09 340274.86
937800.20 340322.20
937802.68 340366.44
937828.67 340389.65
937844.14 340419.97
937836.41 340448.75
937842.59 340476.59
937851.57 340493.30
937837.03 340517.44
937837.64 340549.62
937824.96 340569.42
937809.49 340587.98
937791.54 340609.33
937766.79 340613.67
937745.13 340627.28
937700.26 340641.51
937665.30 340660.39
937624.46 340657.91
937580.52 340676.79
937536.89 340704.63
937501.93 340715.15
937473.15 340749.50
937447.16 340783.22
937418.70 340814.48
937398.58 340829.95
937376.62 340857.48
937360.53 340877.29
937361.45 340897.40
937292.15 340950.31
937253.78 340970.73
937203.34 340991.77
937179.21 341019.31
937198.08 341053.34
937214.79 341088.00
937239.24 341111.82
937275.75 341132.86
937284.41 341160.09
937293.38 341185.15
937301.12 341200.94
937280.08 341242.09
937296.17 341298.40
937293.69 341350.69
937291.22 341376.06
937268.01 341403.91
937239.24 341424.33
937203.03 341438.26
937181.99 341424.95
937130.32 341486.37
937105.26 341513.29
937086.38 341517.31
937038.43 341508.65
937031.00 341455.74
937040.90 341419.23
937034.71 341377.15
937023.26 341356.73
937000.99 341327.33
936973.14 341332.59
936951.79 341292.68
936946.84 341336.30
936923.01 341380.55
936878.77 341453.57
936857.42 341503.70
936814.41 341592.19
936792.75 341635.20
936771.09 341661.81
936753.76 341685.63
936728.08 341691.51
936709.83 341717.50
936703.64 341764.22
936691.57 341800.74
936672.70 341832.61
936655.68 341879.95
936631.85 341918.93
936610.81 341969.99
936594.42 342012.99
936593.49 342045.17
936595.34 342095.92
936583.28 342167.39
936576.47 342241.65
936559.76 342338.19
936546.15 342414.92
936531.29 342478.66
936498.50 342558.49
936458.89 342652.56
936431.04 342739.19
936391.44 342817.78
936331.41 342887.09
936254.68 342937.22
936218.79 342993.53
936164.95 343034.37
936119.77 343061.60
936080.17 343109.25
936049.23 343164.95
936023.85 343203.93
935978.06 343224.35
935926.08 343225.59
935903.80 343183.51
