dist,z_bed,z_surf_1907,z_surf_1953,z_surf_1986,z_surf_1998,z_surf_2003
0.0,2992.3582499999998,2999.0964284732718,3000.1740185729986,3012.398379767708,3004.989099320216,3009.6517179651273
31.120553047038296,2987.191270388763,2999.1287226167274,3000.170517006377,3007.778036464887,2998.967670108035,3002.5759454446847
62.224848891204275,2982.472774914426,2998.555311965491,3000.393653154555,3003.768126775203,2994.431144521279,2998.096465811408
93.29668162019037,2979.647476146244,2994.0082737395774,2999.513495376269,3001.4978644334738,2993.0246444924487,2995.733613819713
124.31994830591483,2978.9909286931193,2989.779019768963,2992.455713334595,2999.9442472472265,2993.1569693189476,2994.3526152027925
155.27870150424235,2977.411080464263,2984.7655565591494,2990.863214611787,3000.161451512329,2995.167817080396,2996.324383556438
186.1572029748553,2975.4185026909577,2978.557050477995,2990.217932824842,2999.768899341949,2992.6936279126953,2994.8323668686153
216.9399790377388,2970.1081889570187,2972.25109311664,2985.063418882447,2995.6623952741957,2988.7818778917617,2990.4350832051323
247.61187799783414,2961.3211029910967,2962.7325629389516,2979.26879561604,2989.1026089075244,2980.19058106984,2981.70836704734
278.15813008117834,2951.2643552086683,2953.091852099073,2968.340717683426,2980.618608781462,2969.58146097767,2972.753033870897
308.5644103380177,2938.9952838087884,2949.47348487257,2955.499477435392,2968.767671408863,2959.082125511196,2962.375923273372
338.8169049878453,2926.0032882400455,2945.6094462305396,2943.7600679099287,2955.4620416976395,2947.6442120875154,2949.543327263091
368.9023816915967,2913.288215656228,2938.287812354767,2936.7963980251334,2943.4457806216697,2933.741559654833,2933.9181040372932
398.8082642537846,2903.7604469249563,2929.1378016044973,2929.266500322583,2932.954456335907,2922.162197021132,2922.347257171157
428.5227122647656,2898.668287772608,2917.2819764255955,2923.9896571608742,2924.1341483429346,2914.6603217188353,2915.045632992776
458.0347062001954,2892.245653321962,2907.4954373782566,2915.381798921527,2918.7325680051467,2907.7828840944276,2907.813056805384
487.33413849135985,2885.5666103806443,2903.9673756656507,2908.4636178767287,2913.035496557247,2904.3861768673637,2901.132197290803
516.4119110642381,2878.602408587817,2900.9433529975813,2901.686723846792,2907.41305521367,2899.276359838568,2894.8643242925264
545.2600398153857,2871.951619755583,2900.412663442115,2898.054708992202,2901.048722774044,2892.8265741401638,2890.0042845137937
573.8717664401112,2865.214325965977,2897.543008539488,2893.311024406179,2895.7233525789193,2886.5941530967007,2884.6681970195505
602.241677946906,2859.6401230635174,2895.637191635013,2888.5087042172972,2890.4339305725152,2882.8098948692696,2880.921752410529
630.3658340781789,2854.3005499101837,2893.552353526403,2885.9989523588083,2885.989433186914,2880.1583412958153,2875.6372332019505
658.2419026936891,2850.443824408408,2881.772030821542,2882.0583035369905,2882.390825837397,2874.6832318006022,2873.0144665238195
685.8693029625542,2847.2769626875156,2878.443933882034,2879.666857029341,2879.5167577500706,2870.733391621082,2871.08589181577
713.2493559273429,2843.973663808172,2875.180885870752,2877.9405855825576,2877.336121115417,2867.89329349704,2869.339553387448
740.3854416552431,2839.9010597322886,2872.0220667185567,2874.6647932772644,2875.151320259305,2865.0683138894146,2863.818560018075
767.2831617553848,2835.103193484012,2868.9390382692213,2872.1891444888424,2871.2629731541742,2861.34187906287,2860.168976344408
793.9505055212642,2830.1795607062068,2866.199511127984,2866.0718732731675,2867.3010269469905,2857.4056724620846,2856.4799058725566
820.3981517826973,2824.5591886996717,2863.5278872846925,2862.706278193208,2863.207604358622,2852.766995319142,2850.937545785807
846.6459560461415,2819.241074563946,2855.8296050168765,2856.671853023052,2858.8737751701206,2848.098685399012,2846.7933956534107
872.7229887129854,2814.6616260193564,2853.924851260931,2853.011683021267,2854.976474427025,2843.83816219338,2841.7414529280422
898.6563808736695,2810.7293488763453,2852.6622514231785,2848.849773255417,2851.1157046311982,2839.754966635113,2837.627799811511
924.4704909083987,2807.5867450560663,2851.424543411265,2846.7988189554326,2847.253678258567,2836.307683894264,2834.9580908044973
