year,slope,slope_avg_160m
1905,7.153983995160688,7.8834267441488315
1908,5.798060022588301,6.642481674707636
1952,3.3435114296858752,5.999226576523158
1971,9.359938921817225,9.228263609561207
1998,6.920167972552754,7.781752926402455
2008,8.557832865953712,8.099587903070011
2019,8.857411325429178,8.957847332777595
