year,slope,slope_avg_200m
1958,3.2906973682473026,5.04844339343352
1979,5.34542365425428,4.9454773900866345
2003,5.473065557864521,5.3100895752342065
2008,5.520426497787649,5.339423954111251
2019,6.672532563048281,5.262529596696162
