year,slope,slope_avg_360m
1934,0.7394130940715969,2.419453077204846
1983,1.7616998023909387,3.3806782463104423
1998,2.616515296777496,3.6014507546970704
2003,2.870858433686244,3.7268417902611253
2008,2.7395150008350977,4.2525969498642615
2017,6.163490102395597,5.0584180753681265
