glacier,stake,fit_type,CN,q,As,m
All,101,Lliboutry,0.12109120226157055,1.0,17666.40020240846,3.0
Arg,4,Lliboutry,0.13745833430315266,1.0,15694.702384901448,3.0
Arg,5,Lliboutry,0.12804734748281418,1.0,11770.712705326694,3.0
Cor,A4,Lliboutry,0.11085347320260357,1.0,4530.98014831546,3.0
Cor,B4,Lliboutry,0.088316206660003,1.0,3208.6303154159227,3.0
Geb,sup,Tsai,0.0664908941481769,,60745.87982711359,3.146446907545465
Geb,ss,Tsai,0.05,,83.98018799695114,0.7124742174477741
Gie,5,Lliboutry,0.11529761304301306,1.0,14690.692669807588,3.0
Gie,102,Lliboutry,0.15939134612023526,1.0,19793.02915501238,3.0
GB,inf,Lliboutry,0.13124974189374572,1.0,2481.015059324484,3.0
GB,sup,Lliboutry,0.15043050288872084,1.0,6848.371600357614,3.0
MDG,ech,Lliboutry,0.14142898156942146,1.0,12346.909275709639,3.0
MDG,trel,Lliboutry,0.13454291376472588,1.0,9666.057984527328,3.0
MDG,tac,Lliboutry,0.11345727223336045,1.0,18716.820716956754,3.0
StSo,B,Lliboutry,0.24997578243807358,1.0,8983.483224637397,3.0
StSo,C,Lliboutry,0.1196484356446956,1.0,6105.801021279589,3.0
