u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
30.09655338375208,40.04687498547371,0.09816327585999904,0.09042255245723761,-0.01876068252776648,9.950321601721626,0.009503716358727085,0.08468799758811113,-0.04876098130841121,0.04476822429906543,-0.004381827205050659,1.209559813084112,-0.022519312177126213,1934.0,0.07166186992947113,,,,,,
,,,,,,,,,,,,,1966.0,,34.91,3085.81,162.57999999999993,0.08609041704131849,8.16401568008774,26.745984319912257
,,,,,,,,,,,,,1967.0,,34.41,3085.41,162.17999999999984,0.08583744616025417,8.07917193483431,26.330828065165687
,,,,,,,,,,,,,1968.0,,37.41,3086.33,163.0999999999999,0.08641927918670203,8.275252688841258,29.13474731115874
,,,,,,,,,,,,,1969.0,,36.57,3086.33,163.0999999999999,0.08641927918670203,8.275252688841258,28.294747311158744
,,,,,,,,,,,,,1970.0,,37.07,3088.05,164.82000000000016,0.08750705397527855,8.650844135819012,28.419155864180986
30.1892344610415,39.535656644134626,0.1341035729285347,0.09061536444501961,-0.012258233123074001,9.346422183093125,0.03588310246202652,0.11479054329713052,-0.05535817757009346,0.03992172897196262,-0.004658272267992839,1.2233,-0.016330619695175127,1971.0,0.0783571313219456,35.74,3086.33,163.0999999999999,0.08641927918670203,8.275252688841258,27.464747311158746
,,,,,,,,,,,,,1972.0,,34.58,3085.41,162.17999999999984,0.08583744616025417,8.07917193483431,26.50082806516569
,,,,,,,,,,,,,1973.0,,33.91,3084.89,161.65999999999985,0.08550858401487063,7.96980966416825,25.940190335831748
,,,,,,,,,,,,,1974.0,,36.08,3085.81,162.57999999999993,0.08609041704131849,8.16401568008774,27.91598431991226
,,,,,,,,,,,,,1975.0,,35.41,3085.28,162.05000000000018,0.08575523062390851,8.051732535891755,27.35826746410824
,,,,,,,,,,,,,1976.0,,35.58,3085.15,161.92000000000007,0.08567301508756255,8.024359094974656,27.555640905025342
,,,,,,,,,,,,,1977.0,,35.24,3086.47,163.23999999999978,0.08650781899507445,8.305383486302441,26.934616513697563
,,,,,,,,,,,,,1978.0,,37.57,3087.91,164.67999999999984,0.08741851416690585,8.619829552284285,28.950170447715713
,,,,,,,,,,,,,1979.0,,38.9,3086.99,163.75999999999976,0.08683668114045799,8.417978532331233,30.482021467668766
,,,,,,,,,,,,,1980.0,,40.9,3089.23,166.0,0.08825331807441804,8.91541035288907,31.98458964711093
,,,,,,,,,,,,,1981.0,,42.89,3091.07,167.84000000000015,0.08941698412731376,9.339363353924476,33.550636646075525
,,,,,,,,,,,,,1982.0,,37.57,3090.81,167.57999999999993,0.08925255305462186,9.278604152709443,28.29139584729056
,,,,,,,,,,,,,1983.0,,37.57,3089.49,166.25999999999976,0.08841774914710966,8.974468440404378,28.59553155959562
,,,,,,,,,,,,,1984.0,,34.58,3089.89,166.65999999999985,0.08867072002817399,9.065869632301021,25.514130367698975
27.879961523459887,35.666129537447745,0.10911499623733889,0.08369330681469019,-0.017631091463267266,7.786168013987858,0.06877916312829692,0.09955367751587979,-0.04908341121495327,0.04055514018691588,-0.0040539006520766,1.159018457943925,-0.023265170745944915,1985.0,0.06606221535142293,37.41,3089.76,166.5300000000002,0.08858850449182833,9.036091951047075,28.37390804895292
,,,,,,,,,,,,,1986.0,,35.74,3088.7,165.4699999999998,0.08791813165700776,8.795879161630785,26.944120838369216
