xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
2597413.4505,1093375.8393,-3.3723,2.1862,-2.24,14.5584,398.3137,-10.9333,-11.5475,54.2245,0.6749,0.3925,-0.6249,-45.7941,0.115,-3.3559,2.2106,-2.6532,14.5584,-0.0181,0.115,0.6749,0.3925,-0.6249,0.5613,-0.1554,0.3392,4.018939876385313,4.018559091266421
2597436.8693,1093360.4129,-3.1382,2.0437,-2.2454,10.0,414.9326,-5.7946,-9.2939,47.2156,0.6883,0.366,-0.6263,-36.9624,0.0891,-3.1174,2.0535,-2.5698,10.0,-0.0079,0.0891,0.6883,0.366,-0.6263,0.3119,-0.2296,0.15,3.7449978544720155,3.7329673197069377
2597460.2881,1093344.9864,-2.6849,1.7467,-1.9892,10.0,447.6153,-2.6994,-9.2245,43.6539,0.6988,0.358,-0.6193,-32.2243,0.072,-2.5772,1.6976,-2.3152,10.0,-0.0078,0.072,0.6988,0.358,-0.6193,0.3385,-0.2338,0.1692,3.203068669260776,3.086066363511971
2597483.7069,1093329.56,-2.2485,1.4438,-1.6951,10.0,396.793,-3.4298,-9.2006,36.0035,0.7052,0.3926,-0.5904,-27.2884,0.0688,-2.1768,1.4339,-2.0243,10.0,-0.0075,0.0688,0.7052,0.3926,-0.5904,0.4526,-0.2499,0.2673,2.672135978950173,2.6066314373152184
2597507.1257,1093314.1335,-1.9313,1.2232,-0.9177,10.0,340.3315,-7.9743,-11.7526,46.0778,0.5794,0.4609,-0.6722,-41.0111,0.1205,-1.8921,1.2463,-1.2997,10.0,0.0134,0.1205,0.5794,0.4609,-0.6722,0.83,-0.2343,0.7438,2.286074786615696,2.2656800524345884
2597535.7453,1093269.3298,-0.3834,1.4139,-0.7024,10.0,462.7872,-38.1222,0.0481,63.4127,0.8738,-0.0512,-0.4836,-63.98,0.1382,-0.2772,1.5655,-1.4752,10.0,-0.0499,0.1382,0.8738,-0.0512,-0.4836,0.8358,-0.0348,0.6997,1.4649603305209324,1.589852222692411
2597540.9462,1093239.9525,-0.1608,0.3523,-0.1065,10.0,604.2708,-29.4751,-13.6999,70.8753,0.8098,0.0977,-0.5785,-66.2083,0.1096,-0.1001,0.5657,-0.985,10.0,-0.0393,0.1096,0.8098,0.0977,-0.5785,0.6208,-0.0933,0.3941,0.3872620947110626,0.5744880329475976
2597546.147,1093210.5752,-0.3674,0.9671,-0.2737,11.1503,357.6939,-28.0433,-7.6309,60.5548,0.8178,0.0624,-0.5721,-58.0536,0.1623,-0.17,0.9601,-1.5279,11.1503,-0.0616,0.1623,0.8178,0.0624,-0.5721,0.5331,-0.177,0.3155,1.034536210096099,0.975034363497
2597551.3478,1093181.1979,-0.474,1.3195,-0.3339,16.8761,552.8351,-42.9376,-11.6833,108.6075,0.7511,0.0424,-0.6588,-104.2968,0.1887,-0.2836,1.6017,-2.242,16.8761,-0.0656,0.1887,0.7511,0.0424,-0.6588,0.4838,-0.1231,0.2492,1.4020542963808498,1.6266136142304968
2597556.5486,1093151.8206,-0.5895,1.8939,-0.5409,15.5179,406.5069,-33.9842,-8.0751,78.9451,0.7977,0.0252,-0.6026,-74.8828,0.1842,-0.44,2.4852,-2.2096,15.5179,-0.0905,0.1842,0.7977,0.0252,-0.6026,0.4347,0.0191,0.1893,1.9835240003589572,2.523850043088931
2597561.7494,1093122.4433,-0.6797,3.1909,-1.2171,10.0,491.8109,-25.9091,-9.7848,63.9187,0.8266,-0.0506,-0.5606,-56.7508,0.1154,-0.6614,3.7361,-1.8878,10.0,-0.0616,0.1154,0.8266,-0.0506,-0.5606,0.4323,-0.0549,0.1899,3.2624890651157745,3.7941920312498683
2597566.9503,1093093.066,-1.1064,5.7733,-1.8089,10.0,505.0698,-24.0264,-18.3904,64.2814,0.8225,-0.0149,-0.5686,-56.0373,0.1109,-1.1342,6.4064,-2.3282,10.0,-0.0173,0.111,0.8225,-0.0149,-0.5686,0.7969,-0.4382,0.8272,5.87835979249314,6.506025714674052
2597572.1511,1093063.6887,-2.9557,5.2257,0.0799,38.2011,496.6213,-127.1053,-112.5002,238.2415,0.7574,0.2851,-0.5875,-268.2988,0.5402,-1.06,5.9873,-10.9193,38.2011,0.1063,0.5402,0.7574,0.2851,-0.5875,1.2828,-0.7316,2.1806,6.003674123401436,6.080407987133759
2597577.3519,1093034.3114,-8.5014,3.7443,-6.299,69.0817,400.5141,-167.9779,-94.2346,229.2908,0.7816,0.2507,-0.5712,-285.8872,0.7138,-0.8717,4.924,-31.6038,69.0817,0.063,0.7138,0.7816,0.2507,-0.5712,1.1668,-0.5619,1.6772,9.28943402204892,5.000563657229053
2597582.5527,1093004.9341,-11.7081,5.4068,-12.9415,98.5758,480.7188,-243.5366,-13.2024,277.1681,0.832,0.0655,-0.5509,-356.1754,0.7409,-1.4362,8.1125,-44.4433,98.5758,0.0118,0.7409,0.832,0.0655,-0.5509,1.0751,-0.669,1.6033,12.896243323154227,8.238648353340494
2597587.7535,1092975.5568,-10.1851,3.4829,-10.9286,102.9507,471.0408,-217.5529,49.9059,278.0278,0.7786,-0.0701,-0.6236,-346.2645,0.7351,-1.7005,9.6054,-43.437,102.9507,-0.111,0.7351,0.7786,-0.0701,-0.6236,0.7329,0.3107,0.6337,10.764146711188955,9.754763421528992
2597592.9543,1092946.1795,-1.8305,-2.1555,-0.812,73.2252,343.3796,-54.6433,-8.0204,214.5816,0.5462,0.0967,-0.8321,-209.1648,0.6091,-1.5941,9.0046,-36.7849,73.2252,0.2349,0.6091,0.5462,0.0967,-0.8321,0.86,0.9478,1.6379,2.8278809204066566,9.144614588379326
2597598.1552,1092916.8021,-0.3762,-0.8988,-0.1476,67.491,385.8758,-34.088,-0.6927,194.3197,0.5462,0.0967,-0.8321,-180.3698,0.4674,-1.9819,11.1951,-22.102,67.491,0.1414,0.4674,0.5462,0.0967,-0.832,1.1408,0.4561,1.5095,0.9743551098034022,11.369177262229664
2597603.356,1092887.4249,-0.6595,-0.6044,-0.2143,48.0712,291.2203,-21.5118,-3.1545,125.8261,0.5236,0.129,-0.8421,-117.6318,0.4039,-0.896,5.0612,-6.6511,48.0712,0.1038,0.4039,0.5236,0.129,-0.8421,0.7278,0.6715,0.9806,0.8945611270338097,5.139898971769776
2597608.5568,1092858.0475,-0.1924,-0.1896,-0.0497,41.7228,336.3409,-18.9125,7.4857,99.7486,0.5839,0.092,-0.8066,-90.8089,0.27,-0.1798,1.0156,-2.8063,41.7228,0.0463,0.27,0.5839,0.092,-0.8066,0.9958,0.2773,1.0686,0.27012204649010046,1.03139294160858
2597613.7576,1092828.6702,-0.2315,0.6238,-0.2978,36.2435,381.1867,-21.5796,26.1787,93.8496,0.6569,-0.1773,-0.7328,-87.592,0.2298,-0.2444,1.3803,-2.4018,36.2435,0.0244,0.2298,0.6569,-0.1773,-0.7328,1.1104,0.0106,1.233,0.6653710919479445,1.401770113106996
2597618.9584,1092799.2929,-0.1165,0.6649,-0.1095,29.1644,519.8849,-17.4568,2.5538,119.8741,0.5595,-0.032,-0.8282,-109.1311,0.2099,-0.2111,1.1922,-1.7622,29.1644,0.0418,0.2099,0.5595,-0.032,-0.8282,0.9826,0.1736,0.9957,0.67502908085504,1.2107452457061312
2597624.1593,1092769.9156,-0.1167,1.2401,-0.6307,25.3306,370.0411,7.633,13.2719,56.3233,0.5014,-0.3128,-0.8067,-45.7609,0.1237,-0.2233,1.2613,-1.5609,25.3306,0.0176,0.1237,0.5014,-0.3128,-0.8067,0.8907,-0.0927,0.802,1.245578941697394,1.2809139627625268
