xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
901508.6721,325889.3163,-0.0009,0.017,-0.0018,10.0,382.6097,-3.3459,-1.3416,34.9042,0.5809,-0.0548,-0.8122,-30.2178,0.079,-0.0012,0.0195,0.0025,10.0,0.0126,0.079,0.5808,-0.0548,-0.8122,-0.0164,-0.0551,0.0033,0.017023806859806652,0.019536888186197924
901470.6526,325684.9615,-0.0097,0.0399,-0.0039,13.2824,605.533,-6.5651,-3.6138,69.4818,0.3955,0.0028,-0.9185,-66.4227,0.1097,-0.0169,0.0699,0.0476,13.2824,0.0336,0.1097,0.3955,0.0028,-0.9185,-0.0653,-0.1703,0.0333,0.041062148019800425,0.07191397638846013
901541.9392,325589.9128,-0.0021,0.0196,-0.0021,10.0,192.6026,-1.5439,-0.7024,17.5716,0.6559,-0.0067,-0.7548,-14.2715,0.0741,-0.0033,0.0266,0.0058,10.0,0.0172,0.0741,0.6559,-0.0067,-0.7548,-0.0192,-0.0639,0.0045,0.01971217897646021,0.02680391762410861
901437.3856,325357.0434,0.235,0.89,-0.2093,10.0,242.8934,-11.7944,-5.7439,13.8738,0.7436,-0.2837,-0.6054,-15.5405,0.064,0.2098,1.1363,0.1004,10.0,0.0245,0.064,0.7436,-0.2837,-0.6054,-0.0954,-0.1013,0.0194,0.9205025801158843,1.1555058329580168
901446.8904,325285.7569,-0.0328,0.027,-0.0116,10.0,387.3185,-5.3338,-1.8383,30.8257,0.4583,0.1028,-0.8828,-29.847,0.0771,-0.036,0.0299,0.0056,10.0,0.0037,0.0771,0.4583,0.1028,-0.8828,0.163,-0.2192,0.0746,0.04248340852615289,0.046797542670529185
901565.7013,325271.4996,-0.0537,0.0163,-0.0125,10.0,314.6751,-0.5133,0.13,28.7601,0.326,0.4277,-0.8431,-24.3585,0.0774,-0.0718,0.0212,0.0031,10.0,-0.0133,0.0774,0.326,0.4277,-0.8431,0.2214,0.0201,0.0494,0.056119337130796546,0.07486441077040545
901641.7403,325233.4801,-0.0463,-0.0101,-0.0048,10.0,380.202,1.4254,2.6704,38.7001,0.0497,0.1762,-0.9831,-37.5045,0.0986,-0.0871,-0.0166,0.0471,10.0,0.0361,0.0986,0.0497,0.1762,-0.9831,0.293,-0.1792,0.118,0.04738881724626602,0.08866775061994073
901698.7696,325314.2715,0.0112,0.1773,-0.0528,10.0,389.9417,2.4377,-0.8632,34.7257,-0.4318,-0.2078,-0.8777,-31.3523,0.0804,0.015,0.2002,-0.0399,10.0,0.0125,0.0804,-0.4318,-0.2078,-0.8777,0.0414,-0.3673,0.1366,0.17765339850394082,0.20076115162052643
901655.9976,325423.5775,0.0158,0.054,-0.0161,10.0,230.5148,-1.3096,2.5422,21.5293,-0.5449,-0.0516,-0.8369,-17.4358,0.0756,0.0243,0.0847,0.0126,10.0,0.0175,0.0756,-0.5449,-0.0516,-0.8369,0.0446,-0.1763,0.0331,0.0562640204749003,0.08811685423345525
901789.0659,325499.6165,-0.0016,0.0027,0.0003,10.0,165.7189,0.9329,-2.7228,19.1501,-0.1988,0.6687,-0.7165,-15.727,0.0949,-0.002,-0.0006,0.0393,10.0,0.0172,0.0949,-0.1988,0.6687,-0.7165,0.0314,0.0019,0.001,0.003138470965295043,0.00208806130178211
