glacier,stake,fit_type,CN,q,As,m
All,101,Lliboutry,0.10785619254830262,1.0,32852.73716826607,3.0
Arg,4,Lliboutry,0.11997391071327616,1.0,24087.989896182276,3.0
Arg,5,Lliboutry,0.11411625813134964,1.0,20043.453849125624,3.0
Cor,A4,Lliboutry,0.10244736387110395,1.0,7896.309491684751,3.0
Cor,B4,Lliboutry,0.08115927137757678,1.0,5883.124583190316,3.0
Geb,sup,Tsai,0.05881766055907359,,513262.69441216014,3.7149409492923695
Geb,ss,Tsai,0.05,,182.4143687981551,0.9726187385463297
Gie,5,Lliboutry,0.10649970069469049,1.0,19837.00668345946,3.0
Gie,102,Lliboutry,0.24624745290839636,1.0,27194.16310246222,3.0
GB,inf,Lliboutry,0.12419547794973267,1.0,6097.600554115654,3.0
GB,sup,Lliboutry,0.14349051704033647,1.0,12749.215002910381,3.0
MDG,ech,Lliboutry,0.13594491775379233,1.0,24508.51827912932,3.0
MDG,trel,Lliboutry,0.12518611338666766,1.0,14294.804483148591,3.0
MDG,tac,Lliboutry,0.09271737817886105,1.0,27732.54700060674,3.0
StSo,B,Lliboutry,29.019264629905386,1.0,10483.342871827095,3.0
StSo,C,Lliboutry,0.1322805927196345,1.0,9862.593738805157,3.0
