vel_fit,tau_fit
2.0,0.11461368663571704
4.202020202020202,0.09577082480329485
6.404040404040404,0.09194501658071641
8.606060606060606,0.09028418238851801
10.808080808080808,0.08935469664297992
13.01010101010101,0.08876041700350051
15.212121212121211,0.08834764696806784
17.41414141414141,0.08804422204601695
19.616161616161616,0.08781176477578832
21.818181818181817,0.08762797942372275
24.02020202020202,0.08747902584159704
26.22222222222222,0.08735585763581397
28.424242424242422,0.08725231184115784
30.626262626262626,0.08716404477361932
32.82828282828282,0.08708790680474315
35.03030303030303,0.08702155841540268
37.23232323232323,0.08696322545630485
39.43434343434343,0.08691153808329184
41.63636363636363,0.08686542178913752
43.83838383838384,0.08682402187738247
46.04040404040404,0.08678664998652244
48.24242424242424,0.08675274550205657
50.44444444444444,0.08672184723500491
52.64646464646464,0.08669357231542081
54.848484848484844,0.08666760024378542
57.05050505050505,0.08664366068726204
59.25252525252525,0.08662152403354118
61.45454545454545,0.0866009940016779
63.656565656565654,0.08658190180562594
65.85858585858585,0.0865641015026914
68.06060606060606,0.08654746625542939
70.26262626262626,0.08653188530433978
72.46464646464646,0.08651726149851766
74.66666666666667,0.08650350926785845
76.86868686868686,0.08649055294736556
79.07070707070707,0.08647832538423797
81.27272727272727,0.0864667667735864
83.47474747474747,0.08645582368016189
85.67676767676768,0.08644544821232483
87.87878787878788,0.08643559732131169
90.08080808080808,0.08642623220417278
92.28282828282828,0.08641731779291707
94.48484848484848,0.08640882231568385
96.68686868686869,0.08640071691836504
98.88888888888889,0.08639297533718117
101.0909090909091,0.08638557361438129
103.29292929292929,0.08637848985058262
105.4949494949495,0.08637170398835721
107.69696969696969,0.08636519762256013
109.8989898989899,0.08635895383362253
112.1010101010101,0.0863529570406293
114.3030303030303,0.08634719287149527
116.5050505050505,0.0863416480479627
118.7070707070707,0.08633631028348247
120.9090909090909,0.08633116819232638
123.11111111111111,0.08632621120851486
125.31313131313131,0.08632142951334588
127.51515151515152,0.08631681397047833
129.7171717171717,0.08631235606766732
131.91919191919192,0.08630804786436921
134.12121212121212,0.08630388194453804
136.32323232323233,0.08629985137402288
138.5252525252525,0.08629594966205138
140.72727272727272,0.08629217072634954
142.92929292929293,0.08628850886150295
145.13131313131314,0.08628495871021416
147.33333333333334,0.08628151523715082
149.53535353535352,0.08627817370511667
151.73737373737373,0.08627492965330788
153.93939393939394,0.08627177887744518
156.14141414141415,0.08626871741159522
158.34343434343435,0.08626574151151654
160.54545454545453,0.08626284763938248
162.74747474747474,0.08626003244975024
164.94949494949495,0.08625729277665926
167.15151515151516,0.08625462562175396
169.35353535353536,0.08625202814333731
171.55555555555554,0.08624949764627149
173.75757575757575,0.08624703157264953
175.95959595959596,0.08624462749317077
178.16161616161617,0.08624228309915867
180.36363636363637,0.0862399961951656
182.56565656565655,0.08623776469211544
184.76767676767676,0.08623558660093823
186.96969696969697,0.08623346002665691
189.17171717171718,0.08623138316288832
191.37373737373738,0.0862293542867256
193.57575757575756,0.08622737175397133
195.77777777777777,0.08622543399469357
197.97979797979798,0.0862235395090795
200.1818181818182,0.08622168686356403
202.3838383838384,0.08621987468721191
204.58585858585857,0.08621810166833452
206.78787878787878,0.08621636655132342
208.989898989899,0.08621466813368511
211.1919191919192,0.08621300526326175
213.39393939393938,0.08621137683562465
215.59595959595958,0.08620978179162804
217.7979797979798,0.08620821911511192
220.0,0.08620668783074306
