xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
936051.32,341734.11,0.0,0.0,-0.0,10.2484,274.5893,6.093,3.1557,23.732,-0.6491,-0.4084,-0.6418,-20.4744,0.0746,-0.0006,0.0012,-0.0029,10.2484,-0.0333,0.0746,-0.6491,-0.4084,-0.6418,-0.3177,-0.2798,0.1792,0.0,0.0013416407864998738
936084.21,341668.34,0.0,0.0,-0.0,10.0,257.2267,6.15,3.3643,20.9651,-0.6524,-0.4431,-0.6149,-18.3938,0.0715,-0.0006,0.001,-0.0026,10.0,-0.0362,0.0715,-0.6524,-0.4431,-0.6149,-0.3234,-0.2301,0.1576,0.0,0.00116619037896906
936124.4,341609.88,0.0,0.0,-0.0,10.0,316.9194,7.2184,3.0329,27.2974,-0.605,-0.4283,-0.6712,-23.9884,0.0757,-0.0002,0.0003,-0.0009,10.0,-0.039,0.0757,-0.605,-0.4283,-0.6712,-0.2219,-0.1976,0.0883,0.0,0.0003605551275463989
936157.29,341562.37,-0.0,0.0,-0.0,12.8237,382.6784,11.7127,5.0379,40.548,-0.5523,-0.4831,-0.6794,-36.4512,0.0953,-0.0029,0.0045,-0.0021,12.8237,-0.037,0.0953,-0.5523,-0.4831,-0.6794,-0.1396,-0.3339,0.131,0.0,0.005353503525729669
936234.02,341438.14,-0.0,-0.0,0.0,15.7869,685.7974,23.9223,9.4922,96.5447,-0.5313,-0.4164,-0.7378,-87.8919,0.1282,-0.004,0.0059,-0.0083,15.7869,-0.0527,0.1282,-0.5313,-0.4164,-0.7378,-0.1905,-0.2402,0.094,0.0,0.007128113354878694
936318.06,341321.21,-0.0,-0.0,0.0,18.3775,366.6296,14.7369,9.723,54.1609,-0.5298,-0.5166,-0.6726,-49.2596,0.1344,-0.0036,0.004,-0.0101,18.3775,-0.0524,0.1344,-0.5298,-0.5166,-0.6726,-0.2968,-0.349,0.2098,0.0,0.005381449618829484
936800.17,341564.35,-0.0001,0.0001,-0.0,28.3054,316.5226,-2.3671,3.9287,79.7564,0.4865,0.0858,-0.8695,-70.1591,0.2217,-0.046,0.0723,-0.002,28.3054,0.0602,0.2217,0.4865,0.0858,-0.8695,-0.0078,-0.1973,0.039,0.0001414213562373095,0.0856929985471392
936691.88,341691.5,-0.0001,0.0002,-0.0,29.782,389.8254,-4.4985,6.8161,101.6958,0.5126,0.0689,-0.8559,-88.8733,0.228,-0.0393,0.0668,-0.0061,29.782,0.058,0.228,0.5126,0.0689,-0.8559,-0.0115,-0.1845,0.0342,0.00022360679774997898,0.07750309671232498
936626.11,341866.89,-0.0001,0.0002,-0.0,31.9804,308.3288,-5.1331,-0.2956,85.5592,0.5125,0.0341,-0.858,-76.0494,0.2467,-0.028,0.0791,-0.0223,31.9804,0.0302,0.2467,0.5125,0.0341,-0.858,0.0135,-0.1558,0.0245,0.00022360679774997898,0.08390953461913611
936556.69,342075.17,-0.0001,0.0003,-0.0001,37.8215,319.6978,-7.0084,7.7617,102.3097,0.5032,-0.0844,-0.86,-92.1706,0.2883,-0.0246,0.109,-0.0263,37.8215,-0.0184,0.2883,0.5032,-0.0844,-0.86,0.0422,-0.1619,0.028,0.0003162277660168379,0.11174148737152195
