date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_interp,obs_tau_b,obs_u_def,obs_u_bed,u_def_interp,u_bed_interp,tau_b_interp
1967,15.01246711348734,20.067353510161364,0.14463539295085642,0.10767914497519201,0.06808507154997616,5.054886396674025,0.45775608998058975,0.3420550868235603,1.5508035177712953,0.25781775700934584,-0.22882056074766355,-0.11882884485020527,0.4325710280373831,0.1609265037254951,0.17576421652516816,17.501204912159743,2319.787759048213,,40.417759048213156,0.45775608998058975,0.1055224647301127,5.231392112627102,,5.054886396674025,,0.11626917196028996
1970,,,,,,,,,,,,,,,,,,28.7594851880325,,0.44066373700048556,,,,5.477877078176904,23.281608109855597,0.1196343367320259
1975,,,,,,,,,,,,,,,,,2335.026855212165,,55.65685521216528,0.4121764820336452,0.11754706951877125,8.293381446433056,,6.18286154734837,,0.12524294468491914
1981,18.995191766237703,26.024034676591832,0.16700362095058216,0.11474988095168646,0.08040301385133698,7.028842910354129,0.37799177607343676,0.35636586238289075,1.415542280065195,0.2722385135135136,-0.19043040540540543,-0.11037754754291457,0.49575878378378374,0.16200497896414437,0.19515289480302345,28.53187061791297,,,,,,,,7.028842910354129,,0.13197327422839103
1984,,,,,,,,,,,,,,,,,2339.61,,60.24000000000024,0.36089942309333256,0.11429678753942932,7.267109656397317,,7.451833591857008,,0.135338439000127
1985,,,,,,,,,,,,,,,,,2340.35,30.4,60.98000000000002,0.3552019720999645,0.11407908908391816,7.204157766370548,23.19584223362945,7.592830485691302,22.807169514308697,0.13646016059070562
1986,,,,,,,,,,,,,,,,,2335.51,26.5,56.14000000000033,0.3495045211065964,0.1085556114838247,5.826336373563511,20.67366362643649,7.733827379525595,18.766172620474407,0.13758188218128425
1988,,,,,,,,,,,,,,,,,2331.0,,51.63000000000011,0.33810961911986026,0.10269203031952756,4.765518881234654,,8.015821167194181,,0.13982532536244158
1990,,,,,,,,,,,,,,,,,2317.85,,38.48000000000002,0.32671471713312417,0.08946022793486845,3.464677463789174,,8.297814954862767,,0.14206876854359884
1991,,,,,,,,,,,,,,,,,2311.23,14.8,31.860000000000127,0.32101726613975606,0.08310962401899982,3.195633791679559,11.604366208320442,8.43881184869706,6.36118815130294,0.1431904901341775
1992,,,,,,,,,,,,,,,,,2304.49,10.2,25.11999999999989,0.31531981514638796,0.07686086250630508,3.0613785368871618,7.1386214631128375,8.579808742531354,1.6201912574686457,0.14431221172475617
1993,,,,,,,,,,,,,,,,,2295.82,,16.450000000000273,0.3096223641530199,0.06920140308819456,2.9988420772561253,,8.720805636365647,,0.1454339333153348
1994,,,,,,,,,,,,,,,,,2288.13,,8.760000000000218,0.30392491315965187,0.06261639118574479,2.986908478312412,,8.86180253019994,,0.14655565490591344
