date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_interp,obs_tau_b,obs_u_def,obs_u_bed,u_def_interp,u_bed_interp,tau_b_interp
1904,,,,,,,,,,,,,,,,,2481.712369951088,,118.19236995108804,0.24841619811223142,0.13050277995077292,16.16678042031634,,24.132775661354064,,0.14070431652913892
1921,,,,,,,,,,,,,,,,,2471.058765366848,,107.53876536684811,0.2736810868415414,0.13064281685838908,16.267665422439176,,18.675374837753864,,0.1302776494744219
1922,,,,,,,,,,,,,,,,,2468.1310572368275,70.5356281202448,104.61105723682749,0.275167256766795,0.1293587321018699,15.369373859966867,55.166254260277924,18.35435125989503,52.18127686034977,0.1296643161182621
1923,,,,,,,,,,,,,,,,,2470.2455131085085,58.712191441316776,106.7255131085085,0.2766534266920485,0.13083102418293543,16.40439871986799,42.307792721448784,18.033327682036195,40.67886375928058,0.12905098276210228
1924,,,,,,,,,,,,,,,,,2468.049732010993,72.33729466179572,104.52973201099303,0.27813959661730203,0.12993202676751153,15.763045498173387,56.57424916362234,17.71230410417736,54.62499055761836,0.12843764940594243
1925,25.333723625663595,42.72500415198212,0.23348778250599642,0.12782431604978262,-0.014493257513050013,17.391280526318525,0.27962576654255555,0.2580669282393184,0.26775992019615885,0.18531721311475408,-0.16359180327868852,-0.0611047475765923,0.8605430327868852,-0.04139510699326955,0.1133310585367326,51.25466946954586,2468.049732010993,65.01802433674504,104.52973201099303,0.27962576654255555,0.13024092232676293,15.980071943963207,49.03795239278183,17.391280526318525,47.62674381042652,0.12782431604978262
1926,,,,,,,,,,,,,,,,,2470.733464463512,73.12552377372425,107.21346446351208,0.2811119364678091,0.1320499235956445,17.322299252512693,55.80322452121156,17.07025694845969,56.05526682526457,0.1272109826936228
1927,,,,,,,,,,,,,,,,,2468.5376833659966,83.48510638764213,105.01768336599662,0.2825981063930626,0.13113290188179952,16.626476911405017,66.85862947623711,16.749233370600855,66.73587301704129,0.12659764933746295
1928,,,,,,,,,,,,,,,,,2466.9925040751527,,103.47250407515276,0.2840842763183161,0.13057040984696808,16.21541163401707,,16.42820979274202,,0.12598431598130314
1929,,,,,,,,,,,,,,,,,2465.203349106807,85.28677292919306,101.68334910680687,0.2855704462435697,0.12986024933879592,15.713110996888169,69.5736619323049,16.107186214883185,69.17958671430988,0.12537098262514332
1930,,,,,,,,,,,,,,,,,,76.50364853913226,,0.2870566161688232,,,,15.786162637024349,60.71748590210791,0.12475764926898349
1931,,,,,,,,,,,,,,,,,2461.869014847617,55.33406667590878,98.34901484761713,0.28854278609407674,0.1285481836632449,14.8326142619621,40.50145241394668,15.465139059165514,39.868927616743264,0.12414431591282367
1932,,,,,,,,,,,,,,,,,,55.33406667590878,,0.29002895601933026,,,,15.14411548130668,40.1899511946021,0.12353098255666384
1933,,,,,,,,,,,,,,,,,2456.664200394248,69.29698237292851,93.14420039424795,0.2915151259445838,0.12611248447267276,13.353296471052566,55.943685901875945,14.823091903447844,54.473890469480665,0.12291764920050402
1935,,,,,,,,,,,,,,,,,2457.96540400759,58.26177480592905,94.44540400759024,0.2944874657950909,0.1274249155104653,14.126054724201786,44.135720081727264,14.181044747730173,44.08073005819888,0.12169098248818437
1936,,,,,,,,,,,,,,,,,,58.14917064708211,,0.2959736357203444,,,,13.860021169871338,44.28914947721077,0.12107764913202454
1938,,,,,,,,,,,,,,,,,2459.022631943431,,95.50263194343097,0.29894597557085145,0.1288906429428635,15.056597267630188,,13.217974014153668,,0.11985098241970489
1942,,,,,,,,,,,,,,,,,,52.181150228194646,,0.30489065527186554,,,,11.933879702718329,40.24727052547632,0.11739764899506559
1945,,,,,,,,,,,,,,,,,2450.5648084567056,,87.0448084567056,0.30934916504762616,0.12566369407080744,13.101650873922317,,10.970808969141823,,0.11555764892658613
1946,,,,,,,,,,,,,,,,,,44.97448406199091,,0.3108353349728797,,,,10.649785391282986,34.32469867070792,0.1149443155704263
1947,,,,,,,,,,,,,,,,,2447.474449875018,,83.95444987501787,0.3123215048981332,0.12425897288964957,12.353908700800062,,10.328761813424151,,0.11433098221426648
1949,,,,,,,,,,,,,,,,,2434.9503650965976,40.2451093904197,71.4303650965976,0.3152938447486403,0.11690343922976609,9.316863725447531,30.928245664972167,9.686714657706482,30.558394732713218,0.11310431550194683
1950,,,,,,,,,,,,,,,,,2431.778681289076,34.72750560691996,68.25868128907587,0.31678001467389383,0.11511672748300111,8.771747418135519,25.955758188784444,9.365691079847647,25.361814527072315,0.112490982145787
1951,,,,,,,,,,,,,,,,,2430.558802901567,29.209901823420225,67.03880290156712,0.31826618459914735,0.1145464508238864,8.611461128336991,20.598440695083234,9.044667501988812,20.165234321431413,0.11187764878962717
1952,16.762319190868773,25.48596311499875,0.1998709219313606,0.11126431543346735,0.012818357130378202,8.723643924129977,0.3197523545244009,0.31027170798600584,0.2961062504736241,0.23205411255411257,-0.15678138528138527,-0.0784295139240269,0.6188670995670996,0.002017734201676689,0.12408267256384554,32.89604617849199,,,,,,,,8.723643924129977,,0.11126431543346735
1953,,,,,,,,,,,,,,,,,2426.492541609872,32.02500579459357,62.97254160987222,0.3217489611470926,0.112409252493023,8.065752007739881,23.959253786853687,8.68719287518776,23.337812919405806,0.11159797253525552
1954,,,,,,,,,,,,,,,,,2424.6220614156928,33.26365154190983,61.10206141569279,0.3237455677697844,0.11145516281135744,7.848556435834615,25.415095106075213,8.650741826245543,24.612909715664287,0.1119316296370437
1955,,,,,,,,,,,,,,,,,2426.65519206154,34.95271392461383,63.13519206154024,0.32574217439247616,0.11301461017955955,8.21180383848524,26.740910086128594,8.614290777303328,26.338423147310504,0.11226528673883188
1956,,,,,,,,,,,,,,,,,2426.004590254869,38.33083869002184,62.48459025486909,0.3277387810151679,0.1128412789234332,8.169315971418479,30.161522718603365,8.577839728361111,29.75299896166073,0.11259894384062004
1958,,,,,,,,,,,,,,,,,2425.7606145773675,40.13250523157277,62.24061457736752,0.33173199426055144,0.11317648260409861,8.251973758155328,31.88053147341744,8.504937630476677,31.627567601096096,0.11326625804419639
1959,,,,,,,,,,,,,,,,,2427.549769545713,42.9476092027461,64.02976954571295,0.3337286008832432,0.1146108379128177,8.629237836740504,34.31837136600559,8.46848658153446,34.479122621211644,0.11359991514598457
1960,,,,,,,,,,,,,,,,,2424.5407361898588,42.9476092027461,61.02073618985878,0.33572520750593493,0.11285634278383846,8.172987046888036,34.77462215585807,8.432035532592245,34.515573670153856,0.11393357224777274
1961,,,,,,,,,,,,,,,,,2431.616030837408,44.298859108909305,68.09603083740785,0.3377218141286267,0.11784983847804231,9.633328786607517,34.66553032230179,8.395584483650028,35.90327462525928,0.11426722934956092
1963,,,,,,,,,,,,,,,,,2429.6642254173944,47.11396308008264,66.14422541739441,0.3417150273740102,0.1170643431077187,9.369273866386841,37.7446892136958,8.322682385765594,38.791280694317045,0.11493454355313727
1965,,,,,,,,,,,,,,,,,2429.6642254173944,43.285421679286905,66.14422541739441,0.3457082406193937,0.1175895347392456,9.544300732280824,33.74112094700608,8.249780287881162,35.03564139140575,0.11560185775671361
1966,,,,,,,,,,,,,,,,,2429.826875869062,,66.30687586906197,0.3477048472420855,0.11796458312314215,9.67305921323914,,8.213329238938945,,0.11593551485850179
1967,19.174897905843075,27.351776095839803,0.19397757723619283,0.11626917196028996,0.03189082460887195,8.176878189996728,0.34970145386477725,0.3661735923556011,0.35016346213695887,0.2610946188340807,-0.22455874439461884,-0.11859702966820164,0.48974125560538123,0.04235839840309865,0.1481599965691619,35.45596332547523,2423.890134383188,61.189482935949314,60.37013438318809,0.34970145386477725,0.11409973677772423,8.490337665866377,52.69914527008294,8.176878189996728,53.012604745952586,0.11626917196028996
1970,,,,,,,,,,,,,,,,,,67.9457324667653,,0.3524206858804713,,,,9.422888290152567,58.522844176612736,0.1196343367320259
1975,,,,,,,,,,,,,,,,,2429.826875869062,,66.30687586906197,0.3569527392399614,0.11918386656101818,10.114033573941084,,11.4995717904123,,0.12524294468491914
1981,27.564253914864683,41.55584590558866,0.22620637239909103,0.13197327422839103,0.038540532204529535,13.991591990723979,0.36239120327134955,0.3597096329648353,0.34229939356665984,0.2761315315315316,-0.19414954954954958,-0.11394267029624221,0.5902292792792793,0.042456780978867965,0.17051380643292058,51.17265503800079,,,,,,,,13.991591990723979,,0.13197327422839103
1983,,,,,,,,,,,,,,,,,2447.66,,84.13999999999987,0.3642040246151456,0.13305434707515146,18.121985087198052,,14.822265390827873,,0.13421671740954833
1984,,,,,,,,,,,,,,,,,2445.28,,81.76000000000022,0.3651104352870436,0.13147814891532364,16.88467211418912,,15.237602090879818,,0.135338439000127
1985,,,,,,,,,,,,,,,,,2446.96,,83.44000000000005,0.36601684595894163,0.1328481879537459,17.95458589367896,,15.652938790931765,,0.13646016059070562
1986,,,,,,,,,,,,,,,,,2443.8,,80.2800000000002,0.36692325663083963,0.1306930693657608,16.304045226079634,,16.068275490983712,,0.13758188218128425
1988,,,,,,,,,,,,,,,,,2440.83,,77.30999999999995,0.3687360779746357,0.12880486088445312,15.000110089277936,,16.898948891087606,,0.13982532536244158
1990,,,,,,,,,,,,,,,,,2431.1,,67.57999999999993,0.37054889931843177,0.12191448139064306,11.233695097591996,,17.729622291191497,,0.14206876854359884
1991,,,,,,,,,,,,,,,,,2427.12,,63.59999999999991,0.3714553099903298,0.11909664894109823,10.081328255310819,,18.144958991243442,,0.1431904901341775
1992,,,,,,,,,,,,,,,,,2423.68,,60.159999999999854,0.3723617206622278,0.11666428796180756,9.240003605134707,,18.56029569129539,,0.14431221172475617
1993,,,,,,,,,,,,,,,,,2421.28,,57.76000000000022,0.3732681313341258,0.114991421025985,8.735976081112963,,18.97563239134734,,0.1454339333153348
1994,,,,,,,,,,,,,,,,,2418.49,,54.9699999999998,0.37417454200602385,0.11301973991136686,8.213069526392225,,19.390969091399285,,0.14655565490591344
