date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,obs_tau_b,obs_u_def,obs_u_bed
1905.0,5.152653499804469,8.775232024105886,0.10504561863902438,0.08290797429878397,0.02037748834970684,3.6225785243014172,0.08622684379693323,0.09008598027834366,0.09173025000540187,0.06568421052631579,0.0617921052631579,-0.008132679785318559,1.1497026315789474,0.018310075150385362,0.10328546264849081,8.661877229714579,2806.0,,130.71000000000004,0.09201694900471216,4.265005415873428,
1906.0,,,,,,,,,,,,,,,,,2804.0,,128.71000000000004,0.09113366573239917,4.073820874105449,
1907.0,,,,,,,,,,,,,,,,,2802.0,,126.71000000000004,0.0902503824600862,3.891343960834936,
1908.0,5.533749764387207,9.260923392087937,0.09780383770055205,0.08485154179941276,0.018258889808918287,3.72717362770073,0.0907477163571247,0.08957115041396502,0.08947906657905538,0.05596315789473685,0.06966842105263157,-0.007985563933518004,1.0829026315789474,0.017451962899623117,0.10311043160833105,9.133978504662263,2800.0,,124.71000000000004,0.08936709918777322,3.717306177025809,
1909.0,,,,,,,,,,,,,,,,,2799.6,,124.30999999999995,0.08919044253331057,3.6834879839037757,
1910.0,,,,,,,,,,,,,,,,,2799.2,,123.90999999999985,0.08901378587884794,3.649994676565737,
1911.0,,,,,,,,,,,,,,,,,2798.8,,123.51000000000022,0.0888371292243855,3.6168241675689057,
1912.0,,,,,,,,,,,,,,,,,2798.5,,123.21000000000004,0.08870463673353848,3.5921568702995117,
1913.0,,,,,,,,,,,,,,,,,2798.1,,122.80999999999995,0.08852798007907584,3.559546255726114,
1914.0,,,,,,,,,,,,,,,,,2797.7,,122.40999999999985,0.0883513234246132,3.5272527337159225,
1915.0,,,,,,,,,,,,,,,,,2797.3,,122.01000000000022,0.08817466677015076,3.4952742420550917,
1916.0,,,,,,,,,,,,,,,,,2796.9,,121.61000000000013,0.08799801011568814,3.463608725257389,
1917.0,,,,,,,,,,,,,,,,,2796.5,,121.21000000000004,0.0878213534612255,3.4322541345644098,
1918.0,,,,,,,,,,,,,,,,,2796.1,,120.80999999999995,0.08764469680676286,3.4012084279454298,
1919.0,,,,,,,,,,,,,,,,,2795.8,,120.51000000000022,0.08751220431591603,3.3781256285398706,
1920.0,,,,,,,,,,,,,,,,,2795.4,,120.11000000000013,0.08733554766145339,3.347615575649673,
1921.0,,,,,,,,,,,,,,,,,2795.0,,119.71000000000004,0.08715889100699076,3.3174088259387817,
1922.0,,,,,,,,,,,,,,,,,2794.6,,119.30999999999995,0.08698223435252812,3.287503362605415,
1923.0,,,,,,,,,,,,,,,,,2794.2,,118.90999999999985,0.08680557769806549,3.257897175575512,
1924.0,,,,,,,,,,,,,,,,,2793.8,,118.51000000000022,0.08662892104360305,3.228588261502763,
1925.0,,,,,,,,,,,,,,,,,2793.4,,118.11000000000013,0.08645226438914042,3.199574623768476,
1926.0,,,,,,,,,,,,,,,,,2793.0,,117.71000000000004,0.08627560773467777,3.1708542724817788,
1927.0,,,,,,,,,,,,,,,,,2792.7,,117.40999999999985,0.08614311524383075,3.149505284998426,
1928.0,,,,,,,,,,,,,,,,,2792.3,,117.01000000000022,0.08596645858936831,3.121293417055763,
1929.0,,,,,,,,,,,,,,,,,2791.9,,116.61000000000013,0.08578980193490568,3.093369398050462,
1930.0,,,,,,,,,,,,,,,,,2791.5,,116.21000000000004,0.08561314528044303,3.0657312633205933,
1931.0,,,,,,,,,,,,,,,,,2791.1,,115.80999999999995,0.08543648862598041,3.0383770549319116,
1932.0,,,,,,,,,,,,,,,,,2790.7,,115.40999999999985,0.08525983197151776,3.011304821677892,
1933.0,,,,,,,,,,,,,,,,,2790.3,,115.01000000000022,0.08508317531705534,2.984512619079757,
1934.0,,,,,,,,,,,,,,,,,2790.0,,114.71000000000004,0.0849506828262083,2.9646010713176936,
1935.0,,,,,,,,,,,,,,,,,2789.6,,114.30999999999995,0.08477402617174568,2.9382942637008584,
1936.0,,,,,,,,,,,,,,,,,2789.2,,113.90999999999985,0.08459736951728303,2.9122621741129553,
1937.0,,,,,,,,,,,,,,,,,2788.8,,113.51000000000022,0.0844207128628206,2.88650288330415,
1938.0,,,,,,,,,,,,,,,,,2788.4,,113.11000000000013,0.08424405620835795,2.861014478752239,
1939.0,,,,,,,,,,,,,,,,,2788.0,,112.71000000000004,0.08406739955389532,2.8357950546628254,
1940.0,,,,,,,,,,,,,,,,,2787.6,,112.30999999999995,0.08389074289943269,2.8108427119692,
1941.0,,,,,,,,,,,,,,,,,2787.2,,111.90999999999985,0.08371408624497005,2.786155558332374,
1942.0,,,,,,,,,,,,,,,,,2786.9,,111.61000000000013,0.08358159375412322,2.7678130888573227,
1943.0,,,,,,,,,,,,,,,,,2786.5,,111.21000000000004,0.08340493709966058,2.7435854828649155,
1944.0,,,,,,,,,,,,,,,,,2786.1,,110.80999999999995,0.08322828044519795,2.7196178966868834,
1945.0,,,,,,,,,,,,,,,,,2785.7,,110.40999999999985,0.08305162379073532,2.69590846321318,
1946.0,,,,,,,,,,,,,,,,,2785.3,,110.01000000000022,0.08287496713627288,2.672455322061505,
1947.0,,,,,,,,,,,,,,,,,2784.9,,109.61000000000013,0.08269831048181024,2.6492566195771943,
1948.0,,,,,,,,,,,,,,,,,2784.5,,109.21000000000004,0.08252165382734761,2.626310508833386,
