   2636575.7495   1096611.7499         7.3561         3.1719        -1.7335        13.7018       293.7137        -9.4067        -1.8059        47.3336         0.0584        -0.4850        -0.8726       -40.9761         0.1395
   2636550.4796   1096555.7859        11.0101        14.4451        -4.9922        22.0008       252.3265        -5.5339        -0.8771        70.4461         0.3231        -0.4742        -0.8190       -59.0651         0.2341
   2636479.3084   1096485.2633         6.9068        11.5879        -2.7644        19.1402       242.8295        -5.3813        -8.7516        48.0439         0.2980        -0.4156        -0.8593       -39.2528         0.1616
   2636463.7356   1096439.3093        10.6584         6.2993        -2.7944        29.6464       158.0768        -6.2266         7.2929        43.5449         0.1765        -0.6207        -0.7639       -38.8903         0.2460
   2636360.5438   1096454.1006        11.3376        11.0323        -8.8899        26.1835       736.9708         4.6138         0.3503       137.2848        -0.1504        -0.5276        -0.8361      -115.6575         0.1569
   2636364.2728   1096396.2962         4.1264         9.0338        -1.6621        26.8657       143.3048        -7.0954        -1.0823        35.8693         0.4804        -0.4311        -0.7638       -30.3375         0.2117
   2636325.2775   1096377.7126         4.3822         5.9143        -0.1116        31.0932       375.5471       -21.3561       -13.2732       117.8194         0.3111        -0.2986        -0.9023      -108.9848         0.2902
   2636305.6186   1096325.7955         3.6754         6.3414         0.6174        37.4125       138.2419       -17.5700        -5.0631        49.2244         0.5718        -0.3310        -0.7507       -45.3210         0.3278
   2636258.0669   1096285.7849         6.6776        10.2453        -0.6296        32.6879       208.9935       -17.7294        -4.1834        66.4791         0.4262        -0.3657        -0.8274       -61.0308         0.2920
   2636227.4858   1096221.2039         6.0097        19.8277        -2.0969        30.7065       271.2079       -23.6735        -8.8089       101.5890         0.5249        -0.2431        -0.8157       -93.1534         0.3435
   2636194.4686   1096029.2822         9.3938        12.2053        -7.2777        10.0000       232.8376        -9.8025        -0.7081        32.0636         0.4550        -0.6672        -0.5898       -22.8990         0.0983
   2636122.1039   1095988.4468         4.0177        13.6293        -9.7703        38.7077       606.7534       111.4267        15.9039       165.4152        -0.3512        -0.4426        -0.8251      -182.6553         0.3010
   2636156.5604   1095895.5039         2.0981         3.7141        -4.3116        21.7781       313.2629         1.5250        -2.3351        25.5385         0.3218        -0.7199        -0.6149       -13.5329         0.0432
   2636127.6302   1095886.6192         1.9858         6.6708        -6.1480        10.0000       720.3439        -4.0809       -10.3274        61.9800         0.0775        -0.6296        -0.7731       -41.7278         0.0579
   2636149.0230   1095872.2688         0.2933         7.3238        -3.7786        21.9970       115.0598         4.6787         5.6261        27.7240         0.6844        -0.2805        -0.6730       -17.0335         0.1480
   2636078.4169   1095811.8873         5.4520         3.2635        -1.5553        33.3880       243.4808        -6.4780        19.4218        80.7365         0.1195        -0.6158        -0.7788       -75.6106         0.3105
   2635966.2306   1095796.8346         4.0121        -0.5129        -1.3854        20.8859       213.4715         7.4736        10.4166        51.4502        -0.4147        -0.6472        -0.6397       -42.7517         0.2003
   2635922.6463   1095839.4174         2.4019         0.2998        -1.0555        38.0057       499.4195        38.4293        60.4068       170.5794        -0.3866        -0.5872        -0.7112      -171.6362         0.3437
   2635893.9623   1095841.8968         4.6068        -1.1056        -3.0305        32.8175       198.9402        27.2844         4.7592        60.5168        -0.6042        -0.5369        -0.5888       -54.6727         0.2748
   2635860.0228   1095870.6333         1.7975         0.8573        -0.4870        31.6027       455.6547        -6.6790        49.5791       144.6350        -0.0482        -0.6458        -0.7620      -141.9089         0.3114
   2635796.1100   1095823.9629        -6.0663        -1.9593        -2.5736        29.9825       357.9020         0.1705        -2.6656        62.2828         0.4789        -0.3162        -0.8189       -50.0819         0.1399
   2635561.5355   1095805.6076       -10.0907         3.3512        -2.6261        33.3769       333.2072         9.4875        53.1349       136.7010         0.0258        -0.7151        -0.6985      -133.2418         0.3999
   2635426.4011   1095848.1635       -13.9253         8.0721        -1.6221        10.0000       336.1255        26.6775         2.6167        69.0299        -0.2931        -0.6097        -0.7365       -60.2530         0.1793
