date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope_x,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_y,obs_tau_b,obs_u_def,obs_u_def_2,obs_u_bed,obs_u_bed_2
1953,,,,,,,,,,,,,,,,,1853.6071,,279.45709999999985,0.12584441773099767,0.12340021100801993,22.1702723801384,11.568405458982141,,
1955,,,,,,,,,,,,,,,,,1848.9289,,274.7789,0.12651600659636164,0.12244112309869817,21.227328134968033,11.111583163591199,,
1956,,,,,,,,,,,,,,,,,,72.0,,0.12685180102904364,,,,,
1958,16.02269341965919,35.941783211593794,0.27445304006198573,0.12030454361353188,0.15481340294278279,19.919089791934603,0.1270552128241483,0.15218189716603092,0.10129663430012766,-0.05727263033175356,0.10876113744075828,-0.015109139202525212,1.7572922985781991,0.07625870758908398,0.27511794655631466,38.82568582167802,1846.0394000000001,,271.8894,0.12752338989440765,0.12184874044853672,20.668473833058265,10.83592663217478,,
1959,,,,,,,,,,,,,,,,,1843.1499,66.0,268.9998999999998,0.12785918432708965,0.12125635779837524,20.127155972236615,10.565165941666171,45.872844027763385,55.43483405833383
1962,,,,,,,,,,,,,,,,,1845.5,69.0,271.3499999999999,0.12886656762513563,0.12173815688684883,20.56610276214311,10.785012169995357,48.43389723785689,58.214987830004645
1964,,,,,,,,,,,,,,,,,1844.05,,269.89999999999986,0.12953815649049963,0.12144088924790294,20.29392230395885,10.648988239087567,,
1965,,,,,,,,,,,,,,,,,1843.8,,269.64999999999986,0.12987395092318163,0.1213896362067054,20.247435757177264,10.625659653882558,,
1966,,,,,,,,,,,,,,,,,1844.45,,270.29999999999995,0.13020974535586363,0.12152289411381909,20.36856994063051,10.686389615926819,,
1967,,,,,,,,,,,,,,,,,1843.0,,268.8499999999999,0.13054553978854563,0.1212256264748732,20.09954529642051,10.551252085199645,,
1968,,,,,,,,,,,,,,,,,1842.85,82.0,268.6999999999998,0.13088133422122764,0.12119487465015463,20.071962392600703,10.53734197627513,61.9280376073993,71.46265802372487
1969,,,,,,,,,,,,,,,,,1842.7,86.0,268.54999999999995,0.1312171286539096,0.12116412282543612,20.044425644041695,10.52344489348032,65.9555743559583,75.47655510651968
1970,,,,,,,,,,,,,,,,,1843.2,89.0,269.04999999999995,0.1315529230865916,0.12126662890783124,20.136394387682053,10.56981917353756,68.86360561231794,78.43018082646245
1971,,,,,,,,,,,,,,,,,1843.4,93.0,269.25,0.1318887175192736,0.12130763134078931,20.173325746644302,10.588409452013646,72.82667425335569,82.41159054798635
1972,,,,,,,,,,,,,,,,,1844.7,94.0,270.54999999999995,0.13222451195195561,0.12157414715501663,20.41539331380126,10.709812808620569,73.58460668619874,83.29018719137943
1973,,,,,,,,,,,,,,,,,1844.1,94.0,269.9499999999998,0.13256030638463762,0.12145113985614245,20.303235128459526,10.653658317964052,73.69676487154047,83.34634168203596
1974,,,,,,,,,,,,,,,,,1844.4,93.0,270.25,0.13289610081731962,0.12151264350557958,20.35922084253361,10.681709348552744,72.6407791574664,82.31829065144726
1975,,,,,,,,,,,,,,,,,1845.1,,270.9499999999998,0.13323189525000162,0.12165615202093272,20.490581170460118,10.747365754588193,,
1976,,,,,,,,,,,,,,,,,1842.9,,268.75,0.1335676896826836,0.12120512525839419,20.081151562966802,10.54197723151458,,
1977,,,,,,,,,,,,,,,,,1843.0,,268.8499999999999,0.1339034841153656,0.1212256264748732,20.09954529642051,10.551252085199645,,
1978,,,,,,,,,,,,,,,,,1843.24,,269.0899999999999,0.1342392785480476,0.12127482939442286,20.143774074144424,10.573535373425868,,
1979,16.664190357798574,37.09343358795729,0.2564338755146485,0.12183736170889463,0.14915088620015166,20.42924323015872,0.13259466871302567,0.14363200780278468,0.12114858990529494,-0.04953748502994012,0.1085880239520958,-0.014245321368912475,1.7463340119760478,0.073447539563674,0.2709882479090463,41.0973526014176,1843.64,80.0,269.49,0.1345750729807296,0.12135683426033897,20.21775214304457,10.610748423390064,59.78224785695543,69.38925157660994
1980,,,,,,,,,,,,,,,,,1845.11,,270.9599999999998,0.13466969952424107,0.12165820214258061,20.492465138753378,10.748305775191982,,
1981,,,,,,,,,,,,,,,,,1845.05,,270.89999999999986,0.13476432606775252,0.12164590141269321,20.48116445745064,10.742666527798415,,
1982,,,,,,,,,,,,,,,,,1845.1,,270.9499999999998,0.134858952611264,0.12165615202093272,20.490581170460118,10.747365754588193,,
