date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope_x,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_y,obs_tau_b,obs_u_def,obs_u_def_2,obs_u_bed,obs_u_bed_2
1958,11.685320951910974,85.64039209175363,0.3392870967053314,0.10680919985544278,0.1444121239566611,73.95507113984266,0.07748625444444021,0.09519057014137172,0.08332100729928027,0.0005697297297297301,0.08218324324324323,-0.006754410061943023,3.5040091891891896,0.06288460213521298,0.2512213238121039,86.89323819636725,,,,0.07900786602277836,,,,,
1967,,,,,,,,,,,,,,,,,2231.3,,395.9200000000001,0.08210683464713286,0.10066662534978912,62.24747444283362,8.897635645286895,,
1970,,,,,,,,,,,,,,,,,2231.3,,395.9200000000001,0.08313982418858436,0.10066662534978912,62.24747444283362,8.897635645286895,,
1971,,,,,,,,,,,,,,,,,2229.7,,394.3199999999997,0.08348415403573486,0.10050678945837585,61.390418324661525,8.819534286090814,,
1972,,,,,,,,,,,,,,,,,2229.3,,393.9200000000001,0.08382848388288536,0.10046683048552257,61.17777782575301,8.800083283279493,,
1973,,,,,,,,,,,,,,,,,2227.2,,391.8199999999997,0.08417281373003586,0.10025704587804266,60.07199598278534,8.698451742355084,,
1974,,,,,,,,,,,,,,,,,2224.7,,389.3199999999997,0.08451714357718636,0.10000730229770946,58.7785700645438,8.578522574869293,,
1975,,,,,,,,,,,,,,,,,2227.1,,391.7199999999998,0.08486147342433686,0.10024705613482934,60.01978113769232,8.693632477460953,,
1976,,,,,,,,,,,,,,,,,2224.7,,389.3199999999997,0.08520580327148736,0.10000730229770946,58.7785700645438,8.578522574869293,,
1977,,,,,,,,,,,,,,,,,2224.7,,389.3199999999997,0.08555013311863786,0.10000730229770946,58.7785700645438,8.578522574869293,,
1978,,,,,,,,,,,,,,,,,2226.91,,391.52999999999975,0.08589446296578837,0.10022807562272401,59.920683042403525,8.684480956631342,,
1979,10.013497423576062,72.33704607496476,0.31158503457172165,0.10153070414721763,0.1393445278079337,62.3235486513887,0.08838483223778831,0.09068943272600109,0.08488091419882089,-0.0012837837837837835,0.08256864864864866,-0.0068192298404674955,3.4293399999999994,0.061829673140224875,0.24087523195515131,73.88152755578679,2229.49,160.0,394.1099999999997,0.08623879281293886,0.10048581099762785,61.278701336585954,8.809318807471854,98.72129866341405,151.19068119252813
1980,,,,,,,,,,,,,,,,,2232.76,165.0,397.3800000000001,0.0862780513690996,0.10081247560070371,63.03865783017366,8.969319430449433,101.96134216982634,156.03068056955055
1981,,,,,,,,,,,,,,,,,2231.64,181.0,396.25999999999976,0.08631730992526035,0.1007005904767144,62.43094276448362,8.914293590748741,118.56905723551638,172.08570640925126
1982,,,,,,,,,,,,,,,,,2231.293,167.3,395.913,0.08635656848142109,0.10066592606776419,62.24370211609671,8.897292914008712,105.0562978839033,158.4027070859913
1983,,,,,,,,,,,,,,,,,2232.11,170.2,396.73,0.08639582703758183,0.10074754226981708,62.68533954601959,8.937356261478053,107.5146604539804,161.26264373852194
1984,,,,,,,,,,,,,,,,,,172.0,,0.08643508559374258,,,,,
1985,,,,,,,,,,,,,,,,,2235.1,173.7,399.7199999999998,0.08647434414990332,0.10104623559189554,64.32503551485166,9.085042054403534,109.37496448514833,164.61495794559644
1986,,,,,,,,,,,,,,,,,2232.74,164.0,397.3599999999997,0.08651360270606406,0.100810477652061,63.02776061109614,8.968334770603654,100.97223938890386,155.03166522939634
1987,,,,,,,,,,,,,,,,,,159.6,,0.0865528612622248,,,,,
1988,,,,,,,,,,,,,,,,,2231.1,152.4,395.7199999999998,0.08659211981838555,0.10064664586336244,62.13977246373763,8.887846919638989,90.26022753626238,143.51215308036103
1989,,,,,,,,,,,,,,,,,2228.4,149.5,393.02,0.08663137837454629,0.10037692279660261,60.7016994994508,8.756426990506498,88.7983005005492,140.7435730094935
1990,,,,,,,,,,,,,,,,,2226.2,148.0,390.8199999999997,0.08667063693070703,0.10015714844590938,59.55164389592474,8.650342062420771,88.44835610407526,139.34965793757922
1991,,,,,,,,,,,,,,,,,2224.1,131.0,388.7199999999998,0.08670989548686778,0.0999473638384295,58.47183194256418,8.54991041939446,72.52816805743582,122.45008958060554
1992,,,,,,,,,,,,,,,,,2219.7,119.3,384.3199999999997,0.08674915404302853,0.09950781513704308,56.265437699671935,8.342096407180549,63.03456230032806,110.95790359281945
1993,,,,,,,,,,,,,,,,,2217.7,116.6,382.3199999999997,0.08678841259918928,0.09930802027277653,55.28725979907048,8.248797400608513,61.31274020092951,108.35120259939148
1994,,,,,,,,,,,,,,,,,2216.4,117.5,381.02,0.08682767115535002,0.0991781536110033,54.65962192358957,8.188540020994886,62.84037807641043,109.31145997900512
1995,,,,,,,,,,,,,,,,,2216.1,114.8,380.7199999999998,0.08686692971151076,0.0991481843813633,54.51569167453522,8.174677642062328,60.28430832546478,106.62532235793768
1996,,,,,,,,,,,,,,,,,2214.5,125.7,379.1199999999999,0.0869061882676715,0.09898834848995007,53.75379016315472,8.101017648207849,71.94620983684528,117.59898235179216
1997,,,,,,,,,,,,,,,,,2213.4,121.0,378.02,0.08694544682383225,0.09887846131460348,53.23554811852421,8.050642160724406,67.7644518814758,112.94935783927559
1998,,,,,,,,,,,,,,,,,2211.4,121.5,376.02,0.08698470537999299,0.09867866645033692,52.30481176933213,7.959603003501057,69.19518823066787,113.54039699649894
1999,,,,,,,,,,,,,,,,,2210.6,115.9,375.2199999999998,0.08702396393615373,0.09859874850463028,51.93665137915609,7.923386361916971,63.96334862084392,107.97661363808304
2000,,,,,,,,,,,,,,,,,2208.5,118.4,373.1199999999999,0.08706322249231448,0.0983889638971504,50.98137274683356,7.828856579489015,67.41862725316645,110.57114342051099
2001,,,,,,,,,,,,,,,,,2208.3,116.0,372.9200000000001,0.08710248104847522,0.09836898441072378,50.891230819987854,7.819894343917552,65.10876918001215,108.18010565608245
2002,,,,,,,,,,,,,,,,,2206.2,122.9,370.8199999999997,0.08714173960463596,0.09815919980324386,49.95346014989265,7.726215626310477,72.94653985010736,115.17378437368953
2003,8.652772509107223,55.116681843446656,0.2953928160984227,0.09680409713969516,0.11993175287333462,46.463909334339434,0.08649355237074279,0.09159283030018342,0.08522625055763068,-0.0021448648648648653,0.07929513513513514,-0.006292318901387875,3.1948308108108106,0.058163094650853446,0.21673585001302978,56.43752009644738,2201.8,125.5,366.4200000000001,0.0871809981607967,0.09771965110185749,48.03962164956603,7.532437560183576,77.46037835043397,117.96756243981642
2004,,,,,,,,,,,,,,,,,2199.9,114.9,364.52,0.08882814866523958,0.09752984598080425,47.234220598336805,7.4498001693626525,67.6657794016632,107.45019983063736
2005,,,,,,,,,,,,,,,,,2195.9,107.8,360.52,0.09047529916968246,0.09713025625227115,45.57932888770432,7.277858586900966,62.220671112295676,100.52214141309904
2006,,,,,,,,,,,,,,,,,2192.9,98.5,357.52,0.09212244967412535,0.09683056395587131,44.37377890680516,7.150696940466169,54.12622109319484,91.34930305953384
2007,,,,,,,,,,,,,,,,,2189.0,93.6,353.6199999999999,0.09376960017856822,0.09644096397055153,42.85129237002718,6.987665300663231,50.74870762997281,86.61233469933677
2008,8.240448916679924,49.64833989884499,0.2854742042135014,0.09526233452412589,0.12434742701039138,41.407890982165064,0.09692920096675,0.09208532599107279,0.08813065740523053,0.0016351351351351342,0.08081513513513514,-0.006533759733820306,3.0676702702702703,0.06249684429002887,0.21960976153451728,51.02242518281355,2185.9,92.2,350.52,0.0954167506830111,0.09613128193093838,41.67650943517724,6.859897887800759,50.523490564822765,85.34010211219925
2009,,,,,,,,,,,,,,,,,2181.4,92.0,346.02,0.09547967971305599,0.09568174348633865,40.02576707941152,6.67727233636714,51.97423292058848,85.32272766363286
2010,,,,,,,,,,,,,,,,,2177.9,84.3,342.52,0.09554260874310086,0.09533210247387218,38.78560838694851,6.5375360333501344,45.51439161305149,77.76246396664986
2011,,,,,,,,,,,,,,,,,2173.6,82.5,338.2199999999998,0.09560553777314575,0.09490254351569907,37.31316005408203,6.368592906752583,45.18683994591797,76.13140709324742
2012,,,,,,,,,,,,,,,,,2168.4,79.1,333.02,0.09566846680319063,0.09438307686860606,35.60600344891063,6.16826973244229,43.49399655108937,72.9317302675577
2013,,,,,,,,,,,,,,,,,2165.6,74.4,330.2199999999998,0.0957313958332355,0.09410336405863287,34.719279631987284,6.0621889303215095,39.68072036801272,68.3378110696785
2014,,,,,,,,,,,,,,,,,2163.5,74.2,328.1199999999999,0.09579432486328039,0.093893579451153,34.06887307158861,5.983441329211164,40.13112692841139,68.21655867078884
2015,,,,,,,,,,,,,,,,,2157.5,74.3,322.1199999999999,0.09585725389332526,0.09329419485835333,32.27818581766999,5.7622513765384955,42.021814182330004,68.5377486234615
2016,,,,,,,,,,,,,,,,,2154.9,72.85,319.52,0.09592018292337015,0.09303446153480682,31.53265561974611,5.668135704558344,41.317344380253886,67.18186429544166
2017,,,,,,,,,,,,,,,,,2150.8,73.3,315.4200000000001,0.09598311195341504,0.09262488206306041,30.39342801978265,5.521828046071906,42.90657198021735,67.7781719539281
2018,,,,,,,,,,,,,,,,,2148.0,71.7,312.6199999999999,0.09604604098345991,0.09234516925308722,29.640524983813933,5.423378941220216,42.05947501618607,66.27662105877978
2019,7.554700384604687,36.95367054295286,0.263994848949285,0.09268518774393922,0.12485068370854795,29.39897015834817,0.09495516240324044,0.09915988518012381,0.08959520574388641,0.003496756756756757,0.08663783783783784,-0.007518342253031409,2.68077027027027,0.06908419549532778,0.21753587145248715,38.17501087879776,2144.0,69.4,308.6199999999999,0.0961089700135048,0.09194557952455411,28.59948670491214,5.284784433630903,40.80051329508787,64.1152155663691
2020,,,,,,,,,,,,,,,,,2139.8,69.5,304.4200000000001,0.09617189904354968,0.09152601030959437,27.54910636996799,5.1418265573340225,41.95089363003201,64.35817344266597
2021,,,,,,,,,,,,,,,,,2137.4,68.9,302.02,0.09623482807359456,0.0912862564724745,26.968085100596266,5.061305392583218,41.931914899403736,63.838694607416784
