date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,obs_tau_b,obs_u_def,obs_u_bed
1907.0,0.5231455692685915,1.1225497055401321,0.08659503499029923,0.059442383190574245,0.033829115113589985,0.5994041362715407,0.14670105240989947,0.14637961327154467,0.30423158975856873,0.0043075,0.14403916666666666,-0.020765836090277778,0.5966991666666667,0.053083933069602844,0.09327149830416423,1.207512114304219,2733.8,,94.22000000000025,0.06808168461911734,1.2952349647735466,
1908.0,,,,,,,,,,,,,,,,,2731.988,8.9,92.4079999999999,0.0667754783689789,1.1973352617694788,7.702664738230522
1909.0,,,,,,,,,,,,,,,,,2730.609,6.5,91.029,0.0657814063938462,1.1265893311805362,5.373410668819464
1910.0,,,,,,,,,,,,,,,,,,5.5,,,,
1911.0,,,,,,,,,,,,,,,,,2730.583,7.8,91.00300000000016,0.06576266392005846,1.1252859590929591,6.674714040907041
1912.0,,,,,,,,,,,,,,,,,2737.029,,97.44900000000007,0.0704093556906935,1.4842510456082534,
1913.0,,,,,,,,,,,,,,,,,2733.482,23.6,93.90200000000004,0.0678524497474042,1.277639572245505,22.322360427754496
1916.0,,,,,,,,,,,,,,,,,2736.653,,97.07299999999987,0.07013831068514591,1.4612500050849075,
1917.0,,,,,,,,,,,,,,,,,2738.2,19.1,98.61999999999989,0.0712534878755233,1.5576096438954805,17.54239035610452
1918.0,,,,,,,,,,,,,,,,,2737.241,23.3,97.66100000000006,0.07056217893850215,1.497337644684501,21.8026623553155
1919.0,,,,,,,,,,,,,,,,,2739.805,,100.22499999999991,0.07241047519973512,1.6624912170016874,
1920.0,,,,,,,,,,,,,,,,,,26.9,,,,
1921.0,,,,,,,,,,,,,,,,,2738.712,,99.13200000000006,0.07162257043626886,1.5905165735499025,
1922.0,,,,,,,,,,,,,,,,,2739.274,36.9,99.69399999999996,0.07202769621583704,1.6272288359433211,35.27277116405668
1923.0,,,,,,,,,,,,,,,,,2738.718,,99.13799999999992,0.0716268956225275,1.590905237363418,
1924.0,,,,,,,,,,,,,,,,,2738.698,,99.11799999999994,0.0716124783349984,1.5896099657255265,
1925.0,,,,,,,,,,,,,,,,,2739.257,,99.67700000000013,0.07201544152143742,1.6261091744998055,
1926.0,,,,,,,,,,,,,,,,,2740.885,32.2,101.30500000000029,0.07318900872630783,1.735960733116972,30.46403926688303
1927.0,,,,,,,,,,,,,,,,,2738.406,,98.82600000000002,0.07140198593707332,1.570788100472549,
1928.0,,,,,,,,,,,,,,,,,2739.985,31.1,100.4050000000002,0.0725402307874974,1.674572479236458,29.42542752076354
1929.0,,,,,,,,,,,,,,,,,2739.237,30.3,99.65700000000015,0.0720010242339083,1.624792658982479,28.675207341017522
1930.0,,,,,,,,,,,,,,,,,2737.437,,97.85699999999997,0.07070346835628746,1.5095126338412683,
1931.0,,,,,,,,,,,,,,,,,2738.887,,99.30700000000024,0.0717487217021488,1.6018816225612378,
