date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope_x,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_y,obs_tau_b,obs_u_def,obs_u_def_2,obs_u_bed,obs_u_bed_2
1923,,,,,,,,,,,,,,,,,2087.6334,,486.9334000000001,0.05040045248595758,0.12305234164709425,53.04331651381777,19.987103415438447,,
1924,,,,,,,,,,,,,,,,,2086.8078,141.0,486.1078,0.05096977100644733,0.12292892029890767,52.74014466110727,19.89323614818808,88.25985533889272,121.10676385181192
1925,,,,,,,,,,,,,,,,,,131.0,,0.05153908952693709,,,,,
1926,,,,,,,,,,,,,,,,,2087.6334,132.0,486.9334000000001,0.05210840804742685,0.12305234164709425,53.04331651381777,19.987103415438447,78.95668348618223,112.01289658456156
1927,,,,,,,,,,,,,,,,,2086.8078,132.0,486.1078,0.052677726567916604,0.12292892029890767,52.74014466110727,19.89323614818808,79.25985533889272,112.10676385181192
1928,,,,,,,,,,,,,,,,,,132.0,,0.05324704508840636,,,,,
1929,,,,,,,,,,,,,,,,,2087.083,139.0,486.38300000000004,0.05381636360889612,0.12297006074830319,52.84103048885555,19.92448921787432,86.15896951114445,119.07551078212568
1930,,,,,,,,,,,,,,,,,,125.0,,0.054385682129385875,,,,,
1932,,,,,,,,,,,,,,,,,2082.1296,,481.42960000000016,0.05552431917036539,0.12222956255776624,51.051192239908,19.367439500331127,,
1933,,,,,,,,,,,,,,,,,,110.0,,0.056093637690855146,,,,,
1934,,,,,,,,,,,,,,,,,2081.304,144.0,480.60400000000004,0.0566629562113449,0.12210614120957966,50.75819338813148,19.275717315503247,93.24180661186853,124.72428268449676
1935,,,,,,,,,,,,,,,,,2078.5521,114.0,477.85209999999984,0.05723227473183466,0.12169475166491561,49.79241363052067,18.97228727907469,64.20758636947933,95.02771272092531
1937,,,,,,,,,,,,,,,,,2078.2769,,477.5768999999998,0.05837091177281417,0.1216536112155201,49.69674514121089,18.942137058236355,,
1938,,,,,,,,,,,,,,,,,2077.1761,104.0,476.4761000000001,0.05894023029330393,0.12148904941793806,49.31572169877782,18.82188736124662,54.68427830122218,85.17811263875338
1939,,,,,,,,,,,,,,,,,2078.0017,,477.30169999999976,0.05950954881379369,0.12161247076612458,49.60124189371058,18.912021982889353,,
1941,,,,,,,,,,,,,,,,,2077.4513,,476.7513000000001,0.060648185854773204,0.12153018986733358,49.410730362713274,18.85189716123934,,
1942,,,,,,,,,,,,,,,,,2078.8273,,478.1272999999999,0.06121750437526296,0.12173589211431116,49.888247552133414,19.002472672274536,,
1943,,,,,,,,,,,,,,,,,2077.1761,,476.4761000000001,0.06178682289575271,0.12148904941793806,49.31572169877782,18.82188736124662,,
1945,,,,,,,,,,,,,,,,,2073.5986,,472.89859999999976,0.06292545993673222,0.12095423852508744,48.09554152490301,18.434949411035465,,
1948,,,,,,,,,,,,,,,,,2063.4166,,462.71659999999997,0.0646334154982015,0.11943210169461799,44.771231468422684,17.365566339300088,,
1949,,,,,,,,,,,,,,,,,2059.0135,83.0,458.3135,0.06520273401869126,0.11877386945358087,43.39998621340078,16.917493278891968,39.60001378659922,66.08250672110803
1950,,,,,,,,,,,,,,,,,2051.5834,103.0,450.88339999999994,0.06577205253918102,0.11766312216777539,41.17399885507093,16.180651254559862,61.82600114492907,86.81934874544014
1952,,,,,,,,,,,,,,,,,2049.1067,89.0,448.4066999999998,0.06691068958016053,0.11729287307250688,40.45603707056973,15.940341198818473,48.54396292943027,73.05965880118153
1953,,,,,,,,,,,,,,,,,2044.9788,,444.27880000000005,0.06748000810065029,0.11667578128086531,39.28557030034635,15.545632259345327,,
1956,,,,,,,,,,,,,,,,,2042.5021,89.0,441.8020999999999,0.06918796366211956,0.1163055321855968,38.59878322189477,15.312268690802007,50.40121677810523,73.687731309198
