xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
921213.08,301555.82,6.0276,-8.4172,-1.1777,10.0,255.1324,-14.9798,-3.8518,23.8561,0.6074,0.5234,-0.5977,-25.3716,0.0994,5.9572,-8.3401,-1.1804,10.0,0.0392,0.0994,0.6074,0.5234,-0.5977,-0.2457,0.1538,0.084,10.352836210430453,10.249170690841284
921243.08,301525.82,7.094,-7.163,-0.6026,10.0,284.9689,-18.6199,-9.0431,33.7184,0.5383,0.5885,-0.6033,-35.6859,0.1252,7.263,-7.263,-1.0093,10.0,-0.0103,0.1252,0.5383,0.5885,-0.6033,-0.1467,0.5221,0.2941,10.081339444736498,10.27143310351579
921273.08,301495.82,5.9941,-8.4822,-2.6688,10.0,151.025,-6.418,-3.5356,15.75,0.5888,0.5959,-0.5462,-14.4875,0.0959,6.1842,-8.6579,-2.8898,10.0,-0.0251,0.0959,0.5888,0.5959,-0.5462,-0.0718,0.2945,0.0919,10.38638299168676,10.639716257964777
921303.08,301435.82,4.3465,-8.9161,-3.196,10.0,202.4924,-4.7839,1.3716,10.2058,0.5633,0.5128,-0.6479,-8.604,0.0425,4.5133,-9.0266,-3.516,10.0,-0.0012,0.0425,0.5633,0.5128,-0.6479,-0.1331,0.3123,0.1153,9.919117977925255,10.092045602849801
921333.08,301375.82,2.0127,-10.0876,-5.389,10.0,229.6379,-1.2026,-1.9862,19.8047,0.4575,0.5045,-0.7322,-16.0535,0.0699,2.069,-10.345,-5.4203,10.0,-0.0113,0.0699,0.4575,0.5045,-0.7322,0.0716,0.5156,0.271,10.28642965513302,10.549871373623473
921333.08,301345.82,0.0167,-9.6264,-6.4608,10.0,480.6451,-6.233,1.4837,27.4695,0.5776,0.4468,-0.6831,-21.7027,0.0452,0.0,-10.1237,-6.2359,10.0,0.0125,0.0452,0.5776,0.4468,-0.6831,-0.2944,0.4339,0.275,9.626414485674301,10.1237
921333.08,301315.82,0.0928,-9.4518,-6.9224,10.0,448.9273,-6.3136,6.3849,18.5198,0.7442,0.3845,-0.5463,-12.3603,0.0275,0.0,-9.7304,-6.7678,10.0,0.0099,0.0275,0.7442,0.3845,-0.5463,-0.3131,0.45,0.3005,9.452255555157192,9.7304
921333.08,301285.82,2.1455,-9.9764,-7.4485,10.0,439.2456,-7.3637,6.4888,17.8131,0.6604,0.5329,-0.5291,-10.8296,0.0247,2.0723,-10.3614,-7.247,10.0,0.0019,0.0247,0.6604,0.5329,-0.5291,-0.2248,0.4503,0.2532,10.204495441225891,10.566600079968959
921363.08,301225.82,4.4408,-8.9882,-7.1331,10.0,308.1846,-3.204,10.3049,4.5329,0.6259,0.646,-0.4369,2.6711,-0.0087,4.5889,-9.1778,-7.3971,10.0,0.0028,-0.0087,0.6259,0.646,-0.4369,-0.0051,0.602,0.3624,10.02538996149277,10.261092341948785
921393.08,301165.82,4.5582,-9.4414,-2.4967,10.0,312.6227,-27.2305,-11.5675,37.6429,0.7109,0.4891,-0.5053,-44.0391,0.1409,4.9523,-9.9047,-3.3421,10.0,0.0455,0.1409,0.7109,0.4891,-0.5053,-0.2418,0.2339,0.1132,10.484141414536529,11.073768887781611
921423.08,301105.82,2.0302,-10.6083,-5.0574,10.0,419.8427,-44.1778,-11.7063,42.2074,0.8369,0.3902,-0.3839,-57.7436,0.1375,1.9548,-9.7741,-5.3665,10.0,-0.0619,0.1375,0.8369,0.3902,-0.3839,0.1544,0.4104,0.1923,10.800821308122822,9.967661403258038
921423.08,301075.82,-0.0212,-10.4749,-5.2334,10.0,642.4976,-67.4123,-6.8306,65.6962,0.8991,0.1887,-0.395,-87.8477,0.1367,0.0,-10.5339,-5.4358,10.0,-0.0096,0.1367,0.8991,0.1887,-0.395,0.0005,0.2965,0.0879,10.474921453166129,10.5339
921423.08,301045.82,1.9318,-10.2966,-4.9961,10.0,579.1652,-69.614,-24.7446,71.1572,0.8163,0.3682,-0.4451,-97.6069,0.1685,2.0488,-10.244,-5.3206,10.0,0.021,0.1685,0.8163,0.3682,-0.4451,-0.1302,0.302,0.1081,10.476250417014668,10.446871179448896
921453.08,300985.82,1.4528,-8.8198,-0.776,10.0,211.6752,-35.3944,-3.5975,40.7073,0.875,0.219,-0.4318,-49.3352,0.2331,1.7908,-8.9541,-2.342,10.0,0.0048,0.2331,0.875,0.219,-0.4318,0.0033,-0.0141,0.0002,8.938652016943047,9.131422203030588
