xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
921483.08,300775.82,2.8378,-21.4268,-0.9137,43.5384,511.9824,-115.8522,10.2053,215.1915,0.6713,0.1535,-0.7251,-232.2425,0.4536,4.0132,-22.1253,-2.5531,43.5384,0.0705,0.4536,0.6713,0.1535,-0.7251,0.0079,0.4637,0.2151,21.613904484844934,22.486321938680856
921513.08,300715.82,2.667,-12.3289,0.5611,10.0,338.2021,-10.4394,9.377,5.5255,0.8868,0.1815,-0.425,-9.9047,0.0293,2.4773,-12.3865,1.6172,10.0,-0.005,0.0293,0.8868,0.1815,-0.425,0.2315,0.6143,0.4309,12.614066125163607,12.631801041023405
921513.08,300685.82,1.4068,-5.9756,-0.9441,10.0,335.0069,5.6677,9.2553,-5.3937,0.885,0.2667,-0.3817,9.5432,-0.0285,1.3861,-6.9303,0.8105,10.0,0.0177,-0.0285,0.885,0.2667,-0.3817,0.2217,0.2521,0.1127,6.138964212308132,7.067554831764661
921543.08,300625.82,1.281,-2.4721,-0.5258,10.0,341.4602,-7.7566,-2.594,8.7915,0.7247,0.4709,-0.5031,-11.2653,0.033,1.2958,-2.5917,-0.2024,10.0,0.0053,0.033,0.7247,0.4709,-0.5031,-0.0,0.0,0.0,2.7842843622733655,2.897586328308442
921573.08,300565.82,0.9644,-1.8784,-0.2213,10.0,314.0296,-4.2073,-0.3761,4.1861,0.7442,0.437,-0.5051,-5.4101,0.0172,1.0183,-2.0366,-0.0497,10.0,0.0148,0.0172,0.7442,0.437,-0.5051,-0.0,-0.0,0.0,2.1115051314169238,2.2769880214880356
921603.08,300505.82,0.7789,-1.4924,-0.1333,10.0,331.4311,-14.1057,-7.6629,24.4705,0.7012,0.4157,-0.5792,-27.2496,0.0822,0.7046,-1.4093,0.103,10.0,0.0345,0.0822,0.7012,0.4157,-0.5792,-0.0,0.0,0.0,1.6834319023946291,1.5756229403001214
921633.08,300445.82,0.2407,-1.0701,-0.2348,10.0,289.811,-5.98,-2.8243,11.0031,0.7287,0.2904,-0.6203,-12.0024,0.0414,0.2568,-1.3065,0.186,10.0,-0.0036,0.0414,0.7287,0.2904,-0.6203,-0.0,0.0,0.0,1.0968365876464916,1.3314985880578318
921633.08,300415.82,0.0698,-0.5697,-0.2436,10.8757,357.2522,-15.0516,-11.1221,23.6759,0.7778,0.2862,-0.5596,-28.1388,0.0788,0.0,-0.8099,0.1719,10.8757,0.0613,0.0788,0.7778,0.2862,-0.5596,-0.0,0.0,0.0,0.5739600421632154,0.8099
921633.08,300385.82,0.1012,-0.7406,-0.1453,27.5904,372.9922,-41.5513,-18.3303,68.7375,0.7676,0.1815,-0.6147,-77.4742,0.2077,0.0,-0.7045,0.4506,27.5904,,0.2077,0.7676,0.1815,-0.6147,0.0,0.0,0.0,0.7474823074829263,0.7045
921633.08,300355.82,0.1347,-0.5336,-0.0371,30.5712,378.262,-57.2007,-19.4733,82.5078,0.7849,0.1527,-0.6005,-97.4164,0.2575,0.0,-0.6493,0.4748,30.5712,-0.2021,0.2575,0.7849,0.1526,-0.6005,0.0,0.0,0.0,0.5503390318703554,0.6493
921633.08,300325.82,0.1246,-0.4037,-0.0659,41.4888,423.6306,-91.4193,-47.5548,122.1002,0.7833,0.2257,-0.5792,-153.0637,0.3613,0.0,-0.571,0.427,41.4888,0.2896,0.3613,0.7833,0.2257,-0.5792,-0.0,-0.0,0.0,0.4224912425127887,0.571
921633.08,300295.82,0.0862,-0.2887,-0.0646,54.0421,566.8419,-164.0197,-100.1331,231.6851,0.7699,0.2559,-0.5845,-287.3414,0.5069,0.0,-0.4773,0.4052,54.0421,0.016,0.5069,0.7699,0.2559,-0.5845,0.0,-0.0,0.0,0.30129409220892467,0.4773
