xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
957473.1571,108365.5857,-2.2341,7.3021,-4.4998,10.0,439.4725,-13.2321,4.0363,43.6088,0.7705,-0.1494,-0.6197,-37.8232,0.0861,-2.0781,7.0773,-5.4789,10.0,-0.0194,0.0861,0.7705,-0.1494,-0.6197,0.4712,-0.4377,0.4136,7.63622074196392,7.376088048552566
957481.5343,108337.0564,-2.1615,6.9061,-3.6187,10.0,381.4881,-14.8286,3.5916,43.1893,0.7676,-0.0993,-0.6332,-39.0877,0.1025,-1.9829,6.753,-4.8541,10.0,-0.0239,0.1025,0.7676,-0.0993,-0.6332,0.4535,-0.3859,0.3545,7.236456277764691,7.038103537885757
957489.9114,108308.5271,-1.9791,6.2855,-2.3458,10.0,576.8403,-21.2269,-0.0661,65.6932,0.7029,-0.0545,-0.7092,-61.5062,0.1066,-1.8144,6.1792,-3.8135,10.0,-0.0269,0.1066,0.7029,-0.0545,-0.7092,0.4643,-0.2324,0.2696,6.589715248779722,6.44007453373018
957498.2886,108279.9979,-1.8413,5.6095,-1.7901,10.0,282.1601,-15.3815,-0.0687,39.5137,0.8276,0.075,-0.5562,-34.7136,0.123,-1.6025,5.4574,-3.4448,10.0,-0.0497,0.123,0.8276,0.075,-0.5562,0.4806,-0.1897,0.267,5.903971200810519,5.687813376861094
957506.6657,108251.4686,-1.5631,4.6326,-1.0315,10.0,587.0853,-29.7767,-7.379,72.8311,0.7231,0.0731,-0.6868,-72.0953,0.1228,-1.3533,4.6088,-2.7538,10.0,-0.037,0.1228,0.7231,0.0731,-0.6869,0.4993,-0.1119,0.2618,4.889198745193327,4.803379886080217
957515.0429,108222.9393,-1.5111,4.1178,-0.8441,10.0,368.1958,-29.1724,-7.3239,53.6732,0.7931,0.142,-0.5923,-55.9664,0.152,-1.187,4.0423,-2.7831,10.0,-0.0641,0.152,0.7931,0.142,-0.5923,0.5126,-0.0421,0.2645,4.386308248402066,4.212974992804965
957523.42,108194.41,-1.3592,3.65,-0.5888,10.0,507.2802,-37.4498,-13.6612,67.4767,0.8056,0.1742,-0.5663,-70.7625,0.1395,-1.0361,3.5284,-2.4477,10.0,-0.0629,0.1395,0.8056,0.1742,-0.5663,0.5182,-0.0123,0.2687,3.894858744550308,3.6773781108284203
957531.7971,108165.8807,-1.4735,3.8148,-0.6582,10.0,439.7075,-37.4958,-13.2924,64.7783,0.8095,0.1772,-0.5597,-68.9673,0.1568,-1.1067,3.7691,-2.8365,10.0,-0.0731,0.1568,0.8095,0.1772,-0.5597,0.5119,0.0009,0.262,4.089486678056306,3.9282183875136067
957540.1743,108137.3514,-1.8831,4.6742,-0.4981,10.0,502.556,-47.9302,-26.3189,81.0456,0.815,0.2209,-0.5358,-88.2967,0.1757,-1.2775,4.3506,-3.1884,10.0,-0.0894,0.1757,0.815,0.2209,-0.5358,0.4749,0.0058,0.2255,5.03926693577548,4.534283472611742
957548.5514,108108.8221,-2.5182,6.1371,-0.2436,10.0,506.9904,-65.7287,-42.4589,106.5651,0.8071,0.2724,-0.5238,-120.4345,0.2375,-1.8608,6.3373,-3.1743,10.0,-0.1185,0.2375,0.8071,0.2724,-0.5238,0.4631,-0.0231,0.215,6.633651155283944,6.604842763457734
957556.9286,108080.2929,-4.6542,10.5458,-0.0274,18.381,429.3471,-72.5897,-55.2633,143.9052,0.7609,0.2778,-0.5863,-154.9652,0.3609,-3.2183,10.9603,-6.1867,18.381,-0.136,0.3609,0.7609,0.2778,-0.5863,0.4137,-0.1124,0.1838,11.527162499071487,11.423030726562894
957565.3057,108051.7636,-5.92,12.4274,-1.5733,29.3001,384.8662,-64.0017,-38.2995,146.9701,0.7343,0.1885,-0.6521,-150.0544,0.3899,-4.1142,14.0115,-13.057,29.3001,-0.1147,0.3899,0.7343,0.1885,-0.6521,0.3652,-0.1744,0.1638,13.765415749624129,14.603039885243073
957573.6829,108023.2343,-7.7356,14.3774,-2.8071,32.6663,529.0011,-115.541,-59.3525,243.3902,0.705,0.1724,-0.6879,-259.1254,0.4898,-4.8918,16.6595,-16.3966,32.6663,-0.1028,0.4898,0.705,0.1724,-0.688,0.3055,-0.2127,0.1386,16.326332659847402,17.362852515931824
957582.06,107994.705,-11.0025,14.3834,-5.0056,41.2062,241.5692,-83.4058,-43.7648,127.035,0.8138,0.2486,-0.5253,-145.4833,0.6022,-5.0606,17.2343,-22.2347,41.2062,-0.2166,0.6022,0.8138,0.2486,-0.5253,0.285,-0.1794,0.1134,18.109036468293944,17.96192553291545
957590.4371,107966.1757,-9.4205,14.3697,-3.0571,48.7216,581.2984,-155.1275,-86.6816,327.6534,0.682,0.2015,-0.703,-353.6163,0.6083,-5.1856,17.66,-24.188,48.7216,-0.1588,0.6083,0.682,0.2015,-0.703,0.28,-0.155,0.1024,17.18237755201532,18.405598261398623
957598.8143,107937.6464,-11.016,13.8463,-4.5434,55.5376,404.4894,-131.6435,-64.8076,247.0145,0.7234,0.2075,-0.6585,-271.3363,0.6708,-4.7438,16.1555,-27.8056,55.5376,-0.2171,0.6708,0.7234,0.2075,-0.6585,0.2639,-0.1439,0.0904,17.693848639852213,16.837571638748862
957607.1914,107909.1171,-11.3835,12.1605,-5.4277,61.1243,378.578,-134.3425,-58.5366,242.5334,0.7167,0.1934,-0.67,-270.107,0.7135,-4.1312,14.0692,-30.6533,61.1243,-0.2427,0.7135,0.7167,0.1934,-0.67,0.2423,-0.1315,0.076,16.65718561162119,14.663192083581256
957615.5686,107880.5879,-11.2599,11.4999,-5.0977,65.7822,460.3645,-157.64,-63.1166,313.9536,0.6459,0.1641,-0.7455,-346.249,0.7521,-3.0246,10.3008,-34.1017,65.7822,-0.1996,0.7521,0.6459,0.1641,-0.7456,0.2197,-0.1341,0.0663,16.09450365870287,10.735673514037208
957623.9457,107852.0586,-11.206,8.7345,-5.7632,70.5014,402.8559,-159.2847,-55.4008,291.8607,0.7015,0.1814,-0.6892,-322.9435,0.8016,-1.5566,5.301,-39.171,70.5014,-0.2446,0.8016,0.7015,0.1814,-0.6892,0.1944,-0.1333,0.0556,14.207952922571218,5.524817151725476
957632.3229,107823.5293,-9.6562,2.1412,-5.1724,74.7039,490.0333,-178.249,-51.4439,366.9961,0.6885,0.1763,-0.7035,-389.9737,0.7958,-0.2677,0.9115,-44.4047,74.7039,-0.2142,0.7958,0.6885,0.1763,-0.7035,0.1676,-0.1345,0.0462,9.89075001605035,0.9499976526286787
