xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
936062.2833,341712.1867,-1.8143,3.772,-0.3965,16.3422,272.0522,27.5435,10.6113,47.8558,-0.6826,-0.4006,-0.6113,-52.3033,0.1923,-1.9383,3.8761,-0.6291,16.3422,-0.1061,0.1923,-0.6826,-0.4006,-0.6113,-0.2286,-0.2163,0.099,4.185650306702652,4.333723352961054
936073.2467,341690.2633,-1.8814,3.9153,-0.2881,16.7265,243.6612,33.1785,12.6956,51.9018,-0.7058,-0.3886,-0.5923,-59.0929,0.2425,-1.9973,3.9941,-0.5169,16.7265,-0.1339,0.2425,-0.7058,-0.3886,-0.5923,-0.2547,-0.2271,0.1164,4.343873852910556,4.465651363463118
936097.6067,341648.8533,-2.4837,3.8345,-0.0956,19.8559,261.4769,32.0593,13.7419,61.2326,-0.6307,-0.4352,-0.6425,-65.5419,0.2507,-2.7601,4.0148,-0.5715,19.8559,-0.1183,0.2507,-0.6307,-0.4352,-0.6425,-0.2517,-0.279,0.1412,4.568605469943755,4.872039721718204
936111.0033,341629.3667,-2.6417,4.0413,-0.0971,22.7621,262.0752,30.8417,12.6014,62.7614,-0.6153,-0.4279,-0.6621,-65.9216,0.2515,-2.8478,4.1423,-0.5188,22.7621,-0.1132,0.2515,-0.6153,-0.4279,-0.6621,-0.2739,-0.2722,0.1491,4.828113977527871,5.026789644494784
936140.845,341586.125,-3.0001,4.5326,-0.4312,25.218,349.4957,38.9744,20.5816,89.4962,-0.5797,-0.4561,-0.6752,-92.4087,0.2644,-3.0739,4.4402,-0.8219,25.218,-0.1065,0.2644,-0.5797,-0.4561,-0.6752,-0.1537,-0.3156,0.1232,5.435537026826329,5.400392323711306
936172.636,341537.524,-2.9676,5.0202,-1.2675,27.954,522.226,48.581,44.3725,149.9131,-0.4814,-0.4778,-0.7348,-154.7495,0.2963,-3.0593,4.9532,-1.6661,27.954,-0.1032,0.2963,-0.4814,-0.4778,-0.7349,-0.1143,-0.3147,0.1121,5.831728543065084,5.821813010566382
936187.982,341512.678,-2.9315,5.0294,-1.5626,27.7878,391.4948,31.1358,29.598,91.3297,-0.5299,-0.5261,-0.6652,-92.8187,0.2371,-3.2273,5.2251,-1.9869,27.7878,-0.1009,0.2371,-0.5299,-0.5261,-0.6651,-0.1122,-0.3169,0.113,5.821387859436958,6.141427790017563
936203.328,341487.832,-2.9628,5.0717,-1.0156,26.7141,429.0175,45.9147,33.644,124.6497,-0.5633,-0.4776,-0.6742,-125.9753,0.2936,-3.344,5.4141,-1.6147,26.7141,-0.1285,0.2936,-0.5633,-0.4776,-0.6742,-0.1394,-0.288,0.1024,5.873697705023642,6.363553630637524
936218.674,341462.986,-2.9733,5.213,-0.7242,26.8276,269.9839,41.5798,23.7782,81.686,-0.68,-0.4844,-0.5504,-84.7549,0.3139,-3.3491,5.4223,-1.4103,26.8276,-0.1751,0.3139,-0.68,-0.4844,-0.5504,-0.1577,-0.2739,0.0999,6.001323344896524,6.3732101879665
936250.828,341414.754,-3.2675,4.9213,-0.6883,28.931,349.1738,38.8254,23.853,94.6539,-0.5501,-0.4806,-0.6829,-97.4634,0.2791,-3.6259,5.0449,-1.5947,28.931,-0.1392,0.2791,-0.5501,-0.4806,-0.6829,-0.2149,-0.2148,0.0923,5.907262474276896,6.212742294671493
936267.636,341391.368,-3.2975,4.9271,-0.464,27.7476,359.5186,46.2898,25.9533,111.9228,-0.5644,-0.4585,-0.6865,-114.8561,0.3195,-3.6584,5.0902,-1.3866,27.7476,-0.1602,0.3195,-0.5644,-0.4585,-0.6865,-0.1962,-0.2117,0.0833,5.928728418472211,6.268494763497853
936284.444,341367.982,-3.3121,4.8689,-0.6729,27.2534,338.3151,38.8027,24.4915,93.2154,-0.553,-0.485,-0.6775,-96.4869,0.2852,-3.6765,5.1153,-1.3179,27.2534,-0.1477,0.2852,-0.553,-0.485,-0.6775,-0.1814,-0.2136,0.0785,5.888649558260366,6.2994401608396915
936301.252,341344.596,-3.4618,5.0403,-0.6116,26.1448,361.2141,41.8357,24.7664,99.5892,-0.559,-0.4796,-0.6764,-102.6255,0.2841,-3.713,5.1661,-1.1288,26.1448,-0.1436,0.2841,-0.559,-0.4796,-0.6764,-0.1688,-0.2288,0.0808,6.114628633858315,6.361993257619816
936339.4614,341302.4186,-4.3945,4.1718,-0.7642,25.551,374.2714,32.2757,30.7415,91.3334,-0.4396,-0.6033,-0.6654,-93.5082,0.2498,-4.7022,4.1288,-1.7476,25.551,-0.1344,0.2498,-0.4396,-0.6033,-0.6654,-0.1563,-0.2335,0.0789,6.0593354000253195,6.257609310271776
936360.8629,341283.6271,-4.5017,4.1654,-0.8362,23.0263,429.4992,34.3413,34.5978,106.2459,-0.4267,-0.6087,-0.669,-106.7837,0.2486,-4.8742,4.2797,-1.6267,23.0263,-0.1274,0.2486,-0.4267,-0.6087,-0.669,-0.1341,-0.2676,0.0896,6.133176994837178,6.486421026267105
936382.2643,341264.8357,-4.6155,4.3629,-0.852,24.2337,290.0824,27.6214,27.7979,77.7324,-0.4281,-0.6072,-0.6694,-80.7346,0.2783,-4.9557,4.3514,-1.7192,24.2337,-0.1172,0.2783,-0.4281,-0.6072,-0.6694,-0.0992,-0.3597,0.1392,6.351199623693149,6.594971148534314
