   2634830.3150   1098646.8890         0.7873        -0.0005        -1.3517        17.8594        -0.0126         0.1288        -0.3518         0.6994        -0.6221        -0.4300         0.0136         0.1851
   2634884.8339   1098655.7772         2.6265         0.9025        -1.0766        18.4985        -0.0254         0.1703        -0.4464         0.4155        -0.7925        -0.4562         0.1235         0.2233
   2635030.1860   1098730.1418         0.2393         0.2799        -1.8998        47.8359        -0.0121         0.2936        -0.5227         0.4350        -0.7332        -0.4819         0.6697         0.6807
   2635061.6481   1098900.8921         0.4456         1.0368        -1.5978        29.2394         0.0061         0.2394        -0.7053         0.3147        -0.6352        -1.2041         0.4230         1.6288
   2635150.4172   1099020.0510         2.3852         1.9928        -5.7486        49.8377        -0.0526         0.4036        -0.5918         0.5296        -0.6078        -0.8480         0.4884         0.9577
   2635358.0414   1099117.4516         1.4583        -0.1176        -3.3614        57.3630         0.0229         0.3997         0.1813         0.5819        -0.7928        -0.2109         0.6934         0.5253
   2635380.9642   1099084.7662         2.4285        -1.5549        -1.4742        23.5816         0.0153         0.1614         0.1205         0.6646        -0.7374        -0.3798         0.8523         0.8707
   2635435.6433   1099074.8604         2.0167        -1.1355        -2.5806        45.5705        -0.0057         0.0493        -0.2567         0.7821        -0.5678        -0.5135         1.0026         1.2689
   2635450.9221   1099048.5341         2.4918        -1.2305        -1.8946        28.7303         0.0272         0.2165        -0.1535         0.4696        -0.8694        -0.4232         0.5800         0.5155
   2635533.2672   1099037.6219         2.7524         0.1839        -2.2032        33.1236         0.0023         0.2320        -0.3770         0.5828        -0.7199        -0.6748         0.6889         0.9298
   2635638.9537   1099066.8813         1.0053        -0.0439        -1.1568        33.6132         0.0081         0.1973        -0.0915         0.5978        -0.7964         0.0044         0.8170         0.6675
   2635686.1706   1099048.9696         0.9045         0.2995        -2.0751        31.5959        -0.0029         0.2708        -0.1959         0.4863        -0.8515         0.0107         0.5521         0.3050
   2635709.7779   1099083.9202         2.9535         2.5749        -7.7078        61.9707         0.0848         0.4601        -0.4450         0.5312        -0.7209        -0.5313         1.2406         1.8213
   2635740.4861   1099097.5558         1.9194         3.3278       -12.4956        62.2013        -0.0027         0.5653        -0.5982         0.3839        -0.7034        -0.3564         0.7658         0.7134
   2635746.1483   1099125.2367         4.3442         5.2467       -19.1501        78.7397         0.0078         0.8114        -0.7082         0.4408        -0.5515        -0.3261         1.1087         1.3354
   2635794.2956   1099148.7420         4.4223         0.2240       -20.0867       103.5605         0.0318         0.7823        -0.1758         0.6727        -0.7188        -0.2689         1.0141         1.1007
   2635843.9706   1099130.1412         5.6428        -3.5280       -11.3827       128.2044         0.1139         0.5230        -0.2098         0.5916        -0.7784        -0.1401         1.2212         1.5109
   2635879.9484   1099094.9796         9.2479        -1.9519        -8.0498        85.2133         0.0963         0.7143        -0.0163         0.4230        -0.9060        -0.2911         0.5098         0.3446
   2635289.2318   1098094.3419        16.2330        27.2992        -7.8481        27.8371         0.0028         0.4635        -0.7771         0.2207        -0.5894        -1.2472        -0.1937         1.5929
   2635319.2566   1098187.8415        -0.0199         8.2250        -3.0186        33.8201        -0.1019         0.5509        -0.8176         0.1169        -0.5638        -0.9950         0.0904         0.9983
   2635304.5489   1098237.1738         9.5005        -5.5222       -14.9226        41.7472        -0.0163         0.2578        -0.7516        -0.1065        -0.6510        -1.0202        -0.1083         1.0526
   2635255.4436   1098212.3665        10.4674         8.5974        -8.5917        13.1626         0.0167         0.0946        -0.0039        -0.7303        -0.6831        -0.6900        -0.2964         0.5640
   2635159.8204   1098085.7809         8.0588         9.0731        -6.3962        19.3630        -0.0353         0.1145         0.1898        -0.6475        -0.7381        -0.1037        -0.1833         0.0443
   2635086.5838   1098019.2139        10.9428         8.5429        -8.4250        17.0210         0.0579         0.1283         0.0933        -0.6447        -0.7587        -0.8599        -0.2219         0.7886
   2635021.1223   1097973.7899        13.2461         6.8424       -11.7296        21.9895        -0.0006         0.1465        -0.0652        -0.7060        -0.7052        -0.3911        -0.1387         0.1722
   2634949.5060   1097948.7160         9.0786         6.0621       -13.7118        24.8358         0.0397         0.1766        -0.1037        -0.7037        -0.7029        -0.5311        -0.0116         0.2822
   2634892.9184   1097888.8408        -0.2552         0.0748        -2.4950        10.0000        -0.0347         0.1263        -0.3306        -0.7828        -0.5272        -0.3734        -0.0850         0.1466
   2634851.8897   1098043.4445        -3.3913        21.7200       -28.5230        38.2168        -0.1066         0.4003        -0.6763        -0.4325        -0.5963        -0.3674        -0.5742         0.4647
   2634843.3838   1098224.1422        -4.8208        15.7532       -19.6909        33.9713        -0.1396         0.4203        -0.6576        -0.4224        -0.6239        -0.1814        -0.4180         0.2076
   2634800.1800   1098301.9063        -2.7731         8.4841       -14.3961        42.0395        -0.1180         0.3748        -0.5737        -0.4217        -0.7022        -0.2478        -0.3823         0.2075
   2634782.6507   1098445.1460        -0.4412         5.8461        -5.4726        36.3743        -0.1240         0.3215        -0.6117        -0.2846        -0.7381        -0.1549        -0.2108         0.0684
   2634781.0659   1098516.5346         0.5656         3.7634        -2.8538        44.0389        -0.0547         0.3673        -0.5655        -0.0675        -0.8220        -0.1746        -0.2322         0.0844
   2634822.4552   1098652.8183         0.3344         0.5213        -1.7751        10.0000        -0.1604         0.4250        -0.5063         0.8242        -0.2534        -0.5033         0.0273         0.2540
   2634857.5744   1098651.3331         2.0982         0.3421        -1.3643        24.9983        -0.0164         0.1609        -0.4284         0.6565        -0.6209        -0.5896         0.0537         0.3505
   2634909.0593   1098668.1713         2.8242         1.4449        -1.8716        37.9871        -0.0032         0.2136        -0.5932         0.3923        -0.7030        -0.3271         0.7524         0.6731
   2634933.2846   1098680.5654         2.5367         1.2978        -2.1980        55.7621         0.0334         0.2644        -0.5557         0.2933        -0.7779        -0.5089         0.7764         0.8618
   2634957.5100   1098692.9595         2.3096         1.1816        -2.2240        60.0977         0.0875         0.3808        -0.2806         0.4755        -0.8337        -0.6962         0.7850         1.1010
   2634981.7353   1098705.3536         2.0973         1.0730        -1.4596        42.7097         0.0156         0.3364        -0.2856         0.4584        -0.8416        -0.4572         0.5323         0.4923
   2635005.9607   1098717.7477         1.6874         0.8633        -1.8992        52.3124         0.0323         0.3443        -0.3064         0.4784        -0.8229        -0.4228         0.7239         0.7028
   2635035.4297   1098758.6002        -0.2233        -1.2121        -2.1600        10.0000        -0.0485         0.1158        -0.7325         0.5423        -0.4116        -0.4232         0.6556         0.6089
   2635040.6734   1098787.0586        -0.1438        -0.7804        -0.4460        10.0000         0.0348         0.1103        -0.5455         0.1005        -0.8321        -0.2475         0.7650         0.6465
   2635045.9171   1098815.5170        -0.0037        -0.0200        -0.1415        13.1735        -0.0021         0.0772        -0.5455         0.1005        -0.8320        -0.1875         0.3391         0.1501
   2635051.1608   1098843.9754         0.0411         0.2233        -0.4498        28.7148         0.0013         0.1609        -0.6798         0.0523        -0.7315        -0.8427         0.3314         0.8200
   2635056.4044   1098872.4337         0.0833         0.4521        -0.8139        31.9970         0.0044         0.2074        -0.7052         0.2425        -0.6662        -1.1232         0.3135         1.3599
   2635079.4019   1098924.7239         1.1791         1.5827        -2.2686        25.7124        -0.0315         0.2142        -0.7334         0.2783        -0.6203        -0.8129         0.4485         0.8620
   2635097.1557   1098948.5557         1.7268         2.3180        -3.6572        34.1865        -0.0588         0.2799        -0.7096         0.3343        -0.6202        -0.6850         0.4435         0.6658
   2635114.9096   1098972.3875         2.0598         2.7649        -5.4216        37.7294        -0.0743         0.3701        -0.7650         0.3038        -0.5679        -0.8172         0.4772         0.8955
   2635132.6634   1098996.2193         1.8444         2.4758        -6.7368        52.7479         0.0076         0.3426        -0.6305         0.1886        -0.7529        -0.8275         0.3701         0.8218
   2635176.3702   1099032.2261         3.3213         1.5581        -4.2256        44.6046         0.0144         0.3336        -0.3896         0.5160        -0.7629        -0.7143         0.5277         0.7888
   2635202.3232   1099044.4012         3.1849         1.4941        -3.0399        34.4986        -0.0027         0.3089        -0.3780         0.5349        -0.7557        -0.6507         0.4773         0.6512
   2635228.2763   1099056.5762         2.9271         1.3731        -2.7868        29.4403        -0.0536         0.2706        -0.4822         0.5324        -0.6957        -0.4112         0.5459         0.4671
   2635254.2293   1099068.7513         2.5695         1.2054        -3.3481        41.9455        -0.0399         0.3154        -0.4663         0.6113        -0.6395        -0.5777         0.7308         0.8678
   2635280.1823   1099080.9264         2.1018         0.9860        -3.3319        32.4347        -0.0752         0.3063        -0.5902         0.6357        -0.4975        -0.5217         0.8612         1.0139
   2635306.1353   1099093.1015         1.6898         0.7927        -4.0168        68.5077         0.0200         0.3422        -0.4206         0.5648        -0.7100        -0.5944         0.9395         1.2360
   2635332.0884   1099105.2765         1.3024         0.6110        -3.5055        49.6453         0.0720         0.3885        -0.0721         0.4727        -0.8782        -0.3110         0.7346         0.6363
   2635369.5028   1099101.1089         1.2227        -1.7435        -1.5626        37.3858         0.2491         0.4457         0.4415         0.3262        -0.8358        -0.5343         0.7215         0.8061
   2635408.3037   1099079.8133         2.5864        -0.4686        -2.2885        13.4953        -0.0301         0.0992        -0.1318         0.8953        -0.4254        -0.2991         1.0235         1.1370
   2635443.2827   1099061.6973         1.1119        -1.9159        -1.7157        32.1381         0.0604         0.2713        -0.0802         0.5218        -0.8493        -0.5863         0.6273         0.7374
   2635478.3705   1099044.8967         3.1110        -0.4123        -2.4453        27.3849        -0.0349         0.1890        -0.2264         0.7266        -0.6487        -0.2424         0.7703         0.6522
   2635505.8188   1099041.2593         2.9752        -0.3943        -2.6091        40.8830        -0.0248         0.2075        -0.3039         0.6701        -0.6772        -0.3771         0.7664         0.7296
   2635559.6888   1099044.9367         2.0419         0.5653        -1.5705        39.3874         0.0089         0.2354        -0.3724         0.4933        -0.7861        -0.6390         0.5252         0.6841
   2635586.1104   1099052.2516         1.2849         0.3557        -0.2248        16.4817        -0.0252         0.1746        -0.1660         0.6277        -0.7606        -0.3717         0.3575         0.2659
   2635612.5320   1099059.5664         0.9919         0.2746        -0.4614        16.9998        -0.0345         0.1414        -0.2466         0.7202        -0.6484         0.0851         0.6000         0.3673
   2635662.5621   1099057.9254         1.0456        -0.3966        -0.6460        22.8067        -0.0581         0.2504        -0.0144         0.6799        -0.7331        -0.0843         0.5511         0.3108
