955868.227 112646.010 0.075
955888.227 112646.010 0.075
955908.227 112646.010 0.075
955928.227 112646.010 0.075
955948.227 112646.010 0.075
955968.227 112646.010 0.075
955988.227 112646.010 0.075
956008.227 112646.010 0.075
956028.227 112646.010 0.075
956048.227 112646.010 0.075
956068.227 112646.010 0.075
956088.227 112646.010 0.075
956108.227 112646.010 0.075
956128.227 112646.010 0.075
956148.227 112646.010 0.075
956168.227 112646.010 0.075
956188.227 112646.010 0.075
956208.227 112646.010 0.075
956228.227 112646.010 0.075
956248.227 112646.010 0.075
956268.227 112646.010 0.075
956288.227 112646.010 0.075
956308.227 112646.010 0.075
956328.227 112646.010 0.075
956348.227 112646.010 0.075
956368.227 112646.010 0.075
956388.227 112646.010 0.074
956408.227 112646.010 0.074
956428.227 112646.010 0.074
956448.227 112646.010 0.074
956468.227 112646.010 0.074
956488.227 112646.010 0.074
956508.227 112646.010 0.074
956528.227 112646.010 0.074
956548.227 112646.010 0.074
956568.227 112646.010 0.074
956588.227 112646.010 0.074
956608.227 112646.010 0.074
956628.227 112646.010 0.074
956648.227 112646.010 0.074
956668.227 112646.010 0.074
956688.227 112646.010 0.073
956708.227 112646.010 0.073
956728.227 112646.010 0.073
956748.227 112646.010 0.073
956768.227 112646.010 0.073
956788.227 112646.010 0.073
956808.227 112646.010 0.073
956828.227 112646.010 0.073
956848.227 112646.010 0.073
956868.227 112646.010 0.073
956888.227 112646.010 0.073
956908.227 112646.010 0.073
956928.227 112646.010 0.073
956948.227 112646.010 0.073
956968.227 112646.010 0.072
956988.227 112646.010 0.072
957008.227 112646.010 0.072
957028.227 112646.010 0.072
957048.227 112646.010 0.072
957068.227 112646.010 0.072
957088.227 112646.010 0.072
957108.227 112646.010 0.072
957128.227 112646.010 0.072
957148.227 112646.010 0.072
957168.227 112646.010 0.072
957188.227 112646.010 0.072
957208.227 112646.010 0.072
957228.227 112646.010 0.072
957248.227 112646.010 0.072
957268.227 112646.010 0.071
957288.227 112646.010 0.071
957308.227 112646.010 0.071
957328.227 112646.010 0.071
957348.227 112646.010 0.071
957368.227 112646.010 0.071
957388.227 112646.010 0.071
957408.227 112646.010 0.071
957428.227 112646.010 0.071
957448.227 112646.010 0.071
957468.227 112646.010 0.071
957488.227 112646.010 0.071
957508.227 112646.010 0.071
957528.227 112646.010 0.071
957548.227 112646.010 0.071
957568.227 112646.010 0.071
957588.227 112646.010 0.071
957608.227 112646.010 0.071
957628.227 112646.010 0.071
957648.227 112646.010 0.071
957668.227 112646.010 0.071
957688.227 112646.010 0.071
957708.227 112646.010 0.071
957728.227 112646.010 0.071
957748.227 112646.010 0.071
957768.227 112646.010 0.071
957788.227 112646.010 0.071
957808.227 112646.010 0.071
957828.227 112646.010 0.071
957848.227 112646.010 0.071
957868.227 112646.010 0.071
957888.227 112646.010 0.071
957908.227 112646.010 0.071
957928.227 112646.010 0.071
957948.227 112646.010 0.071
957968.227 112646.010 0.071
957988.227 112646.010 0.071
958008.227 112646.010 0.071
958028.227 112646.010 0.071
958048.227 112646.010 0.071
958068.227 112646.010 0.071
958088.227 112646.010 0.071
958108.227 112646.010 0.071
958128.227 112646.010 0.071
958148.227 112646.010 0.071
958168.227 112646.010 0.071
958188.227 112646.010 0.071
958208.227 112646.010 0.071
958228.227 112646.010 0.071
958248.227 112646.010 0.071
958268.227 112646.010 0.071
958288.227 112646.010 0.071
958308.227 112646.010 0.071
958328.227 112646.010 0.071
958348.227 112646.010 0.071
958368.227 112646.010 0.071
958388.227 112646.010 0.071
958408.227 112646.010 0.071
958428.227 112646.010 0.071
958448.227 112646.010 0.072
958468.227 112646.010 0.072
958488.227 112646.010 0.072
958508.227 112646.010 0.072
958528.227 112646.010 0.072
958548.227 112646.010 0.072
958568.227 112646.010 0.072
958588.227 112646.010 0.072
958608.227 112646.010 0.072
958628.227 112646.010 0.072
958648.227 112646.010 0.072
958668.227 112646.010 0.072
958688.227 112646.010 0.072
958708.227 112646.010 0.072
958728.227 112646.010 0.072
958748.227 112646.010 0.072
958768.227 112646.010 0.072
958788.227 112646.010 0.072
958808.227 112646.010 0.072
958828.227 112646.010 0.072
958848.227 112646.010 0.072
958868.227 112646.010 0.072
958888.227 112646.010 0.072
958908.227 112646.010 0.072
958928.227 112646.010 0.072
958948.227 112646.010 0.072
958968.227 112646.010 0.073
958988.227 112646.010 0.073
959008.227 112646.010 0.073
959028.227 112646.010 0.073
959048.227 112646.010 0.073
959068.227 112646.010 0.073
959088.227 112646.010 0.073
959108.227 112646.010 0.073
959128.227 112646.010 0.073
959148.227 112646.010 0.073
959168.227 112646.010 0.073
959188.227 112646.010 0.073
959208.227 112646.010 0.073
959228.227 112646.010 0.073
959248.227 112646.010 0.073
959268.227 112646.010 0.073
959288.227 112646.010 0.073
959308.227 112646.010 0.073
959328.227 112646.010 0.073
959348.227 112646.010 0.073
959368.227 112646.010 0.073
959388.227 112646.010 0.073
959408.227 112646.010 0.073
959428.227 112646.010 0.073
959448.227 112646.010 0.073
959468.227 112646.010 0.073
959488.227 112646.010 0.073
959508.227 112646.010 0.073
959528.227 112646.010 0.073
959548.227 112646.010 0.073
959568.227 112646.010 0.073
959588.227 112646.010 0.073
959608.227 112646.010 0.073
959628.227 112646.010 0.073
959648.227 112646.010 0.073
959668.227 112646.010 0.073
959688.227 112646.010 0.073
959708.227 112646.010 0.073
959728.227 112646.010 0.073
959748.227 112646.010 0.073
959768.227 112646.010 0.073
959788.227 112646.010 0.073
959808.227 112646.010 0.073
959828.227 112646.010 0.073
959848.227 112646.010 0.073
959868.227 112646.010 0.073
959888.227 112646.010 0.073
959908.227 112646.010 0.073
959928.227 112646.010 0.073
959948.227 112646.010 0.073
959968.227 112646.010 0.073
959988.227 112646.010 0.073
960008.227 112646.010 0.074
960028.227 112646.010 0.074
960048.227 112646.010 0.074
960068.227 112646.010 0.074
960088.227 112646.010 0.074
960108.227 112646.010 0.074
960128.227 112646.010 0.074
960148.227 112646.010 0.074
960168.227 112646.010 0.074
960188.227 112646.010 0.074
960208.227 112646.010 0.074
960228.227 112646.010 0.074
960248.227 112646.010 0.074
960268.227 112646.010 0.074
960288.227 112646.010 0.074
960308.227 112646.010 0.074
960328.227 112646.010 0.074
960348.227 112646.010 0.074
960368.227 112646.010 0.074
960388.227 112646.010 0.074
960408.227 112646.010 0.074
960428.227 112646.010 0.074
960448.227 112646.010 0.074
960468.227 112646.010 0.074
960488.227 112646.010 0.074
960508.227 112646.010 0.074
960528.227 112646.010 0.074
960548.227 112646.010 0.074
960568.227 112646.010 0.074
960588.227 112646.010 0.075
960608.227 112646.010 0.075
960628.227 112646.010 0.075
960648.227 112646.010 0.075
960668.227 112646.010 0.075
960688.227 112646.010 0.075
960708.227 112646.010 0.075
960728.227 112646.010 0.075
960748.227 112646.010 0.075
960768.227 112646.010 0.075
