date,velocity
1995,6.9
1996,7.7
1997,7.3
1998,7.8
1999,7.9
2000,7.9
2001,7.7
2002,8.4
2003,7.8
2004,6.5
2005,6.5
2006,6.1
2007,6.2
2008,6.3
2009,6.0
2010,5.2
2011,5.0
2012,4.7
2013,4.5
2014,3.8
2015,3.2
2016,3.1
2017,2.1
2018,1.9
2019,1.9
2020,1.7
2021,1.4
2022,0.9
2023,0.87
