date,velocity
1976,67.08101917520356
1977,86.65760204042817
1978,76.21836750396575
1979,73.84076405331957
1980,86.61680474073607
1981,
1982,83.80390378705533
1983,89.53679100008267
1984,92.90859427687548
1985,90.09144688139689
1986,88.9300835073069
1987,84.48232046793613
1988,88.45411465345164
1989,93.42264197651743
1990,89.4898168928323
1991,85.34934529532714
1992,81.03887247438377
1993,80.39986182410483
1994,79.82470918009811
1995,74.55284087011071
1996,77.21666824910449
1997,78.054647454202
1998,76.6106371999223
1999,73.00718624303964
2000,73.97270630761463
2001,76.2386044107819
2002,76.02543006651884
2003,74.69198071065989
2004,71.79899532380736
2005,66.42998274870615
2006,62.46770095172572
2007,63.21285050348567
2008,59.25502262712874
2009,59.98320936087429
2010,59.73926920674579
2011,59.075417085427134
2012,73.72446976045269
2013,55.77975863823011
2014,56.00935842045174
2015,54.27357490378844
2016,53.028271778647124
2017,52.4208654152084
2018,50.616195290023
2019,49.68838660940126
2020,49.51765278209052
2021,47.40199046091267
2022,49.374739341983314
