date,velocity
1921,56.23489994668425
1923,52.51896270473544
1923,56.34750410553118
1925,56.34750410553118
1926,54.32062924628638
1927,66.36927424290825
1927,64.34239938366345
1929,56.460108264378114
1929,44.07365079121544
1931,45.6501090150725
1931,45.42490069737864
1933,46.43833812700104
1934,45.31229653853171
1935,26.05698537570609
1945,26.845214487634628
1947,18.06209009757383
1949,16.59823603256369
1950,11.868861360992495
1952,13.220111267155689
1953,12.319277996380222
1954,9.729382342900749
1955,10.968028090217018
1957,10.067194819441552
1958,12.769694631767962
1959,11.756257202145562
1960,11.756257202145562
1962,17.94948593872688
1962,14.79656949101276
1964,14.683965332165812
1965,19.751152480277824
1970,28.7594851880325
1985,30.4
1986,26.5
1991,14.8
1992,10.2
