date,velocity
1967,37.223859489382505
1968,38.424970517083125
1969,40.22663705863407
1970,37.62422983194938
1971,36.1228410473236
1972,36.82348914681563
1973,33.62052640628063
1974,34.32117450577267
1975,33.420341234997196
1976,33.420341234997196
1977,32.61960054986345
1978,39.92635930170891
1979,47.93376615304639
1980,50.53617337973107
1981,49.33506235203045
1982,45.53154409764514
1983,43.62978497045249
1984,43.52969238481078
1985,39.626081544783744
1986,38.825340859650005
1987,36.1228410473236
1988,36.22293363296532
1989,30.217378494462203
1990,29.1163600524033
1991,29.21645263804502
1994,25.412934383659717
1996,23.51117525646707
1997,22.610341985691598
1998,20.908768029782387
1999,20.608490272857225
2000,19.007008902589725
2001,18.306360803097697
2002,18.106175631814267
2003,15.503768405129577
2004,13.902287034862084
2005,11.500064979460845
2006,11.199787222535676
2007,10.198861366118493
2008,9.19793550970131
2009,7.696546725075535
2010,6.895806039941789
2011,5.99497276916631
2012,4.994046912749127
2013,4.493583984540535
2014,4.493583984540535
2015,4.293398813257099
2016,4.393491398898817
2017,3.993121056331958
2018,4.1933062276153805
2019,3.5927507137650707
2020,2.291547100422733
