date,velocity
1976,101.05760112497204
1977,108.68668246607106
1978,104.86667952035798
1979,114.36803232723076
1980,119.23178018555245
1981,132.98611121072213
1982,135.7745631348783
1983,137.5331732275243
1984,128.08843084719553
1985,131.82672298536664
1986,133.58865216121495
1987,129.00035294810286
1988,126.36991101089615
1989,125.50513671432982
1990,124.7611041560211
1991,118.34501410607493
1992,111.20305254927781
1993,114.49852947904944
1994,109.46798378952444
1995,101.3207500188069
1996,
1997,106.52584958129246
1998,96.24560692921236
1999,99.31232157572428
2000,95.71203796291421
2001,95.31047959010917
2002,95.94857142857143
2003,91.6796867866433
2004,87.50021545118543
2005,
2006,
2007,74.43069677211425
2008,72.19267262192179
2009,
2010,65.74885146986598
2011,
2012,
2013,
2014,59.61124717917858
2015,
2016,53.571308232291
2017,52.231799566369546
2018,48.84857756307031
2019,48.18554108216432
2020,47.53193611858071
2021,46.42929176713745
2022,45.00152089346217
