date,altitude
1949,2556.1
1952,2557.6
1959,2555.7
1969,2562.5
1970,2562.9
1971,2561.6
1972,2562.6
1973,2560.4
1975,2559.2
1977,2558.0
1978,2559.8
1979,2560.7
1980,2562.4
1981,2563.8
1982,2563.7
1983,2565.4
1984,2565.1
1985,2565.5
1986,2563.4
1987,2564.4
1988,2564.2
1989,2563.5
1990,2561.7
1991,2559.6
1992,2558.5
1993,2557.0
1994,2555.6
1995,2556.7
1996,2556.5
1997,2556.2
1998,2553.9
1999,2553.0
2000,2551.6
2001,2552.3
2002,2551.3
2003,2549.1
2004,2548.0
2005,2546.1
2006,2543.9
2007,2542.1
2008,2540.5
2009,2538.1
2010,2537.8
2011,2535.9
2012,2534.2
2013,2533.1
2014,2532.5
2015,2529.6
2016,2529.3
2017,2527.0
2018,2525.4
2019,2523.0
2020,2521.1
2021,2520.7
2022,2517.0
