date,velocity
1966.0,85.31
1967.0,83.64
1968.0,88.8
1969.0,93.46
1970.0,94.45
1971.0,89.13
1972.0,88.3
1973.0,81.81
1974.0,84.31
1975.0,85.31
1976.0,84.14
1977.0,89.96
1978.0,100.28
1979.0,107.26
1980.0,111.92
1981.0,117.07
1982.0,106.26
1983.0,97.45
1984.0,94.62
1985.0,88.97
1986.0,86.64
1987.0,84.81
1989.0,85.64
1990.0,76.16
1991.0,68.01
1992.0,56.87
1993.0,56.7
1994.0,56.87
1995.0,56.87
1996.0,60.19
1997.0,60.03
1998.0,55.87
1999.0,54.87
2000.0,52.87
2001.0,52.71
2002.0,53.21
2003.0,42.56
2004.0,37.9
2005.0,32.58
2006.0,34.91
2007.0,36.74
2008.0,35.41
2009.0,30.75
2010.0,27.43
2011.0,28.26
2012.0,23.43
2013.0,23.1
2014.0,23.27
2015.0,21.94
2016.0,19.11
2017.0,18.78
2018.0,18.61
2019.0,15.12
2020.0,12.29
