vel_fit,tau_fit
2.0,0.046415888336127795
2.060512099499496,0.04687936544445421
2.1210241989989917,0.04733385498691463
2.1815362984984876,0.04777978039404881
2.2420483979979835,0.04821753405276679
2.3025604974974794,0.048647480352287824
2.3630725969969752,0.049069958359595336
2.423584696496471,0.04948528417774102
2.484096795995967,0.049893753031521604
2.544608895495463,0.05
2.6051209949949587,0.05
2.6656330944944546,0.05
2.7261451939939505,0.05
2.7866572934934464,0.05
2.847169392992942,0.05
2.9076814924924377,0.05
2.9681935919919336,0.05
3.0287056914914294,0.05
3.0892177909909253,0.05
3.149729890490421,0.05
3.210241989989917,0.05
3.270754089489413,0.05
3.331266188988909,0.05
3.3917782884884047,0.05
3.4522903879879006,0.05
3.5128024874873964,0.05
3.5733145869868923,0.05
3.6338266864863877,0.05
3.6943387859858836,0.05
3.7548508854853795,0.05
3.8153629849848754,0.05
3.8758750844843712,0.05
3.936387183983867,0.05
3.996899283483363,0.05
4.057411382982859,0.05
4.117923482482355,0.05
4.178435581981851,0.05
4.2389476814813465,0.05
4.299459780980842,0.05
4.359971880480338,0.05
4.420483979979834,0.05
4.48099607947933,0.05
4.541508178978826,0.05
4.602020278478322,0.05
4.662532377977818,0.05
4.7230444774773135,0.05
4.783556576976809,0.05
4.844068676476305,0.05
4.904580775975801,0.05
4.965092875475297,0.05
5.025604974974793,0.05
5.086117074474289,0.05
5.146629173973785,0.05
5.2071412734732805,0.05
5.2676533729727755,0.05
5.328165472472271,0.05
5.388677571971767,0.05
5.449189671471263,0.05
5.509701770970759,0.05
5.570213870470255,0.05
5.630725969969751,0.05
5.691238069469247,0.05
5.7517501689687425,0.05
5.812262268468238,0.05
5.872774367967734,0.05
5.93328646746723,0.05
5.993798566966726,0.05
6.054310666466222,0.05
6.114822765965718,0.05
6.175334865465214,0.05
6.2358469649647095,0.05
6.296359064464205,0.05
6.356871163963701,0.05
6.417383263463197,0.05
6.477895362962693,0.05
6.538407462462189,0.05
6.598919561961685,0.05
6.659431661461181,0.05
6.7199437609606765,0.05
6.780455860460172,0.05
6.840967959959668,0.05
6.901480059459164,0.05
6.96199215895866,0.05
7.022504258458156,0.05
7.083016357957652,0.05
7.143528457457148,0.05
7.2040405569566435,0.05
7.264552656456139,0.05
7.325064755955635,0.05
7.385576855455131,0.05
7.446088954954627,0.05
7.506601054454123,0.05
7.567113153953619,0.05
7.627625253453115,0.05
7.6881373529526105,0.05
7.748649452452106,0.05
7.809161551951602,0.05
7.869673651451098,0.05
7.930185750950594,0.05
7.99069785045009,0.05
