dist,z_bed,z_surf_1904,z_surf_1925,z_surf_1952,z_surf_1967,z_surf_1981
2513.272026195694,2851.578710562792,3016.6531332271334,3014.0805771262008,3012.457798517617,3010.7613802878222,3016.72268951364
2549.6973446028555,2842.8502614094177,3011.9909770497948,3008.7913840867136,3007.8372552263163,3005.957194286777,3011.1480839702353
2586.0631252257144,2832.6438218627036,3007.374025193647,3003.2738561758742,3001.6543727531916,3001.0852601562847,3006.842569790786
2622.551049263896,2827.060971342089,3002.833051073353,2998.148588444671,2996.9171294497037,2995.527860666015,3001.15576037757
2659.3623755349086,2827.823199508431,2997.593460147803,2993.5533659291264,2991.3204104606593,2990.135256121579,2995.726079022379
2696.7150190057964,2829.0066160544975,2991.4796534812513,2988.003317659047,2987.0037848282645,2986.5623881388456,2990.6798649582006
2734.839843972303,2828.108006620865,2985.188017260206,2982.2118433043283,2980.0400217273605,2979.924425169974,2985.6364762077033
2773.9764772773838,2824.3945458916332,2978.116151796795,2977.224498144161,2973.73516196004,2970.0095372308037,2976.959423163198
2814.369015934829,2817.019778406621,2969.0242194815205,2966.835774179102,2961.8957131466705,2964.904643090844,2967.2743422264266
2856.261997317597,2805.5479592007396,2960.391571193171,2957.315879745478,2953.1046717402687,2954.207623464784,2959.1313233824876
2899.8969248292947,2790.581536069273,2951.0351072711487,2948.6971396244735,2943.400205797961,2944.085013471083,2944.6073068056426
2945.509525520298,2773.305081313066,2940.7464331074016,2938.8818057860935,2933.6916338435367,2932.4708326958216,2938.953946062146
2993.327793799974,2756.038364154303,2930.6179685839584,2930.3859738794135,2923.4188084485622,2924.862385057674,2931.631231368411
3043.5702284430395,2741.681146028109,2919.304024139492,2924.052974282387,2916.7775570282874,2917.642405610256,2919.6054643425405
3096.3761089067402,2753.676591041629,2907.186574671264,2914.18150569558,2904.5527081102728,2909.8071068977197,2913.5535471893345
3151.7255342196163,2764.1580427522213,2894.509338880761,2898.7031910957407,2894.296928563772,2888.276057955869,2891.554428277458
3209.552020268506,2766.2796305905795,2881.9684964190646,2877.2332645514534,2874.673428665224,2875.244822571118,2884.60629943729
3269.7644121251674,2757.1127334730954,2870.160357758604,2851.997703070928,2838.625061902612,2849.893861873671,2856.136503357271
3332.2523149433,2747.5124758049215,2857.059234437906,2828.582386786535,2825.41500319051,2819.4057231781503,2834.3279992380394
3396.890230666348,2735.978094935962,2841.174785011832,2807.3587743767057,2800.028384334928,2807.6093846376084,2810.1392027970264
3463.5407260032125,2710.7681400472525,2819.738060092169,2782.6855052451456,2771.4014332774373,2771.541616395055,2781.925026013768
3532.05687710902,2680.212598664987,2789.2805341228504,2744.1300077969054,2733.326586593526,2727.876506373814,2732.7902386620526
3602.2841734801414,2650.2921996227237,2753.9840581353883,2719.2713681486716,2701.267049116726,2696.9431705849156,2701.8817815018965
3674.062016122259,2601.82438590963,2719.1961392953,2672.105437837875,2653.890322520082,2650.2739767119747,2660.651129702328
3747.2249100317354,2512.061504527608,2688.5672287174684,2627.128068555869,2612.474002856251,2609.590451231319,2619.845173583947
3821.6034254464735,2472.144298659852,2640.381141084916,2596.9391291273155,2578.3973542748245,2572.190919079551,2583.196584970334
3897.0249837195256,2460.9234104421976,2606.089018931097,2581.084238761947,2555.9589864952127,2550.858817797394,2564.320545878671
3973.2870519183152,2454.664253805891,2584.912424121607,2567.274847585708,2544.120941164233,2538.6705176189957,2551.139808002048
4049.552667935272,2454.7575410268983,2563.3622380046304,2549.3159634087133,2525.4559365897317,2521.891186676636,2534.665115688519
4124.356189419112,2415.7601381077866,2543.5354942490503,2521.593213905711,2493.058148711404,2486.107284841312,2498.170203798797
4196.232009766217,2393.157362352354,2523.6910461290086,2498.568198150537,2469.045816040919,2454.7062887180787,2469.502839530824
4263.779061098035,2363.44783911376,2503.3743033249393,2478.1850795437927,2452.2757776505327,2438.5647854422045,2447.9225931386263
4326.303150437799,2330.5720669668704,2483.931941700419,2463.4382845765267,2434.220699580641,2417.716557897861,2429.3189834076893
4385.361002039579,2317.5833603060914,2463.899086711035,2448.006066293793,2418.9605140090052,2393.0424302827887,2408.3594068185157
4442.897252581316,2308.5711471532104,2448.3869710108643,2436.383349750964,2406.6334485749708,2378.1134754193654,2392.27781177891
4500.769787812865,2298.897962699188,2435.722028962992,2426.052398906983,2393.993315774002,2359.491274886907,2377.8741897473224
4560.856768458134,2289.898516664768,2425.1316397605556,2417.6886357162775,2380.8842198660095,2339.792225498739,2359.328686941051
4625.154736745667,2278.7106205148048,2414.655931504332,2406.2131125792685,2367.8373807604175,2309.3902355959594,2337.3038649414534
4695.231776212382,2272.5797957761256,2403.930552206887,2392.3900181548775,2355.5205098382867,2272.893255293792,2301.4480293365527
4770.642754845359,2267.4270294841826,2388.9438650769052,2374.105637424518,2338.282884724774,,
4850.406688766267,2262.5209977954355,2368.008963341823,2344.229718613932,2317.3892879752766,,
4933.477540764595,2259.554291118026,2338.5424526164943,2323.010930005532,2270.8615562990644,,
5018.770767676387,2221.587700273392,2288.8329532717567,2297.3767586445792,,,
5105.180100400503,2207.5285000000003,2237.220830995705,2247.3890511715467,,,
