dist,z_bed,z_surf_1904,z_surf_1949,z_surf_1952,z_surf_1979,z_surf_1998,z_surf_2003,z_surf_2008,z_surf_2011,z_surf_2015,z_surf_2019
0.0,2370.0652793128033,2750.6196347090076,2728.148070109589,2729.445502495874,2730.798577165552,2730.883387696547,2725.520751390468,2718.4808227582707,2713.0476559582785,2707.952319646784,2703.25048428725
54.07573439623775,2363.4757962892936,2743.8387161227206,2723.658937637154,2725.6880297168163,2726.455314713987,2725.5099560351837,2721.9841097504423,2714.191500681584,2708.997104825345,2703.517992204768,2699.207531197361
108.17031312385097,2358.9842525065515,2738.497320743196,2719.271566313732,2721.488024583704,2722.014218446333,2720.7014811400145,2718.12722597818,2710.040328190431,2705.0156729873815,2698.8102952253307,2694.4258286863983
162.3026183087677,2349.269169653634,2734.3127192277757,2714.307833606684,2716.9882317643473,2718.0737174256437,2716.0373822547026,2712.4896910366015,2705.477752001597,2701.382116711877,2693.805994080969,2689.5039282484563
216.4916074684088,2331.508393260129,2729.6676169119255,2709.620418116701,2712.1003497742595,2714.7435652455765,2711.498236936737,2708.2879617800572,2700.8034781988254,2698.043725450836,2688.7462907496897,2684.213874865225
270.7563507155992,2307.4594733247245,2724.147003053263,2705.190526093196,2707.3535172385523,2710.6954915123574,2706.973197957382,2703.1517526698935,2696.012195719208,2694.05573032941,2683.861122533818,2679.1178841963583
325.11606737283364,2282.253591900676,2719.1334517359765,2700.5841285866154,2702.956547718112,2706.0607330318257,2702.5455885545384,2698.3789289588412,2691.2877635485356,2689.2347170069406,2679.3930802626815,2674.58819789818
379.59016180846993,2261.1553591829374,2715.7327629382785,2696.134381563681,2698.9217676208573,2701.5624595090158,2698.2473787718295,2693.4659551796294,2686.8356660102163,2683.9772856650793,2675.2349049321338,2670.6176450271796
434.1982583055815,2251.4525170490338,2712.3499728559004,2692.5807462423736,2695.2625486237926,2697.8471632699016,2694.316265423668,2689.8736435297074,2682.8155655320447,2679.0539349339206,2671.432334922026,2666.636339903241
488.960234782463,2252.7140131652995,2709.0586162634545,2689.4502470391326,2691.6939134443373,2694.616484624935,2690.9992789346043,2686.284635302258,2679.2693325343757,2675.132833358485,2668.0706094379975,2663.475019699934
543.8962551892091,2257.805792545988,2705.784020936407,2685.6848025296536,2688.2197242270267,2691.1066466120283,2687.8518004475313,2683.058205842072,2675.9911089103243,2672.1727623680385,2664.907000609417,2660.907647053221
599.0268004125301,2262.0610723750797,2702.4346834825174,2682.2076458054325,2685.403710147785,2687.3405157328075,2684.6950744895994,2681.115416532549,2672.713115444356,2669.207402690128,2661.632597748441,2658.141526866395
654.3726975299487,2262.8872984498303,2699.056924576739,2679.123431798844,2682.73081937595,2683.649256599966,2681.9327653770847,2677.146156015432,2669.442065620001,2665.7492538993547,2658.2245875238627,2655.169052747994
709.9551472654048,2260.655690839027,2695.7929243420353,2676.037975584765,2679.6661035024154,2680.433374193528,2679.711884780244,2674.5949890444112,2666.0946870391053,2661.7107219152776,2654.8660174732536,2652.14264887844
765.795749506965,2258.350865816911,2692.571236222222,2672.9533417528764,2676.279965933836,2677.449989552681,2676.983940889736,2671.3729205446866,2662.587745421832,2657.7988143024313,2651.676848862177,2648.708664093575
821.9165267652661,2257.974017789211,2689.255349775557,2669.498279020027,2672.9677078986397,2674.4994489869177,2673.2169832953427,2667.780635895876,2659.0908797560596,2654.687806253297,2648.5815907925653,2644.584312273577
878.3399454598502,2258.4632198776244,2685.723663052753,2665.882049242445,2669.757532667448,2671.5468406412274,2669.1973437103593,2663.9768569578873,2655.4392122581403,2651.994892766553,2645.4217976655564,2640.77438997961
935.0889349395047,2259.5773853319847,2682.269534324615,2662.72039076111,2666.433935392944,2668.5002010269945,2665.2311691303157,2660.815568733802,2651.7565902793117,2649.104418340568,2642.1305221979687,2637.599893638935
992.1869041572718,2263.425743373553,2680.2032323280473,2659.4512293808043,2663.428233345561,2665.3146636273646,2662.3044788489046,2657.534255060685,2648.453334298438,2646.236612986195,2638.8943095801314,2634.847534105577
1049.657755939188,2277.9937605843156,2677.7071712624843,2656.571200397404,2660.773666438457,2661.9671577823556,2659.680925508626,2655.7347880039324,2645.517927533684,2643.1258181230705,2635.7624255335822,2631.9603521507656
1107.525898802889,2300.8730129037885,2673.566802208474,2653.224391259112,2658.460959877224,2658.0219829737625,2656.830563378423,2652.3016881341246,2642.4432810511234,2639.0622325893946,2632.322299199646,2629.020306095917
1165.8162563029719,2322.078568814133,2670.0040290181514,2649.1188606732976,2655.151496623522,2652.8083927310718,2652.7082537777023,2649.394896738248,2638.548385996826,2634.415572458999,2627.998822681895,2624.315169990856
1224.5542738955828,2337.744145994522,2666.490078139933,2643.6477961460046,2649.5762375391396,2646.0286455643527,2646.9387098209336,2643.645255393186,2633.192490868441,2628.9775132140394,2622.095015338795,2618.030172979353
1283.7659233395962,2345.841495966897,2661.6792816485777,2636.1815971123315,2641.8239532475463,2637.587954329232,2639.4806974888434,2635.4046912656863,2625.692336483933,2621.938461373302,2614.3972546022032,2609.6917367864007
1343.477704665892,2344.409048835708,2652.854225678557,2626.4923685014332,2632.3714332053187,2627.431902445674,2630.0482990503406,2626.3709085282608,2616.130072364124,2612.9947790497645,2604.8950499747407,2598.7502744871113
1403.7166457686153,2331.754489940652,2641.1976422473326,2615.392615625042,2621.111319723267,2616.052477047938,2619.1759139221112,2614.2699445509147,2605.064062495504,2602.99089868162,2594.048418388856,2587.1761016080554
1464.5102996892174,2306.780526871539,2631.1041701235727,2604.195968894136,2608.81241854261,2605.109393549713,2607.5379194375737,2602.133319303229,2593.8228022807334,2591.83969321301,2582.7633904241593,2576.1026971163647
1525.886739682218,2269.543557153625,2621.3935475125263,2594.4929073950925,2596.675130284011,2596.5088160996484,2596.637327547458,2590.22710411776,2583.5063090401145,2580.9503241398384,2572.4798088813786,2565.257776201361
1587.8745521685078,2222.725710542251,2615.3888760338255,2586.935805798269,2587.1113945200536,2590.2838932795994,2588.168629595514,2582.007065382877,2574.9846406797633,2571.4801943580155,2564.205756008837,2556.7761444503694
1650.5028276940302,2175.130984092202,2609.9479065386186,2579.8544961554744,2580.222569143323,2584.6511520150984,2581.502882582324,2576.294043531684,2568.7926488810494,2564.4361642291296,2557.913327889837,2551.0954158977925
1713.80115003007,2141.9158925316206,2604.6719280594084,2575.038036007761,2574.8622840476364,2579.4776388359637,2576.3915779417375,2571.3584021671436,2563.968520408168,2558.733007977907,2553.092140561774,2546.9861171327266
1777.7995835578467,2133.1142129432797,2599.3636307727365,2570.6261929834864,2570.5235637542974,2575.6532271251,2571.902304702725,2567.4941839863473,2559.7879597402525,2554.5894174345794,2549.020944652998,2543.681845707347
1842.5286590920823,2144.1178342196645,2593.854432458526,2567.357367017975,2566.5767584321147,2573.0193682919703,2568.071552643022,2564.5870244958287,2555.530529904359,2551.3503118353015,2545.06896345205,2540.300624290813
1908.019358305005,2153.3009437715336,2588.172402517426,2564.090965810496,2563.164559330993,2570.7938857392933,2564.3721042741045,2559.4633473319336,2551.506748078122,2547.9209431517843,2541.00647048542,2536.4492565146593
1974.3030969174238,2150.4174725941075,2582.4101389477,2560.3537568065076,2560.5007603371405,2568.6666336347803,2560.769553712849,2555.260601430822,2548.204387381167,2544.0078988717933,2536.9113295587986,2532.2156318965935
2041.4117068260048,2135.693170905632,2577.5645713181107,2557.460825752824,2558.3848516251874,2566.2560169898616,2556.925777716656,2552.6623537813084,2544.918397262143,2539.8437988223623,2532.9777922653598,2528.143451463391
2109.3774173383304,2117.709604802815,2573.513023826276,2554.4703575603935,2556.082299935929,2563.1423236136225,2553.472218553798,2548.522296022646,2541.443843972411,2535.97937443966,2529.0821917188723,2523.9420070453475
2178.2299610120963,2116.2893415231956,2569.476084611064,2551.02853472404,2553.4758565617094,2559.4709564254326,2550.26968841049,2544.429667875318,2537.9119101788788,2532.919156952873,2524.7146797705564,2518.8608540085065
2247.914278258071,2146.3242024674923,2565.3846925924895,2548.2701042350873,2550.5839595530433,2554.8739567065586,2546.5980455673644,2540.808754976545,2534.0318986905795,2529.4183577414824,2519.9811185399576,2513.6015634000996
2318.2761905982916,2186.9234522091647,2561.2943514689146,2544.611809884455,2546.998478267784,2549.9818175138116,2542.4310907975164,2536.782632280905,2529.8631834923517,2524.3245958170464,2515.772799058367,2509.3414324906003
2389.153081668984,2226.6435056893097,2556.5440678191558,2540.829177899647,2542.2399731714554,2545.160473073906,2538.3908206898213,2532.1819335480704,2525.5829008471464,2518.3706966277614,2512.3031321851145,2505.399016707746
2460.379990693946,2259.8160063220257,2551.336049047392,2536.0175910374705,2536.764365282198,2540.0235342631904,2534.3448279865465,2527.7201997220873,2521.3980411346456,2513.397608355051,2509.7516511790245,2502.241412269889
2531.790417114411,2284.9938572928872,2545.871132361348,2531.417819419128,2531.470242063281,2534.628250603193,2530.064310815344,2524.254563529322,2517.3135627041574,2509.7217630481173,2505.9627879464715,2499.321263662958
2603.2170698643818,2302.7847895752047,2540.420045664495,2527.5289823285375,2526.1243999464714,2528.5690723077137,2525.8880553220306,2518.7934403374466,2512.8394277232333,2505.2324528795025,2500.342197520897,2498.075866618367
2674.4925885291746,2314.0463052913974,2531.366916181138,2522.5976365150377,2519.8796561530958,2521.878006337998,2520.8054674639916,2513.0627405791206,2505.5302611380057,2497.5356661350525,2493.047581777708,2489.065296441023
2745.4502620497883,2318.818816369291,2523.105586006014,2515.9875565630286,2512.7284319041282,2513.780379591738,2512.971789137301,2504.338180773632,2496.0774647087487,2489.7105084200657,2484.3697585408745,2477.4321642039986
2815.924770490085,2312.0889879511687,2514.2430548027687,2505.571845982912,2503.3313477274796,2500.8964127909408,2502.0532115245032,2491.7370616224416,2485.442147955313,2481.956004779184,2472.3103524298613,2468.0640627555476
2885.7529766861862,2295.1198722934214,2504.930082764021,2489.964052667426,2488.812897689626,2485.2400918070407,2486.1041169423293,2479.015468327224,2470.445198355871,2471.1547370388435,2457.0329734952093,2452.4381526012876
2954.7747974153035,2272.5152979316845,2491.1094506218715,2473.1319955928484,2472.8530724966618,2469.135148003445,2466.411842158879,2459.388552669833,2452.489832671221,2455.6703473953694,2439.2594813698574,2432.621147731876
3022.834188250243,2243.039531686091,2472.9641850600433,2455.5271740736043,2456.0194457061853,2451.2648615764047,2448.401711714349,2441.595031434606,2435.788589040265,2436.8251251276884,2422.0238248448036,2414.998535726171
3089.7802827896207,2208.924892876957,2460.0944011682386,2439.035091441274,2439.6344194764392,2437.10541720532,2434.1358500457914,2429.169817459947,2422.498599961042,2419.5573543661494,2408.2813463482407,2401.5673306584367
3155.4687358613455,2175.3788306516594,2445.633867779018,2425.7652426921263,2427.2608900770165,2429.4928045070897,2422.376675531666,2416.268482765872,2412.0198382904473,2406.870422802038,2398.739767119091,2392.4843891396727
3219.763332047792,2150.510465623727,2436.017302170897,2417.454843293462,2418.4316399025843,2424.6886508903353,2413.450732012941,2406.394779990204,2404.0963825440267,2397.9173024069814,2391.5791527297793,2385.4202017859748
3282.537935973115,2132.584350311151,2429.399401516884,2410.776751377648,2411.775330031907,2419.8782476911065,2407.327835576545,2400.7120462484822,2397.8884379415877,2391.6813836357896,2385.7737584685956,2380.686747226322
