dist,z_bed,z_surf_1934,z_surf_1983,z_surf_1998,z_surf_2003,z_surf_2008,z_surf_2017
4989.519629960643,2488.0301006703658,2680.584387381336,2676.8417318297006,2669.806200962884,2665.722753699688,2656.3422433639626,2637.3565673440085
5059.169966244904,2471.0418936760398,2675.941126726347,2670.085471497279,2664.638620642443,2660.532632804073,2651.1869427207303,2631.5586124414253
5130.7926363591505,2460.5474166938347,2674.0613936249288,2666.736116570128,2660.7039906286236,2657.6830919817717,2648.2467210870263,2626.7218275500345
5204.660667886471,2457.075617350454,2672.699079223584,2664.204971432866,2658.6093897606966,2654.2646431350367,2644.4434779569324,2623.100014155158
5280.88219267492,2455.0133637416347,2670.5869622803557,2662.77435189761,2655.6650234915583,2651.423335200831,2641.0872511009,2620.6969970247833
5359.259925082058,2450.917452780086,2668.5210252407865,2661.9920804193716,2653.3428059442604,2649.3005944061088,2638.219709508144,2616.35959866902
5439.51991754745,2454.0427651358887,2666.0876281059404,2660.891911067786,2651.4808787409897,2646.779784373267,2635.2390592180827,2611.833561257524
5521.347562571187,2459.312509130097,2663.3630946177045,2659.8029236597167,2647.599256798346,2642.978130097854,2630.6494411246003,2605.795865532008
5604.398575046663,2460.2647801513567,2660.6740114095833,2655.562223526969,2642.088833765366,2636.829849227901,2623.6825339349493,2598.4503973693836
5688.307802943175,2452.404292342286,2655.905870197719,2650.285101976721,2635.5588498243237,2630.2653574312008,2616.2287505144936,2589.872413923874
5772.696533134905,2454.765012327579,2652.96,2645.8900000000003,2630.25,2625.5,2610.9,2584.0749824176246
5857.178834996472,2476.0356119987728,2650.988824072461,2642.051028559275,2626.3739963835496,2622.095510053318,2606.921672653108,2579.1104424667524
5941.3673983004155,2496.592279866277,2638.505256181078,2633.2388954146786,2619.3983367071146,2611.7753152650025,2597.979380449418,2570.4715149228964
6024.879275021659,2493.1667308927044,2621.1993213604874,2614.602323175968,2600.322180879867,2593.358229701706,2577.7345128160678,2549.4832982665275
6107.341925618384,2475.7027137732894,2599.2182205906934,2593.9494915340856,2577.40848474453,2571.1383628305157,2555.0154563797605,2525.373980743602
6188.399998861674,2454.5677989204323,2579.388397238162,2576.299160276184,2558.041107169115,2552.3239442730737,2534.866654204027,2498.885736192467
