date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed,obs_tau_b_reglin,obs_u_def_reglin
1905.0,98.01893274336283,4.230525245487383,7.048340295888085,0.10202396238354461,0.07547084982453375,0.011520854674941438,2.817815050400702,0.08644615638850028,0.1282483626536912,0.14406830690702535,0.05259968394437421,0.08835897597977245,-0.010574035387242062,0.8736977243994943,0.005407891659634374,0.08699170449947519,,2806.0,130.71000000000004,0.07547084982453375,2.817815050400702,,0.08195441258881364,3.3954817831425608
1906.0,,,,,,,,,,,,,,,,,,2804.0,128.71000000000004,0.07663869673085985,2.942133196929165,,0.08133763949955114,3.254711658749488
1907.0,,,,,,,,,,,,,,,,,,2802.0,126.71000000000004,0.07780654363718595,3.066451343457628,,0.08072086641028861,3.120353004318482
1908.0,91.51993344571814,4.9614577428301,8.152227232816191,0.09463153244719248,0.07897439054351205,0.015458946926151554,3.1907694899860912,0.09100281158235984,0.1212728152602031,0.14406830690702535,0.06981685772083614,0.08522656776803776,-0.012137961475531412,0.816932501685772,0.012134337066655142,0.0944333374696636,,2800.0,124.71000000000004,0.07897439054351205,3.1907694899860912,,0.0801040933210261,2.992208122680311
1909.0,,,,,,,,,,,,,,,,,,2799.6,124.30999999999995,0.0788261370963833,3.1610184044977254,,0.07998073870317357,2.967307619697623
1910.0,,,,,,,,,,,,,,,,,,2799.2,123.90999999999985,0.07867788364925454,3.13126731900936,,0.07985738408532103,2.942646331725747
1911.0,,,,,,,,,,,,,,,,,,2798.8,123.51000000000022,0.07852963020212578,3.1015162335209943,,0.07973402946746863,2.91822272177023
1912.0,,,,,,,,,,,,,,,,,,2798.5,123.21000000000004,0.07838137675499703,3.0717651480326285,,0.0796415135040792,2.9000600686972238
1913.0,,,,,,,,,,,,,,,,,,2798.1,122.80999999999995,0.07823312330786827,3.042014062544263,,0.07951815888622668,2.8760487117769404
1914.0,,,,,,,,,,,,,,,,,,2797.7,122.40999999999985,0.07808486986073951,3.0122629770558973,,0.07939480426837414,2.85227083168043
1915.0,,,,,,,,,,,,,,,,,,2797.3,122.01000000000022,0.07793661641361076,2.982511891567532,,0.07927144965052174,2.8287249099894334
1916.0,,,,,,,,,,,,,,,,,,2796.9,121.61000000000013,0.077788362966482,2.952760806079166,,0.07914809503266922,2.8054094332392623
1917.0,,,,,,,,,,,,,,,,,,2796.5,121.21000000000004,0.07764010951935325,2.9230097205908003,,0.07902474041481669,2.7823228929189616
1918.0,,,,,,,,,,,,,,,,,,2796.1,120.80999999999995,0.0774918560722245,2.893258635102435,,0.07890138579696415,2.759463785471203
1919.0,,,,,,,,,,,,,,,,,,2795.8,120.51000000000022,0.07734360262509574,2.863507549614069,,0.07880886983357487,2.7424678060179883
1920.0,,,,,,,,,,,,,,,,,,2795.4,120.11000000000013,0.07719534917796698,2.8337564641257034,,0.07868551521572234,2.7200031030620107
1921.0,,,,,,,,,,,,,,,,,,2795.0,119.71000000000004,0.07704709573083823,2.804005378637338,,0.0785621605978698,2.697761723738189
1922.0,,,,,,,,,,,,,,,,,,2794.6,119.30999999999995,0.07689884228370947,2.774254293148972,,0.07843880598001726,2.67574218306539
