date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed,obs_tau_b_reglin,obs_u_def_reglin
1905.0,124.35502807017542,1.9798955192165613,6.992255248866661,0.1620483888823654,0.10295612637919276,0.07039139877860637,5.0123597296500995,0.12456723030586116,0.15152809582672158,0.1306252769324651,0.11604298245614035,0.08432456140350875,-0.020576605433210216,1.1008587719298244,0.06448546554186028,0.1733475251577991,,2851.0,130.51000000000022,0.10295612637919276,5.0123597296500995,,0.11096595832098637,5.9131002322292305
1906.0,,,,,,,,,,,,,,,,,,2846.0,125.51000000000022,0.10275357640587032,4.9743570456269435,,0.10821227036258917,5.284556008310637
1907.0,,,,,,,,,,,,,,,,,,2841.0,120.51000000000022,0.10255102643254789,4.936354361603787,,0.10545858240419197,4.726806576355367
1908.0,,,,,,,,,,,,,,,,,,2836.0,115.51000000000022,0.10234847645922547,4.898351677580631,,0.10270489444579475,4.234325181376001
1909.0,,,,,,,,,,,,,,,,,,2835.8,115.3100000000004,0.10214592648590304,4.860348993557475,,0.10259474692745897,4.215907745148256
1910.0,,,,,,,,,,,,,,,,,,2835.5,115.01000000000022,0.1019433765125806,4.822346309534318,,0.10242952564995504,4.1884607067368425
1911.0,,,,,,,,,,,,,,,,,,2835.3,114.8100000000004,0.10174082653925817,4.784343625511162,,0.10231937813161925,4.17028160883717
1912.0,,,,,,,,,,,,,,,,,,2835.1,114.61000000000013,0.10153827656593574,4.746340941488006,,0.10220923061328321,4.152197267528792
1913.0,,,,,,,,,,,,,,,,,,2834.9,114.41000000000031,0.1013357265926133,4.708338257464849,,0.10209908309494742,4.134207352965925
1914.0,,,,,,,,,,,,,,,,,,2834.6,114.11000000000013,0.10113317661929089,4.670335573441693,,0.10193386181744349,4.107398811146775
1915.0,,,,,,,,,,,,,,,,,,2834.4,113.91000000000031,0.10093062664596845,4.632332889418537,,0.1018237142991077,4.089643524145972
1916.0,,,,,,,,,,,,,,,,,,2834.2,113.71000000000004,0.10072807667264602,4.59433020539538,,0.10171356678077166,4.071981513958938
1917.0,,,,,,,,,,,,,,,,,,2834.0,113.51000000000022,0.10052552669932359,4.556327521372224,,0.10160341926243588,4.054412453327812
1918.0,,,,,,,,,,,,,,,,,,2833.7,113.21000000000004,0.10032297672600116,4.518324837349068,,0.10143819798493195,4.028232428336872
1919.0,,,,,,,,,,,,,,,,,,2833.5,113.01000000000022,0.10012042675267872,4.480322153325911,,0.10132805046659615,4.010894313616
1920.0,,,,,,,,,,,,,,,,,,2833.3,112.8100000000004,0.0999178767793563,4.442319469302755,,0.10121790294826036,3.993648007577087
1921.0,,,,,,,,,,,,,,,,,,2833.0,112.51000000000022,0.09971532680603387,4.404316785279599,,0.10105268167075643,3.9679499797389557
1922.0,,,,,,,,,,,,,,,,,,2832.8,112.3100000000004,0.09951277683271144,4.366314101256442,,0.10094253415242065,3.9509317762316645
1923.0,,,,,,,,,,,,,,,,,,2832.6,112.11000000000013,0.099310226859389,4.328311417233286,,0.10083238663408461,3.9340042475773
1924.0,,,,,,,,,,,,,,,,,,2832.4,111.91000000000031,0.09910767688606657,4.29030873321013,,0.10072223911574882,3.91716707111876
1925.0,,,,,,,,,,,,,,,,,,2832.1,111.61000000000013,0.09890512691274414,4.252306049186974,,0.10055701783824489,3.892080012400714
1926.0,,,,,,,,,,,,,,,,,,2831.9,111.41000000000031,0.09870257693942172,4.2143033651638175,,0.10044687031990909,3.875467308580556
1927.0,,,,,,,,,,,,,,,,,,2831.7,111.21000000000004,0.09850002696609929,4.1763006811406616,,0.10033672280157306,3.858943832184904
