date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed,obs_tau_b_reglin,obs_u_def_reglin
1905.0,128.9082815789474,0.6723857197527701,4.340236360258537,0.10504561863902438,0.08602369744411748,0.019993449105480912,3.6678506405057667,0.08644615638850028,0.09034617136906076,0.14406830690702535,0.06568421052631579,0.0617921052631579,-0.008132679785318559,1.1511184210526315,0.018310075150385362,0.10601714654959839,,2806.0,130.71000000000004,0.08602369744411748,3.6678506405057667,,0.09677936914742871,4.295540442027372
1906.0,,,,,,,,,,,,,,,,,,2804.0,128.71000000000004,0.08596813406963205,3.642662016490884,,0.09587039665637333,4.101717153954564
1907.0,,,,,,,,,,,,,,,,,,2802.0,126.71000000000004,0.08591257069514663,3.6174733924760005,,0.09496142416531796,3.9167216778538325
1908.0,,,,,,,,,,,,,,,,,,2800.0,124.71000000000004,0.0858570073206612,3.5922847684611177,,0.09405245167426257,3.7402818088411616
1909.0,,,,,,,,,,,,,,,,,,2799.6,124.30999999999995,0.08580144394617578,3.5670961444462344,,0.09387065717605146,3.7059968539646926
1910.0,,,,,,,,,,,,,,,,,,2799.2,123.90999999999985,0.08574588057169036,3.5419075204313515,,0.09368886267784035,3.6720412689751365
1911.0,,,,,,,,,,,,,,,,,,2798.8,123.51000000000022,0.08569031719720493,3.516718896416468,,0.09350706817962944,3.638412937618636
1912.0,,,,,,,,,,,,,,,,,,2798.5,123.21000000000004,0.08563475382271951,3.4915302724015853,,0.09337072230597104,3.6134051800854676
1913.0,,,,,,,,,,,,,,,,,,2798.1,122.80999999999995,0.08557919044823409,3.466341648386702,,0.09318892780775993,3.5803444708657777
1914.0,,,,,,,,,,,,,,,,,,2797.7,122.40999999999985,0.08552362707374866,3.441153024371819,,0.09300713330954882,3.5476052307494754
1915.0,,,,,,,,,,,,,,,,,,2797.3,122.01000000000022,0.08546806369926324,3.415964400356936,,0.0928253388113379,3.5151853690598562
1916.0,,,,,,,,,,,,,,,,,,2796.9,121.61000000000013,0.08541250032477782,3.390775776342053,,0.0926435443131268,3.4830828019406805
