u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
35.97699611456906,84.69138356546901,0.2032788025078035,0.13190016811317282,0.1023750950511501,48.71438745089995,0.09209035151567091,0.08950668706999079,-0.07714145569620252,0.041258227848101264,-0.007653045552095015,2.2821892405063293,0.037231977508948896,1904.0,0.2342752631643229,,,,,,
17.00210777366007,49.8861844142042,0.16093876139583274,0.11611868043366781,0.10062458292710656,32.88407664054413,0.08134018336180386,0.07417190835760583,-0.06624082278481012,0.01875379746835443,-0.004739551522692677,2.1662686708860757,0.039891466968784074,1949.0,0.21674326336077437,,2398.4,289.0799999999999,0.11907939131284606,32.70006658217417,
20.428979740969762,53.77746172449183,0.18022755518450978,0.11988648518383964,0.08162801599935546,33.34848198352206,0.08421547883024798,0.0838688930150694,-0.0698379746835443,0.03480221518987342,-0.006088536890021631,2.162927848101266,0.03156113634834546,1952.0,0.20151450118319508,,,,,,
,,,,,,,,,,,,,1959.0,,,2398.3,288.98,0.11903679534915401,32.643007640483525,
,,,,,,,,,,,,,1969.0,,,2405.1,295.77999999999975,0.12193332088021554,36.66004205894754,
,,,,,,,,,,,,,1970.0,,,2405.2,295.87999999999965,0.12197591684390756,36.7212237650613,
,,,,,,,,,,,,,1971.0,,,2403.2,293.87999999999965,0.12112399757006591,35.50932630749907,
,,,,,,,,,,,,,1972.0,,,2403.3,293.98,0.12116659353375815,35.56933673037388,
,,,,,,,,,,,,,1975.0,,,2401.5,292.17999999999984,0.12039986618730059,34.49848318301457,
,,,,,,,,,,,,,1976.0,,101.05760112497204,2398.9,289.5799999999999,0.11929237113130647,32.98625078694773,68.0713503380243
,,,,,,,,,,,,,1977.0,,108.68668246607106,2400.3,290.98,0.11988871462299566,33.79548984329523,74.89119262277583
,,,,,,,,,,,,,1978.0,,104.86667952035798,2401.5,292.17999999999984,0.12039986618730059,34.49848318301457,70.3681963373434
23.645949650373048,58.228592988571,0.20810440127131255,0.12291232796048251,0.11541293573233198,34.582643338197954,0.10419465580361663,0.09615158510967975,-0.08382341772151898,0.039098101265822784,-0.008555026881108796,2.1902569620253165,0.04609218238400185,1979.0,0.23832526369281448,114.36803232723076,2402.2,292.87999999999965,0.12069803793314508,34.91258279710729,79.45544953012347
,,,,,,,,,,,,,1980.0,,119.23178018555244,2403.6,294.27999999999975,0.12129438142483427,35.74973578906204,83.4820443964904
,,,,,,,,,,,,,1981.0,,132.98611121072213,2403.2,293.87999999999965,0.12112399757006591,35.50932630749907,97.47678490322306
,,,,,,,,,,,,,1982.0,,135.7745631348783,2405.2,295.87999999999965,0.12197591684390756,36.7212237650613,99.053339369817
,,,,,,,,,,,,,1983.0,,137.5331732275243,2405.3,295.98,0.1220185128075998,36.782467536268804,100.75070569125549
,,,,,,,,,,,,,1984.0,,128.08843084719553,2405.4,296.0799999999999,0.12206110877129185,36.843773414529444,91.24465743266609
,,,,,,,,,,,,,1985.0,,131.82672298536664,2405.8,296.48,0.12223149262606021,37.08961883780216,94.73710414756448
,,,,,,,,,,,,,1986.0,,133.58865216121495,,,,,
,,,,,,,,,,,,,1987.0,,129.00035294810286,2404.7,295.37999999999965,0.12176293702544715,36.41593504672355,92.58441790137931
,,,,,,,,,,,,,1988.0,,126.36991101089616,2403.7,294.37999999999965,0.12133697738852632,35.809991544328795,90.55991946656737
,,,,,,,,,,,,,1989.0,,125.50513671432982,2402.8,293.48,0.12095361371529774,35.26989648816608,90.23524022616374
,,,,,,,,,,,,,1990.0,,124.7611041560211,2400.9,291.5799999999999,0.12014429040514812,34.1459015763053,90.6152025797158
,,,,,,,,,,,,,1991.0,,118.34501410607491,2399.9,290.5799999999999,0.1197183307682273,33.5630831005184,84.78193100555652
,,,,,,,,,,,,,1992.0,,111.2030525492778,2398.5,289.17999999999984,0.1191219872765381,32.75718476894425,78.44586778033354
,,,,,,,,,,,,,1993.0,,114.49852947904944,2399.0,289.67999999999984,0.11933496709499851,33.04366581433548,81.45486366471395
,,,,,,,,,,,,,1994.0,,109.46798378952444,2397.2,287.87999999999965,0.11856823974854094,32.0192577465231,77.44872604300133
,,,,,,,,,,,,,1995.0,,101.3207500188069,2397.5,288.17999999999984,0.11869602763961727,32.188664015000676,69.13208600380622
,,,,,,,,,,,,,1996.0,,,2397.0,287.67999999999984,0.11848304782115686,31.906614073450406,
,,,,,,,,,,,,,1997.0,,106.52584958129246,2397.3,287.98,0.11861083571223319,32.07566769400771,74.45018188728474
18.269377321494687,49.347369321742825,0.181188943939442,0.11760049326530736,0.09975763778532978,31.077992000248138,0.08065796690737838,0.08601087076740505,-0.07511550632911393,0.030340189873417724,-0.006562866412634193,2.1249528481012656,0.040798615197927324,1998.0,0.21735813105063714,96.24560692921236,2395.0,285.67999999999984,0.11763112854731521,30.793031571971653,65.4525753572407
,,,,,,,,,,,,,1999.0,,99.31232157572428,2394.8,285.48,0.11754593661993111,30.682951590628413,68.62936998509588
,,,,,,,,,,,,,2000.0,,95.7120379629142,2393.7,284.37999999999965,0.11707738101931806,30.0816341944573,65.63040376845689
,,,,,,,,,,,,,2001.0,,95.31047959010915,2393.5,284.17999999999984,0.11699218909193396,29.973050678447763,65.33742891166139
,,,,,,,,,,,,,2002.0,,95.94857142857144,2393.9,284.5799999999999,0.11716257294670233,30.190447047564824,65.75812438100661
15.588237279981652,42.99660607327146,0.1819498793387851,0.11440503840020204,0.09547398134626905,27.408368793289807,0.09715863947398458,0.08828020880346212,-0.07342025316455697,0.028012974683544304,-0.006175260325368531,2.074720569620253,0.04040577372628248,2003.0,0.2098790197464711,91.6796867866433,2391.1,281.77999999999975,0.11596988596332394,28.68781962981587,62.99186715682743
,,,,,,,,,,,,,2004.0,,87.50021545118543,2389.5,280.17999999999984,0.11528835054425066,27.84904621231599,59.651169238869436
,,,,,,,,,,,,,2005.0,,,2387.6,278.27999999999975,0.11447902723410104,26.87149439490574,
,,,,,,,,,,,,,2006.0,,,2385.2,275.87999999999965,0.11345672410549101,25.66498736991207,
,,,,,,,,,,,,,2007.0,,74.43069677211425,2384.1,274.77999999999975,0.11298816850487814,25.122424645669653,49.30827212644459
14.067136564065587,37.64760119336242,0.18056860260233412,0.11246976496430686,0.08836963335539924,23.580464629296834,0.08373061156513727,0.09069770077929694,-0.07696424050632912,0.03633512658227848,-0.007243735740466271,2.0121677215189875,0.03940103507030809,2008.0,0.2008393983197061,72.19267262192179,2382.7,273.37999999999965,0.11239182501318895,24.441251001493747,47.75142162042804
,,,,,,,,,,,,,2009.0,,,2379.4,270.0799999999999,0.11098615821135033,22.87652734090495,
,,,,,,,,,,,,,2010.0,,65.74885146986598,2378.6,269.27999999999975,0.11064539050181359,22.505733858665085,43.2431176112009
13.762597324206547,37.599314508683534,0.17330314492802415,0.11207156826825887,0.06989897126215519,23.83671718447699,0.06893488812793186,0.08956037259423959,-0.06973069620253165,0.035442088607594936,-0.006118511637758373,1.9701199367088609,0.0310599443809171,2011.0,0.18197053953041406,,2376.4,267.0799999999999,0.10970827930058785,21.5029575213201,
,,,,,,,,,,,,,2012.0,,,2374.1,264.77999999999975,0.10872857213566986,20.48076455347885,
,,,,,,,,,,,,,2013.0,,,2374.1,264.77999999999975,0.10872857213566986,20.48076455347885,
,,,,,,,,,,,,,2014.0,,59.61124717917858,2374.0,264.67999999999984,0.10868597617197782,20.436921133363317,39.17432604581526
10.667659517550545,28.931399553761345,0.18073360289630241,0.10730313003148816,0.09219752380140114,18.263740036210798,0.0911055719788012,0.09687193963085185,-0.08253481012658227,0.03734240506329114,-0.008206450098541901,1.897310759493671,0.04545092139877544,2015.0,0.19950065383288929,,2369.8,260.48,0.10689694569691043,18.639884502041298,
,,,,,,,,,,,,,2016.0,,53.571308232291,2369.6,260.27999999999975,0.10681175376952615,18.55644958118867,35.01485865110233
,,,,,,,,,,,,,2017.0,,52.231799566369546,2367.1,257.77999999999975,0.10574685467722407,17.529627381754437,34.70217218461511
,,,,,,,,,,,,,2018.0,,48.84857756307031,2366.3,256.98,0.10540608696768752,17.207290235870587,31.64128732719972
8.480122141361099,24.250661139821727,0.185502648441072,0.1031989683027635,0.09134653365630956,15.770538998460628,0.1060445498177935,0.10129047938200875,-0.08337056962025316,0.03679905063291139,-0.008304822006289054,1.855804746835443,0.0466983129929239,2019.0,0.19454550195907305,48.18554108216432,2364.2,254.87999999999965,0.10451157173015363,16.375363416148943,31.810177666015377
,,,,,,,,,,,,,2020.0,,47.53193611858071,2361.9,252.57999999999993,0.10353186456523585,15.487497986583143,32.044438131997566
,,,,,,,,,,,,,2021.0,,46.42929176713745,2362.7,253.37999999999965,0.10387263227477239,15.793584763332724,30.635707003804725
,,,,,,,,,,,,,2022.0,,45.00152089346217,2358.4,249.07999999999993,0.10204100583601294,14.182161286025206,30.819359607436965
